"eBird.English.Name.2024","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"Fulvous Whistling-Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck",-3.31890785314966,-1.22722722939387,0.864453394361905,-6.38292351077525,-2.79386960850595,0.795184293763346,-2.71905020170813,-0.700092958904034,1.31886428390006,-3.06707928263303,-1.23749523252279,0.592088817587438,-2.78692624834445,-0.894459614587597,0.998007019169257,-2.94121774949554,-1.09358539539825,0.754046958699043,-2.68285631206738,-0.793501835125315,1.09585264181675,-2.75531111965695,-0.855658909391847,1.04399330087326,-3.30273414888047,-1.39836363796055,0.506006872959367,-2.56562602161837,-0.256273469382984,2.0530790828524
"Bar-headed Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck",-4.53605812741651,-2.40838050085993,-0.28070287430335,-9.49453379777113,-5.97790304039304,-2.46127228301496,-4.0613472612919,-2.14378229506667,-0.226217328841445,-4.46223260033808,-2.66433238613695,-0.866432171935817,-4.33745048415668,-2.51878856598796,-0.700126647819238,-4.34321731739563,-2.55827831660019,-0.773339315804747,-4.17193099266624,-2.36489043793722,-0.55784988320819,-4.2498328133474,-2.35644915165682,-0.463065489966233,-4.92664376328708,-3.05890312120858,-1.19116247913008,-4.50056220931211,-2.35741069111034,-0.214259172908565
"Ruddy Shelduck",-11.8310387223416,-1.47249529073363,8.88604814087438,-22.4799608797033,-3.40584773005319,15.6682654195969,-11.2489755544449,-1.87599887565555,7.49697780313378,-11.0184573072229,-1.57999446067407,7.85846838587472,-10.7487999805668,-1.70433369700736,7.34013258655204,-10.664203587073,-1.71505688457648,7.23408981792006,-10.8443805974028,-2.03185031552952,6.78067996634376,-11.0060380151819,-1.48526033668547,8.03551734181098,-11.4186764419101,-2.2771498508574,6.86437674019531,-13.3829835693291,-0.343176759382027,12.6966300505651
"Common Shelduck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose",-9.9694123592536,-6.97132410645376,-3.97323585365393,-14.377500746029,-8.11035146704979,-1.8432021880706,-8.30862369024788,-5.42274830411905,-2.53687291799022,-8.15839137538621,-5.34278182103579,-2.52717226668537,-8.15774777455735,-5.35425742886251,-2.55076708316766,-8.03029755850234,-5.30268605678094,-2.57507455505954,-7.97336383262312,-5.20004950277977,-2.42673517293642,-7.93971850944429,-4.95872646894879,-1.97773442845328,-8.63625949535201,-5.7595800542219,-2.8829006130918,-8.75901697166828,-5.39481304793936,-2.03060912421043
"Mandarin Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey",-13.8262454997251,-0.85840853488828,12.1094284299485,-26.8199814492178,-3.08429330388917,20.6513948414395,-11.900404230655,-1.13098997580124,9.6384242790525,-11.657863546088,-1.17008122760146,9.31770109088507,-11.5564271342608,-1.08935311814908,9.37772089796264,-11.4882414762935,-1.21849075812895,9.05125996003557,-11.8605469693691,-1.71354982566519,8.43344731803868,-11.9889621234924,-1.26087403171702,9.46721406005836,-12.2968793611823,-0.940605025326848,10.4156693105286,-15.2795037185801,0.840703636037797,16.9609109906557
"Northern Shoveler",-8.28756872813829,-6.19939885400774,-4.11122897987718,-15.3265859389937,-11.9435642610234,-8.56054258305311,-7.7519073689663,-6.0161652669999,-4.28042316503351,-7.45480624892593,-5.66479516331929,-3.87478407771264,-7.53880383013148,-5.83938113544968,-4.13995844076788,-7.51355285733856,-5.83109384983746,-4.14863484233637,-7.62225030640298,-5.91149477300417,-4.20073923960536,-7.39739319948471,-5.59480176924243,-3.79221033900014,-7.96849499536841,-6.12839387190685,-4.28829274844529,-7.78394480587096,-5.57443373887709,-3.36492267188322
"Gadwall",-7.87278667201583,-6.09472861577574,-4.31667055953564,-13.6569896497305,-10.4388315668697,-7.2206734840089,-6.52472455202987,-4.63741652784632,-2.75010850366276,-6.39813436858431,-4.56529655984223,-2.73245875110015,-6.55916711142555,-4.81241049977736,-3.06565388812916,-6.58558153629431,-4.88628424869633,-3.18698696109835,-6.54766961432726,-4.82820626510757,-3.10874291588788,-6.31956336497594,-4.48537299407399,-2.65118262317205,-6.88486123367875,-5.10247672756756,-3.32009222145638,-6.07675617025135,-3.71309410389443,-1.34943203753751
"Falcated Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon",-7.25586169731748,-4.76312571417373,-2.27038973102998,-12.9268638744305,-8.07622890482583,-3.22559393522111,-6.54898767158923,-4.14274286992817,-1.73649806826711,-6.33208327576863,-3.86620329466993,-1.40032331357123,-6.3560802570815,-3.97316310601152,-1.59024595494154,-6.25769016919965,-3.93070191371189,-1.60371365822412,-6.5326521299995,-4.25011076851104,-1.96756940702258,-5.94240592522061,-3.40907231274146,-0.875738700262301,-6.381776346835,-3.80268598993655,-1.22359563303811,-6.84737693834328,-4.08228674636138,-1.31719655437949
"Indian Spot-billed Duck",-2.95636375597457,-0.978149446875459,1.00006486222366,-5.56294433999157,-2.01552805977822,1.53188822043513,-3.11133318557542,-1.30643200089269,0.498469183790036,-3.03880854391358,-1.34169482850778,0.355418886898031,-2.865821453315,-1.12669811151735,0.612425230280308,-2.87460593039306,-1.16939333732217,0.535819255748722,-2.81217364588886,-1.07553455352453,0.661104538839791,-2.73129917580331,-0.935620377950187,0.860058419902934,-3.75537470643127,-2.09479741964346,-0.434220132855651,-2.74733012220574,-0.622964127565623,1.50140186707449
"Eastern Spot-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard",-15.2176819587648,-12.8514360791331,-10.4851901995015,-25.6407543804432,-21.5267278604444,-17.4127013404456,-13.0995883989422,-10.4094013481736,-7.71921429740492,-13.2228330395856,-10.7779275659672,-8.3330220923488,-12.6287598258809,-10.448951861384,-8.2691438968871,-12.6771417763829,-10.4265947962705,-8.1760478161581,-12.6832161267452,-10.3087890817671,-7.93436203678909,-12.8792804175953,-10.3387216907965,-7.79816296399764,-13.4332611130526,-10.8119355075835,-8.1906099021144,-14.195746541516,-11.5041783738586,-8.81261020620117
"Northern Pintail",-9.74484915087058,-5.16482723645302,-0.584805322035455,-16.7689902285067,-7.96940775280155,0.830174722903554,-8.69816389031322,-4.51661422147508,-0.335064552636928,-8.51369548072179,-4.28273128790517,-0.051767095088544,-8.47101182919492,-4.37817215663061,-0.285332484066305,-8.45959788053067,-4.43242269483324,-0.40524750913581,-8.50809323170248,-4.45914785737619,-0.410202483049913,-8.42102360007225,-4.02923668047572,0.362550239120803,-9.01409328527919,-4.77476302251069,-0.535432759742183,-9.26198374967209,-3.83963743981844,1.58270887003521
"Green-winged Teal",-7.85243549399528,-3.5809521204463,0.690531253102681,-15.890091790071,-8.75717140075206,-1.62425101143314,-7.95752353736414,-4.26719446372885,-0.576865390093549,-7.57256184724692,-3.71052698377254,0.151507879701836,-7.58202738822288,-3.87834821425735,-0.174669040291827,-7.72684898559975,-4.05785088135056,-0.388852777101374,-7.82781205992347,-4.22733670363678,-0.626861347350084,-7.53651673463755,-3.639528474917,0.257459784803537,-7.91062754617552,-3.82541257277668,0.259802400622169,-7.83966665050315,-2.84228690067847,2.15509284914621
