"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1990,"Lesser Whistling-Duck","before 2000",-1.85353044096847,0.0637120226991836,0.129153449965414,0.145024981440107,0.16265829311981,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Lesser Whistling-Duck","2000-2006",-2.04572603928461,0.0867707140338045,0.103329296439029,0.121277638987124,0.142088631402586,69.0440392497649,83.625343566901,101.13011162102,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",-2.68235473550405,0.0913580509833003,0.0555832101566972,0.0661149265250023,0.0785577200825076,37.1754334076323,45.5886467755258,56.3823385217983,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",-2.62862287234736,0.0860964968088715,0.0591486115675604,0.069634530302671,0.081897040915061,39.5280567030504,48.0155416061397,59.0783434091915,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",-2.33763814604913,0.0777042990762398,0.079570674561962,0.0920404219427832,0.10634881569643,53.5307185997456,63.4652189083674,76.5106411211242,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",-2.72414972827784,0.0697523048698694,0.0556130454636402,0.0634964426072659,0.0724538215339308,36.5241992798616,43.7831068666531,52.1020089293279,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-2.59413863552666,0.0601692813722258,0.0642427548596906,0.0719876156496156,0.0806252687276024,42.3814080375143,49.638079546554,57.455993558647,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-2.68982200511313,0.0624153262731106,0.0583064045823781,0.0656395766073836,0.0738583136557479,38.679630135022,45.2608757164307,53.6083439838474,77.5308499628384,91.181762328218,107.61132050495,NA,NA,NA,77.5308499628384,91.181762328218,107.61132050495
2017,"Lesser Whistling-Duck","2017",-2.64401702893094,0.0567011450804699,0.0616191585617594,0.0686081365158896,0.0763570605353874,40.4548684140788,47.3078057549854,55.1338191470945,81.3314234169681,95.3054714991882,111.498467610498,NA,NA,NA,81.3314234169681,95.3054714991882,111.498467610498
2018,"Lesser Whistling-Duck","2018",-2.80909850263379,0.0551670585867161,0.0526470106619775,0.0584796263043245,0.064935981736505,34.640148226499,40.3238295386203,47.3597178770801,70.0439329313761,81.2356761320748,94.2947109966976,NA,NA,NA,70.0439329313761,81.2356761320748,94.2947109966976
2019,"Lesser Whistling-Duck","2019",-2.53656918288362,0.05158222537445,0.0690295204404145,0.0760870674894526,0.0838331305788631,45.1332492952375,52.4648007080595,60.354187558594,91.1665343439736,105.694662620568,123.040769827689,NA,NA,NA,91.1665343439736,105.694662620568,123.040769827689
2020,"Lesser Whistling-Duck","2020",-2.70662895108196,0.0510445835687716,0.0586172053532417,0.064581713070497,0.0711298712762897,38.5090710558426,44.5314403278639,51.6337066913745,78.2497912507148,89.7122546534042,105.225943556025,NA,NA,NA,78.2497912507148,89.7122546534042,105.225943556025
2021,"Lesser Whistling-Duck","2021",-2.87889717572022,0.0476316728108273,0.0498997167897169,0.0546468369235924,0.0598311761765156,32.7636437155971,37.680981842539,43.8739054215703,65.8325548601823,75.9114417535014,87.9447695172122,NA,NA,NA,65.8325548601823,75.9114417535014,87.9447695172122
2022,"Lesser Whistling-Duck","2022",-2.85301921518257,0.0491305358503774,0.0510276032841648,0.0560385398690225,0.0615254044430017,33.3505214779241,38.6406116467358,44.6478194663246,67.4715801793439,77.8446950400165,90.5324235507311,NA,NA,NA,67.4715801793439,77.8446950400165,90.5324235507311
2023,"Lesser Whistling-Duck","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.549064963227,77.6288998857678,92.0142247827742,65.549064963227,77.6288998857678,92.0142247827742
2024,"Lesser Whistling-Duck","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6865175417119,75.3059522898883,92.0428441385782,61.6865175417119,75.3059522898883,92.0428441385782
2025,"Lesser Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.007780430037,73.0575951377616,92.1600539722676,58.007780430037,73.0575951377616,92.1600539722676
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5238741819109,70.8812920676001,92.3380778525678,54.5238741819109,70.8812920676001,92.3380778525678
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2352330637878,68.7745972373606,92.5608380839553,51.2352330637878,68.7745972373606,92.5608380839553
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1370864001639,66.7351519574487,92.8185001997791,48.1370864001639,66.7351519574487,92.8185001997791
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2220951571581,64.7606814532447,93.1047672722438,45.2220951571581,64.7606814532447,93.1047672722438
1990,"Knob-billed Duck","before 2000",-2.40255794056369,0.0767826399156983,0.0748910185936219,0.0865130588699997,0.0998392391613475,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Knob-billed Duck","2000-2006",-2.02848763824335,0.0964369008590263,0.103162452407655,0.123250796333837,0.146919542605799,111.89646823014,142.464961872452,177.70801782081,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Knob-billed Duck","2007-2010",-2.32355369157145,0.0749059194669792,0.0810776260154795,0.0932830690889958,0.107216228000775,87.5573757641868,107.825420008752,132.791566512697,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Knob-billed Duck","2011-2012",-2.46258037386952,0.0802235301737712,0.0702281804437472,0.0816849734331159,0.0949134129625902,77.1170741725298,94.4192408638114,116.337913808341,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Knob-billed Duck","2013",-2.33351922304591,0.0787574862587412,0.0797276300304994,0.0924021940042202,0.106971819967825,86.1001581739978,106.807221026678,129.606617055148,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Knob-billed Duck","2014",-2.42166209406623,0.0650936418268241,0.0751656055548515,0.0849475968314868,0.0959352382303954,80.6553711320425,98.1904904774374,116.808736072018,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Knob-billed Duck","2015",-2.40090039939314,0.0657824909448456,0.0765810418186701,0.0866501711638126,0.097971527922201,83.0197172141795,100.158487395549,121.657258626532,100,100,100,NA,NA,NA,100,100,100
2016,"Knob-billed Duck","2016",-2.69113977542846,0.0680448413414004,0.0576116835139979,0.0655560331206034,0.0745518536183905,63.4699265491465,75.775881672514,93.1206480540501,63.5000673489405,75.6559764858045,91.0365658168814,NA,NA,NA,63.5000673489405,75.6559764858045,91.0365658168814
2017,"Knob-billed Duck","2017",-2.52085975821957,0.0630239473099056,0.0685836692525753,0.0772440238806761,0.0869459842641775,74.8940605479096,89.2859701062566,106.901065959278,75.6629213692323,89.1446870135385,106.445256613726,NA,NA,NA,75.6629213692323,89.1446870135385,106.445256613726
2018,"Knob-billed Duck","2018",-2.75545174023316,0.0594207242661782,0.0550189221061546,0.0616012290797331,0.0689418896577813,59.4295498315291,71.2045440125973,84.5845216360291,59.7424100456942,71.0918723556538,83.5436516754592,NA,NA,NA,59.7424100456942,71.0918723556538,83.5436516754592
2019,"Knob-billed Duck","2019",-2.68760892685168,0.058771623787433,0.0588379588352633,0.0657801115571307,0.0735088794672141,63.8237149398806,76.0348927853497,92.39446553912,64.5299952183259,75.9145777482344,88.4339966558216,NA,NA,NA,64.5299952183259,75.9145777482344,88.4339966558216
2020,"Knob-billed Duck","2020",-2.74144764762299,0.0589428335991289,0.0558235623416286,0.0624422653535133,0.0698162812185028,60.2899264517734,72.1766935178459,86.3603839238418,61.5134763822101,72.0624835644766,85.2889032998885,NA,NA,NA,61.5134763822101,72.0624835644766,85.2889032998885
2021,"Knob-billed Duck","2021",-2.82333174738969,0.0565828371636265,0.0517825517835732,0.0576774763649897,0.0642204551762213,55.7311579512418,66.6690984209213,80.7636826358232,56.6781976916955,66.5636034993516,77.9522179641521,NA,NA,NA,56.6781976916955,66.5636034993516,77.9522179641521
2022,"Knob-billed Duck","2022",-2.94715296998797,0.0567919181483109,0.0458741681475352,0.0511351760037099,0.0569813086938548,49.4457800383406,59.1068870660891,69.8619915245973,50.3050154148899,59.0133583314436,69.9335346077592,NA,NA,NA,50.3050154148899,59.0133583314436,69.9335346077592
2023,"Knob-billed Duck","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6530597242246,58.0051945297849,67.8455338013617,49.6530597242246,58.0051945297849,67.8455338013617
2024,"Knob-billed Duck","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.562503333582,54.7296948836671,65.8538606351587,45.562503333582,54.7296948836671,65.8538606351587
2025,"Knob-billed Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7815110094967,51.6434965682255,63.9795298956527,41.7815110094967,51.6434965682255,63.9795298956527
2026,"Knob-billed Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2998748670105,48.7354148126665,62.19836064584,38.2998748670105,48.7354148126665,62.19836064584
2027,"Knob-billed Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1008882337162,45.9949397886715,60.4956212685568,35.1008882337162,45.9949397886715,60.4956212685568
2028,"Knob-billed Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1654826907985,43.4121950502567,58.861630836016,32.1654826907985,43.4121950502567,58.861630836016
2029,"Knob-billed Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4741618349616,40.9778985827622,57.2895874442759,29.4741618349616,40.9778985827622,57.2895874442759
1990,"Ruddy Shelduck","before 2000",-2.84979634342837,0.0830657807521288,0.047974470247363,0.0562142538779338,0.0658196310959345,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Ruddy Shelduck","2000-2006",-2.87577591253461,0.127594824509352,0.0429494680474298,0.054812900779081,0.0698317421244156,72.70549982152,97.5071214110647,127.841196591021,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Ruddy Shelduck","2007-2010",-3.60741929095831,0.100792705284323,0.0220138771092871,0.0267572579668791,0.0325055995933506,36.5360966179718,47.598706948919,61.1069456677923,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Ruddy Shelduck","2011-2012",-3.1999560643742,0.0939982103103616,0.0333366741234951,0.0399443187792508,0.0478289216281104,56.4772455209796,71.0572782233981,89.7060698401659,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ruddy Shelduck","2013",-3.48291767936815,0.0982308226441535,0.0250196855849957,0.030250662557387,0.0365546369505453,42.0080937179245,53.8131531961176,68.8730258269652,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Ruddy Shelduck","2014",-3.65190623320493,0.0889556365658102,0.02155526914748,0.0256080375896339,0.0304108785409929,36.4335796166869,45.5543493385865,57.4368962799443,NA,NA,NA,NA,NA,NA,NA,NA,NA
