"LOCALITY.ID","group.id","month","timegroups"
"L3240252","S76699066",10,"before 2000"
"L15209109","S89881906",10,"before 2000"
"L15209109","S89882479",10,"before 2000"
"L10608476","S89927556",12,"before 2000"
"L15304157","S89878170",10,"before 2000"
"L15221175","S89830979",1,"before 2000"
"L15221175","S89831852",3,"before 2000"
"L15293924","S89833544",4,"before 2000"
"L15293924","S89833753",4,"before 2000"
"L15109769","S89699266",9,"before 2000"
"L15097892","S89708264",3,"before 2000"
"L15162673","S89767197",4,"before 2000"
"L15195944","S89528706",2,"before 2000"
"L15097892","S89573482",3,"before 2000"
"L15210049","S89574696",4,"before 2000"
"L15210049","S89574941",4,"before 2000"
"L15221009","S89574013",4,"before 2000"
"L15221009","S89574332",4,"before 2000"
"L4285022","S89575991",5,"before 2000"
"L10586412","S89462228",3,"before 2000"
"L15208758","S89463058",9,"before 2000"
"L15097856","S89464461",10,"before 2000"
"L15209068","S89464625",10,"before 2000"
"L6206937","S89468787",2,"before 2000"
"L15210049","S89517750",4,"before 2000"
"L15210049","S89469717",4,"before 2000"
"L15210049","S89469120",4,"before 2000"
"L15221009","S89518116",4,"before 2000"
"L15221467","S89520568",3,"before 2000"
"L5150383","S89520642",3,"before 2000"
"L7523326","S181696415",5,"before 2000"
"L15195944","S89401336",11,"before 2000"
"L15196173","S89402441",1,"before 2000"
"L15196215","S89402725",1,"before 2000"
"L3849058","S89404030",5,"before 2000"
"L21230313","S120758610",6,"before 2000"
"L21230313","S120759804",1,"before 2000"
"L8710211","S120762283",2,"before 2000"
"L10608476","S89409453",2,"before 2000"
"L15161108","S89251340",3,"before 2000"
"L15162673","S89258826",6,"before 2000"
"L3849057","S89252459",6,"before 2000"
"L15162485","S89258125",6,"before 2000"
"L15162399","S89257245",6,"before 2000"
"L15178344","S89323616",7,"before 2000"
"L15178344","S89323982",7,"before 2000"
"L967212","S89322328",7,"before 2000"
"L15179215","S89333482",9,"before 2000"
"L2372505","S95580148",1,"before 2000"
"L12821938","S161369640",3,"before 2000"
"L7625545","S89177881",8,"before 2000"
"L15145445","S89183526",10,"before 2000"
"L15145445","S89183852",10,"before 2000"
"L15145766","S89184933",11,"before 2000"
"L15145864","S89185526",11,"before 2000"
"L15145445","S89184483",11,"before 2000"
"L15145445","S89184293",11,"before 2000"
"L2517486","S58757102",1,"before 2000"
"L2517486","S58757101",1,"before 2000"
"L2136331","S58757110",1,"before 2000"
"L12650726","S75770421",12,"before 2000"
"L12650686","S75769980",12,"before 2000"
"L12650707","S75770331",12,"before 2000"
"L15132081","S89117391",12,"before 2000"
"L15085444","S89117935",12,"before 2000"
"L12656686","S76003346",1,"before 2000"
"L12678555","S75939687",1,"before 2000"
"L12650726","S75997224",1,"before 2000"
"L12650862","S76000150",1,"before 2000"
"L12688022","S75997533",1,"before 2000"
"L12688377","S75999498",1,"before 2000"
"L12688100","S75998897",1,"before 2000"
"L12642761","S76002018",1,"before 2000"
"L12687848","S75996752",1,"before 2000"
"L12678150","S75937472",1,"before 2000"
"L12671559","S75936737",1,"before 2000"
"L12677750","S75934983",1,"before 2000"
"L12671795","S75900670",1,"before 2000"
"L12656616","S76001451",1,"before 2000"
"L12655944","S75940104",1,"before 2000"
"L12652180","S75995768",1,"before 2000"
"L12656060","S75940614",1,"before 2000"
"L12656102","S75941640",1,"before 2000"
"L12687716","S75996365",1,"before 2000"
"L12656071","S75941034",1,"before 2000"
"L12671981","S75902748",1,"before 2000"
"L12671743","S75900406",1,"before 2000"
"L12671839","S75901326",1,"before 2000"
"L12678268","S75938187",1,"before 2000"
"L12677842","S75936187",1,"before 2000"
"L12677432","S75933769",1,"before 2000"
"L15132455","S89120744",3,"before 2000"
"L7523326","S54539069",12,"before 2000"
"L4535214","G4038174",12,"before 2000"
"L3928078","G4038175",12,"before 2000"
"L4324155","S89062093",12,"before 2000"
"L5120813","G4038176",12,"before 2000"
"L4064488","G4038178",12,"before 2000"
"L12650803","S75771032",1,"before 2000"
"L12650778","S75770884",1,"before 2000"
"L8887056","G4038171",1,"before 2000"
"L15109350","S89002593",1,"before 2000"
"L3231417","G4038167",1,"before 2000"
"L12650763","S75770739",1,"before 2000"
"L8710211","G4038170",1,"before 2000"
"L3801875","G4038168",1,"before 2000"
"L8977365","G4038081",1,"before 2000"
"L12650824","S75771215",12,"before 2000"
"L12656651","S75810593",12,"before 2000"
"L12656686","S75810767",1,"before 2000"
"L12656547","S75810173",1,"before 2000"
"L12651832","S75778183",1,"before 2000"
"L12651899","S75779281",1,"before 2000"
"L12656566","S75810370",1,"before 2000"
"L12656609","S75810413",1,"before 2000"
"L12656541","S75810087",1,"before 2000"
"L12671482","S75898942",1,"before 2000"
"L12671220","S75897576",1,"before 2000"
"L12656713","S75811078",1,"before 2000"
"L12671324","S75898111",1,"before 2000"
"L12671559","S75899228",1,"before 2000"
"L12671062","S75897152",1,"before 2000"
"L12656830","S75811754",1,"before 2000"
"L12656149","S75807830",1,"before 2000"
"L12656139","S75807753",1,"before 2000"
"L12656806","S75811655",1,"before 2000"
"L12656616","S75810560",1,"before 2000"
"L12652180","S75780421",1,"before 2000"
"L12652290","S75781058",1,"before 2000"
"L12656102","S75807659",1,"before 2000"
"L12655954","S75807093",1,"before 2000"
"L12656085","S75807436",1,"before 2000"
"L12656213","S75808347",1,"before 2000"
"L12656200","S75808210",1,"before 2000"
"L12656242","S75808498",1,"before 2000"
"L12656190","S75808104",1,"before 2000"
"L12656060","S75807211",1,"before 2000"
"L12656253","S75808551",1,"before 2000"
"L12656071","S75807354",1,"before 2000"
"L12656740","S75811497",1,"before 2000"
"L12670841","S75896373",1,"before 2000"
"L12669939","S75889882",1,"before 2000"
"L12670004","S75890276",1,"before 2000"
"L12656661","S75810660",1,"before 2000"
"L12652106","S75779806",1,"before 2000"
"L12650600","S75814032",2,"before 2000"
"L12657258","S75814747",2,"before 2000"
"L12657810","S75812801",3,"before 2000"
"L12656884","S75812239",3,"before 2000"
"L12656850","S75811975",3,"before 2000"
"L5045386","S57190412",11,"before 2000"
"L12637502","S75815306",12,"before 2000"
"L3921590","S51375715",1,"before 2000"
"L5120813","S120874828",9,"before 2000"
"L12749107","S76361743",11,"before 2000"
"L12650862","S75771316",12,"before 2000"
"L12650873","S75771394",12,"before 2000"
"L15097892","S88944622",12,"before 2000"
"L12650888","S75771727",12,"before 2000"
"L3135946","S88790549",4,"before 2000"
"L10585443","S88791173",7,"before 2000"
"L15066499","S88793219",10,"before 2000"
"L12643925","S75727320",1,"before 2000"
"L12643983","S75727563",1,"before 2000"
"L12637502","S75688753",1,"before 2000"
"L12646203","S75741845",1,"before 2000"
"L12638813","S75696546",1,"before 2000"
"L12638344","S75694266",1,"before 2000"
"L12637134","S75686281",1,"before 2000"
"L12645027","S75737433",1,"before 2000"
"L7523326","S57769259",1,"before 2000"
"L967212","S57768956",1,"before 2000"
"L7523326","S57768742",1,"before 2000"
"L4454585","S57769007",1,"before 2000"
"L12644518","S75730857",1,"before 2000"
"L12637836","S75691439",1,"before 2000"
"L12637633","S75689632",1,"before 2000"
"L12636997","S75685696",1,"before 2000"
"L12638959","S75697345",1,"before 2000"
"L12644179","S75728657",1,"before 2000"
"L12644865","S75733794",1,"before 2000"
"L12644218","S75730141",1,"before 2000"
"L12644061","S75727853",1,"before 2000"
"L12644030","S75727784",1,"before 2000"
"L12644743","S75732800",1,"before 2000"
"L12644479","S75730344",1,"before 2000"
"L3725707","S57770072",1,"before 2000"
"L3725649","S57769350",1,"before 2000"
"L9551017","S57769441",1,"before 2000"
"L12645917","S75740321",1,"before 2000"
"L12645670","S75739637",1,"before 2000"
"L12646061","S75741070",1,"before 2000"
"L12638642","S75695561",1,"before 2000"
"L12644600","S75731352",1,"before 2000"
"L3849107","S88801567",5,"before 2000"
"L3849113","S88874742",8,"before 2000"
"L15083930","S88875414",8,"before 2000"
"L14602229","S88874567",8,"before 2000"
"L3878331","S24821713",12,"before 2000"
"L2372505","S24813875",12,"before 2000"
"L12644016","S75727663",1,"before 2000"
"L2136331","S18742367",3,"before 2000"
"L3929650","S25195253",3,"before 2000"
"L4567566","S29439809",3,"before 2000"
"L2084316","S13595877",3,"before 2000"
"L2084316","S13538890",3,"before 2000"
"L3779309","S88713751",6,"before 2000"
"L8984655","S54609978",10,"before 2000"
"L5120813","S120875248",10,"before 2000"
"L967193","S54610132",11,"before 2000"
"L12650238","S75767718",1,"before 2000"
"L12650166","S75767458",1,"before 2000"
"L12650124","S75766655",1,"before 2000"
"L967212","S31343432",2,"before 2000"
"L967212","S31343271",2,"before 2000"
"L4454585","S31343531",2,"before 2000"
"L3979865","S25621645",2,"before 2000"
"L3990615","S25708459",2,"before 2000"
"L3979987","S25622527",2,"before 2000"
"L4005820","S29440035",2,"before 2000"
"L4920180","S31547076",3,"before 2000"
"L4922528","S31565762",3,"before 2000"
"L15033483","S88638559",5,"before 2000"
"L15033574","S88638984",5,"before 2000"
"L15033877","S88640161",9,"before 2000"
"L12636439","S75682213",12,"before 2000"
"L12650600","S75769631",12,"before 2000"
"L12749224","S76362750",12,"before 2000"
"L21275227","S120876905",12,"before 2000"
"L4005820","S120875832",12,"before 2000"
"L12799778","S76662051",1,"before 2000"
"L12650277","S75767975",1,"before 2000"
"L21098368","S120878666",1,"before 2000"
"L4064488","S120878899",3,"before 2000"
"L6342199","S88574456",7,"before 2000"
"L12749224","S76362524",12,"before 2000"
"L21275819","S120880003",12,"before 2000"
"L15007631","S88505214",5,"before 2000"
"L15007944","S88506985",8,"before 2000"
"L14580932","S88507133",8,"before 2000"
"L4064488","S120931561",8,"before 2000"
"L12749224","S76362833",12,"before 2000"
"L9448879","S57280644",12,"before 2000"
"L21098368","S120926915",12,"before 2000"
"L15009129","S88512855",1,"before 2000"
"L3801875","S120930485",8,"2000-2006"
"L12127547","S72693528",8,"2000-2006"
"L21283792","S120930381",9,"2000-2006"
"L6604086","S120927026",11,"2000-2006"
"L16200404","S93687006",11,"2000-2006"
"L12636629","S75682985",12,"2000-2006"
"L12749151","S76362061",12,"2000-2006"
"L3849035","S88434060",1,"2000-2006"
"L8114937","S49734732",1,"2000-2006"
"L30046265","S165786160",2,"2000-2006"
"L14937533","S165783960",2,"2000-2006"
"L30045874","S165783580",2,"2000-2006"
"L30046999","S165789885",3,"2000-2006"
"L30047604","S165792062",3,"2000-2006"
"L30047288","S165791530",3,"2000-2006"
"L30047288","S165790462",3,"2000-2006"
"L12776089","S76525972",6,"2000-2006"
"L12669756","S76527465",7,"2000-2006"
"L12669756","S76527351",7,"2000-2006"
"L12749136","S76361951",11,"2000-2006"
"L12749166","S76362169",12,"2000-2006"
"L3849034","S88243087",12,"2000-2006"
"L4064488","S120982875",12,"2000-2006"
"L12749166","S76362344",1,"2000-2006"
"L3505543","G10890546",1,"2000-2006"
"L3251687","S82579364",1,"2000-2006"
"L8710211","S121481738",6,"2000-2006"
"L10723101","S88141382",2,"2000-2006"
"L6604086","S121480697",4,"2000-2006"
"L8710211","S121480537",5,"2000-2006"
"L7131921","S121483412",7,"2000-2006"
"L14602229","S86312569",9,"2000-2006"
"L24824152","S139980857",10,"2000-2006"
"L3847292","S37130781",10,"2000-2006"
"L3135946","S37130763",10,"2000-2006"
"L12806128","S76698064",12,"2000-2006"
"L5291909","S37130808",12,"2000-2006"
