"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1990,"Indian Spot-billed Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Spot-billed Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Indian Spot-billed Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Spot-billed Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Spot-billed Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Spot-billed Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Spot-billed Duck","2015",-1.2011974596717,0.133818550066067,0.206601035788287,0.259799186383914,0.323655446976848,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Spot-billed Duck","2016",-1.2516474320229,0.117904409549465,0.203091010358344,0.248762316739412,0.302599160817805,NA,NA,NA,71.4493470575067,95.7517689727509,129.806567507967,NA,NA,NA,71.4493470575067,95.7517689727509,129.806567507967
2017,"Indian Spot-billed Duck","2017",-1.6068345513606,0.119245053710147,0.146772728956505,0.181695981403372,0.22377809443755,NA,NA,NA,50.9110213033034,69.9370863828931,93.4520210334239,NA,NA,NA,50.9110213033034,69.9370863828931,93.4520210334239
2018,"Indian Spot-billed Duck","2018",-1.49706037349855,0.112323734000371,0.16436683628772,0.200514628954579,0.2433836222578,NA,NA,NA,58.0060354616273,77.1806223666426,106.91822614745,NA,NA,NA,58.0060354616273,77.1806223666426,106.91822614745
2019,"Indian Spot-billed Duck","2019",-1.38382128929318,0.113363368270624,0.181830751293291,0.221681171201718,0.268732464262652,NA,NA,NA,63.2397994385699,85.3278927802845,114.482052047893,NA,NA,NA,63.2397994385699,85.3278927802845,114.482052047893
2020,"Indian Spot-billed Duck","2020",-1.36666797584239,0.112675940628914,0.184891008528942,0.225048678248986,0.272369624155484,NA,NA,NA,64.1595756946333,86.6240889286019,114.982286550315,NA,NA,NA,64.1595756946333,86.6240889286019,114.982286550315
2021,"Indian Spot-billed Duck","2021",-1.25930443168975,0.111655684829762,0.203922952958292,0.247121482761114,0.297628196983376,NA,NA,NA,70.81825732674,95.1201911756314,126.825093544054,NA,NA,NA,70.81825732674,95.1201911756314,126.825093544054
2022,"Indian Spot-billed Duck","2022",-1.12495233056907,0.111539978921795,0.229651574877503,0.277232686778882,0.332357612854546,NA,NA,NA,79.6118249860772,106.710375285474,146.494579897797,NA,NA,NA,79.6118249860772,106.710375285474,146.494579897797
