"gridg0","group.id","month","timegroups"
"313494","S16488591",11,"before 2000"
"313494","S39861870",2,"before 2000"
"312852","S89335287",10,"before 2000"
"313494","S56523438",3,"before 2000"
"312851","S89331436",9,"before 2000"
"306354","S89331439",12,"before 2000"
"313494","S221920788",1,"before 2000"
"313494","S222151147",1,"before 2000"
"313494","S55101109",12,"before 2000"
"313494","S141905883",12,"before 2000"
"313494","S57135231",2,"before 2000"
"314145","S78984653",2,"before 2000"
"322590","S89331437",2,"before 2000"
"322590","S89331438",2,"before 2000"
"310899","S56890997",3,"before 2000"
"313494","S89335394",1,"before 2000"
"313494","S16383060",2,"before 2000"
"313494","S48584654",12,"before 2000"
"313494","S94753152",2,"before 2000"
"313494","S16465759",1,"before 2000"
"313494","G2634875",1,"before 2000"
"313494","S41067036",3,"before 2000"
"313494","S155532290",4,"before 2000"
"319338","S61797993",8,"before 2000"
"319338","S61798284",11,"before 2000"
"313494","S145002512",12,"before 2000"
"313494","S145003634",12,"before 2000"
"313494","S144995149",12,"before 2000"
"313494","S144990109",12,"before 2000"
"313494","S145004804",12,"before 2000"
"313494","S82346236",2,"before 2000"
"310899","S41278382",6,"before 2000"
"313494","S16495226",9,"before 2000"
"323868","S61851677",10,"before 2000"
"325816","S61852619",10,"before 2000"
"312203","S57705230",11,"before 2000"
"312853","S20810623",1,"before 2000"
"313494","S41402705",2,"before 2000"
"313494","S37863977",2,"before 2000"
"347945","S27324190",7,"before 2000"
"313494","S207369560",11,"before 2000"
"314136","S78946408",12,"before 2000"
"313494","S26076142",1,"before 2000"
"313494","S26076152",8,"before 2000"
"313494","S26076160",8,"before 2000"
"313494","S26076205",10,"before 2000"
"313494","S26076169",11,"before 2000"
"313494","S26076179",11,"before 2000"
"313494","S26076170",12,"before 2000"
"313494","S26076186",1,"before 2000"
"313494","G12527164",2,"before 2000"
"314136","S26076151",2,"before 2000"
"313494","S26076200",10,"before 2000"
"313494","S68965823",12,"before 2000"
"313494","S26076154",2,"before 2000"
"314136","S26076208",2,"before 2000"
"313494","S155958558",3,"before 2000"
"313494","S203741277",5,"before 2000"
"313494","S203858860",7,"before 2000"
"313494","S203882032",2,"before 2000"
"313494","S300385941",2,"before 2000"
"313494","S300393755",2,"before 2000"
"313494","G15312796",2,"before 2000"
"347294","S112863759",11,"before 2000"
"313494","S122547653",12,"before 2000"
"312852","S72683731",1,"before 2000"
"313494","G5877086",8,"2000-2006"
"310899","S71127665",1,"2000-2006"
"313494","S144716392",3,"2000-2006"
"313494","G209257",3,"2000-2006"
"319996","S39800552",5,"2000-2006"
"313494","S49878408",9,"2000-2006"
"313494","S71165558",10,"2000-2006"
"313496","S71165335",10,"2000-2006"
"313494","S71194341",1,"2000-2006"
"313494","S71194537",1,"2000-2006"
"313494","S52045027",2,"2000-2006"
"319996","S64605937",2,"2000-2006"
"319996","S328330438",2,"2000-2006"
"313496","S101770562",3,"2000-2006"
"313494","S64608564",3,"2000-2006"
"313494","S40387962",4,"2000-2006"
"313496","S71222852",9,"2000-2006"
"313496","S71223002",9,"2000-2006"
"313496","S63934455",9,"2000-2006"
"313494","S19463036",10,"2000-2006"
"313496","S19463032",10,"2000-2006"
"313494","S19463025",10,"2000-2006"
"313496","S19464721",10,"2000-2006"
"313494","S101824110",10,"2000-2006"
"313496","S101824451",10,"2000-2006"
"313496","S19463024",10,"2000-2006"
"313494","S19463020",11,"2000-2006"
"313494","S19462998",12,"2000-2006"
"313494","S87152618",12,"2000-2006"
"313494","S71227741",12,"2000-2006"
"313494","S19462997",12,"2000-2006"
"313496","S71227249",12,"2000-2006"
"313496","S19462994",12,"2000-2006"
"313496","S19463000",12,"2000-2006"
"313496","S19462989",12,"2000-2006"
"345348","S19464718",12,"2000-2006"
"313494","S19462963",1,"2000-2006"
"313494","S71260689",2,"2000-2006"
