"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1991,"Hill Partridge","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Hill Partridge","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Hill Partridge","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Hill Partridge","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hill Partridge","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Hill Partridge","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Hill Partridge","2015",-4.35227282847381,0.347072656126758,0.0065010304162625,0.0127949505477014,0.0251048019391814,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Hill Partridge","2016",-5.16768975557709,0.314146025471626,0.0030734497169812,0.00568151554075492,0.0104910564764075,NA,NA,NA,16.7765061557409,44.4043571686614,107.527746793618,NA,NA,NA,16.7765061557409,44.4043571686614,107.527746793618
2017,"Hill Partridge","2017",-4.83303676429766,0.245767367715506,0.0049064771778472,0.00793068968778648,0.012806907407521,NA,NA,NA,25.712260416034,61.9829647501938,143.147069963131,NA,NA,NA,25.712260416034,61.9829647501938,143.147069963131
2018,"Hill Partridge","2018",-4.39379633348543,0.247716551317299,0.00757335241693836,0.0122777469635388,0.019874998729754,NA,NA,NA,43.0518457054495,95.9577523786873,229.972635159205,NA,NA,NA,43.0518457054495,95.9577523786873,229.972635159205
2019,"Hill Partridge","2019",-4.28230604498877,0.237884592056976,0.00862673825482712,0.0137158458089813,0.0217739860955618,NA,NA,NA,44.3752919990473,107.197333493761,247.709870299665,NA,NA,NA,44.3752919990473,107.197333493761,247.709870299665
2020,"Hill Partridge","2020",-5.2020497609532,0.320470998946715,0.00293325854116368,0.00549014214429716,0.0102643264009021,NA,NA,NA,17.4704955047624,42.9086624745374,105.696315970378,NA,NA,NA,17.4704955047624,42.9086624745374,105.696315970378
2021,"Hill Partridge","2021",-4.39185421907772,0.239191436252348,0.00771537966454423,0.012301467511885,0.0195865309549873,NA,NA,NA,43.3641699865008,96.1431422968252,217.582000017479,NA,NA,NA,43.3641699865008,96.1431422968252,217.582000017479
2022,"Hill Partridge","2022",-4.99741745640163,0.271818966025572,0.00395741356563015,0.00673260430790776,0.0114427251079556,NA,NA,NA,22.408025484775,52.6192288341222,121.113025099864,NA,NA,NA,22.408025484775,52.6192288341222,121.113025099864
2023,"Hill Partridge","2023",-4.56337625514553,0.23613768189709,0.0065421714070252,0.0103726253271607,0.0164272000471767,NA,NA,NA,35.4570510203992,81.0681158046688,190.309287600672,NA,NA,NA,35.4570510203992,81.0681158046688,190.309287600672
2024,"Hill Partridge","2024",-4.79733707418609,0.224333270702691,0.00530191545292741,0.00821773970475518,0.0127268506461975,NA,NA,NA,30.1081590162404,64.2264280281372,141.587751215454,NA,NA,NA,30.1081590162404,64.2264280281372,141.587751215454
2025,"Hill Partridge","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7313227271614,71.2570046212851,129.708924297882,39.7313227271614,71.2570046212851,129.708924297882
2026,"Hill Partridge","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.354260514988,70.8900662733055,140.950254624894,36.354260514988,70.8900662733055,140.950254624894
2027,"Hill Partridge","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.231944627213,70.5880120492095,153.705521100605,33.231944627213,70.5880120492095,153.705521100605
2028,"Hill Partridge","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3691390954426,70.3503422329049,168.09119321454,30.3691390954426,70.3503422329049,168.09119321454
2029,"Hill Partridge","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7571289635606,70.1767280280378,184.266138789591,27.7571289635606,70.1767280280378,184.266138789591
2030,"Hill Partridge","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3808614574386,70.0670110608276,202.427180653993,25.3808614574386,70.0670110608276,202.427180653993
2031,"Hill Partridge","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2226876948339,70.0212036079517,222.808683323789,23.2226876948339,70.0212036079517,222.808683323789
2032,"Hill Partridge","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2643427303036,70.039489554559,245.684606838117,21.2643427303036,70.039489554559,245.684606838117
1991,"Himalayan Monal","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Himalayan Monal","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Himalayan Monal","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Himalayan Monal","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Himalayan Monal","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Himalayan Monal","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Himalayan Monal","2015",-3.43961730018291,0.26878812284086,0.0187624560384953,0.0315679501818088,0.0528746358811747,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Himalayan Monal","2016",-4.43552209346639,0.272025712043372,0.00692812135495838,0.011778956551196,0.0199918240202753,NA,NA,NA,18.5487741949621,37.3130231242689,78.1038346792559,NA,NA,NA,18.5487741949621,37.3130231242689,78.1038346792559
