"gridg0","group.id","month","timegroups"
"357688","S50168105",2,"before 2000"
"357688","S35033470",2,"before 2000"
"357688","S35592275",2,"before 2000"
"356409","S50242756",10,"before 2000"
"357059","S50243081",10,"before 2000"
"355734","S27304740",5,"before 2000"
"367431","S16756433",11,"before 2000"
"368081","S14024803",11,"before 2000"
"368081","S14015960",11,"before 2000"
"349900","S52055915",9,"before 2000"
"351850","S52056405",10,"before 2000"
"367452","S50244555",11,"before 2000"
"368101","S50244733",11,"before 2000"
"368101","S50244315",11,"before 2000"
"363549","S50243903",11,"before 2000"
"368100","S50244003",11,"before 2000"
"369400","S50246048",11,"before 2000"
"369400","S50246216",11,"before 2000"
"369400","S50245830",11,"before 2000"
"368101","S50245024",11,"before 2000"
"368100","S50245316",11,"before 2000"
"369400","S60326524",12,"before 2000"
"369400","S60326486",12,"before 2000"
"369400","S60326429",12,"before 2000"
"369400","S60325954",12,"before 2000"
"369400","S60326282",12,"before 2000"
"369400","S60326122",12,"before 2000"
"369400","S60326335",12,"before 2000"
"369400","S60326575",12,"before 2000"
"351850","S52254421",2,"before 2000"
"351850","S52254217",2,"before 2000"
"351848","S52254676",2,"before 2000"
"349900","S50192300",4,"before 2000"
"372627","S50240451",5,"before 2000"
"370686","S50229257",5,"before 2000"
"370686","S50230448",5,"before 2000"
"372624","S50242104",5,"before 2000"
"371340","S50239132",5,"before 2000"
"370686","S50230279",5,"before 2000"
"372627","S50239571",5,"before 2000"
"371340","S50238709",5,"before 2000"
"368100","S89768485",5,"before 2000"
"368100","S89769026",5,"before 2000"
"368100","S89770549",5,"before 2000"
"368100","S89769293",5,"before 2000"
"368100","S89770146",5,"before 2000"
"368100","S89769551",5,"before 2000"
"368100","S89770995",5,"before 2000"
"369401","S89770085",5,"before 2000"
"369401","S89784663",6,"before 2000"
"368100","S89774676",6,"before 2000"
"368100","S89774231",6,"before 2000"
"366150","S89774907",6,"before 2000"
"368100","S89785370",6,"before 2000"
"368100","S275493433",6,"before 2000"
"369399","S89771291",6,"before 2000"
"368100","S50273495",12,"before 2000"
"368100","S50273294",12,"before 2000"
"368100","S50272647",12,"before 2000"
"368100","S50272923",12,"before 2000"
"368100","S56453221",12,"before 2000"
"368100","S50274000",1,"before 2000"
"369400","S50274345",1,"before 2000"
"368100","S50273868",1,"before 2000"
"369400","S50602567",1,"before 2000"
"369400","S50601848",1,"before 2000"
"366149","S50273726",1,"before 2000"
"369400","S50274439",1,"before 2000"
"369400","S50602217",1,"before 2000"
"368100","S50274111",1,"before 2000"
"369400","S50601966",1,"before 2000"
"369400","S50274232",1,"before 2000"
"369400","S50601527",1,"before 2000"
"364853","S75414370",2,"before 2000"
"364853","S75413577",2,"before 2000"
"364853","S75415141",2,"before 2000"
