"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1982,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Indian Peafowl","2016",0.00408840223477449,0.0163872518719528,0.0402044079847687,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Indian Peafowl","2017",0.0121821168698554,0.0294497504401031,0.0598295627391002,NA,NA,NA,69.3216139322862,180.229216407113,634.805244599341,NA,NA,NA,69.3216139322862,180.229216407113,634.805244599341
2018,"Indian Peafowl","2018",0.00382247427900302,0.0135581203186348,0.0286504329913655,NA,NA,NA,25.7710301687916,80.7521224740658,284.966824770205,NA,NA,NA,25.7710301687916,80.7521224740658,284.966824770205
2019,"Indian Peafowl","2019",0.0076441571251186,0.0190398959732407,0.0382188395388996,NA,NA,NA,41.5543836710833,114.48304695621,378.808002964514,NA,NA,NA,41.5543836710833,114.48304695621,378.808002964514
2020,"Indian Peafowl","2020",0.00789495985772307,0.0179142949633264,0.0351068719153893,NA,NA,NA,45.3405275074127,111.927432777503,357.188028774778,NA,NA,NA,45.3405275074127,111.927432777503,357.188028774778
2021,"Indian Peafowl","2021",0.0159937954044968,0.0341107196449895,0.0634812530438431,NA,NA,NA,97.1017287338305,206.16390234093,675.0431682996,NA,NA,NA,97.1017287338305,206.16390234093,675.0431682996
2022,"Indian Peafowl","2022",0.0122441342814932,0.0258047538063578,0.0492864396046219,NA,NA,NA,68.7771584276269,156.135438454525,498.914694913338,NA,NA,NA,68.7771584276269,156.135438454525,498.914694913338
2023,"Indian Peafowl","2023",0.0178033194813524,0.0363947686578914,0.0694507600870107,NA,NA,NA,93.513932074229,222.847817307855,710.386569570887,NA,NA,NA,93.513932074229,222.847817307855,710.386569570887
2024,"Indian Peafowl","2024",0.022953278721929,0.0446614432713208,0.0859052534023569,NA,NA,NA,129.857439693175,270.454659001651,828.329522157169,NA,NA,NA,129.857439693175,270.454659001651,828.329522157169
2025,"Indian Peafowl","2025",0.022620767829488,0.0470264985023261,0.0881359655517713,NA,NA,NA,125.936038241798,283.601422556945,937.253696152971,NA,NA,NA,125.936038241798,283.601422556945,937.253696152971
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,189.373586164933,298.174304423017,465.545306924234,189.373586164933,298.174304423017,465.545306924234
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,200.362372024602,334.877449913523,557.382765932144,200.362372024602,334.877449913523,557.382765932144
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,209.782899510522,375.578095360074,668.539362412308,209.782899510522,375.578095360074,668.539362412308
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,219.919127599368,420.015037144849,800.870795395094,219.919127599368,420.015037144849,800.870795395094
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,229.375015288155,472.257632020267,963.849944529828,229.375015288155,472.257632020267,963.849944529828
2031,"Indian Peafowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,239.744367254376,531.182946481367,1160.7408953549,239.744367254376,531.182946481367,1160.7408953549
2032,"Indian Peafowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,248.257415300862,597.281756998295,1399.85491363593,248.257415300862,597.281756998295,1399.85491363593
2033,"Indian Peafowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,258.949483152603,672.554922472854,1683.10839594662,258.949483152603,672.554922472854,1683.10839594662
1982,"Black Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Black Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Black Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Black Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Black Francolin","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Black Francolin","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Black Francolin","2016",0.00600682355970837,0.0204083926093541,0.040523711295852,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Black Francolin","2017",0.0122624557840692,0.0251727757052563,0.0444790904030622,NA,NA,NA,55.2957779280852,122.468407023459,365.600451925418,NA,NA,NA,55.2957779280852,122.468407023459,365.600451925418
2018,"Black Francolin","2018",0.0140156404440802,0.0285787570951888,0.051129180413086,NA,NA,NA,66.0485141045137,139.866756857674,432.71162764815,NA,NA,NA,66.0485141045137,139.866756857674,432.71162764815
2019,"Black Francolin","2019",0.0128490585299251,0.0252694449783104,0.0432893740937135,NA,NA,NA,59.0489495348555,120.358804009465,374.603457724282,NA,NA,NA,59.0489495348555,120.358804009465,374.603457724282
2020,"Black Francolin","2020",0.00948757603315308,0.0195040029827585,0.0347091466506795,NA,NA,NA,42.2580146982133,94.8462800681394,301.169958967249,NA,NA,NA,42.2580146982133,94.8462800681394,301.169958967249
