"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1982,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",-3.83062423802678,0.852335065769491,0.00407354681439591,0.0214624011442958,0.10891872877358,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",-4.04564529066602,0.839238286135951,0.00337202872724252,0.0173462013776955,0.0866635953242285,NA,NA,NA,8.28959582033996,80.8213454826129,850.415036459242,NA,NA,NA,8.28959582033996,80.8213454826129,850.415036459242
2017,"Indian Peafowl","2017",-3.34666478398074,0.769796942904792,0.00775546815935633,0.0345891947920903,0.147137736457687,NA,NA,NA,16.7560500321418,161.161812974889,1307.46628435799,NA,NA,NA,16.7560500321418,161.161812974889,1307.46628435799
2018,"Indian Peafowl","2018",-4.26975269860705,0.832547237677912,0.00273147757438026,0.0138879021073519,0.0690102273212043,NA,NA,NA,6.86148536240483,64.7080539310628,622.899620795715,NA,NA,NA,6.86148536240483,64.7080539310628,622.899620795715
2019,"Indian Peafowl","2019",-3.54897008581444,0.772478179246765,0.0063064091407404,0.0283447697264551,0.122511887916828,NA,NA,NA,13.8999621399332,132.067095083574,1069.8679563479,NA,NA,NA,13.8999621399332,132.067095083574,1069.8679563479
2020,"Indian Peafowl","2020",-4.00816212850868,0.782985392976196,0.00390783953031121,0.0180027320216213,0.0808338904841039,NA,NA,NA,8.08049751553132,83.8803258805273,715.192030792322,NA,NA,NA,8.08049751553132,83.8803258805273,715.192030792322
2021,"Indian Peafowl","2021",-3.73122846674396,0.781514728588786,0.00516636416137964,0.0236785375483886,0.104938683245774,NA,NA,NA,12.1121893864336,110.325668545627,984.81362130232,NA,NA,NA,12.1121893864336,110.325668545627,984.81362130232
2022,"Indian Peafowl","2022",-3.50580374146036,0.777133514197817,0.00652407323912008,0.0295764304997101,0.128646637192468,NA,NA,NA,15.0542385815811,137.805785572929,1304.901919939,NA,NA,NA,15.0542385815811,137.805785572929,1304.901919939
2023,"Indian Peafowl","2023",-3.4567572851587,0.765597668642005,0.00700702193816651,0.0310399007637912,0.131855150815597,NA,NA,NA,17.9102791166796,144.624548554023,1299.10524208998,NA,NA,NA,17.9102791166796,144.624548554023,1299.10524208998
2024,"Indian Peafowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8602796541392,231.553605395705,810.231525914083,72.8602796541392,231.553605395705,810.231525914083
2025,"Indian Peafowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5391446601555,257.064393234455,1112.75071252982,67.5391446601555,257.064393234455,1112.75071252982
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1046691368848,288.580837634795,1558.27016722835,63.1046691368848,288.580837634795,1558.27016722835
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5218710497116,327.554818447588,2220.28355843597,59.5218710497116,327.554818447588,2220.28355843597
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7217643925719,375.860011013186,3213.75030912241,56.7217643925719,375.860011013186,3213.75030912241
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.630706037241,435.920322143421,4719.59378793656,54.630706037241,435.920322143421,4719.59378793656
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1826042126021,510.880038255877,7024.4272943621,53.1826042126021,510.880038255877,7024.4272943621
1982,"Black Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
