"gridg0","group.id","month","timegroups"
"394698","G5162012",4,"before 2000"
"396646","G5213481",5,"before 2000"
"397308","G5265195",5,"before 2000"
"387562","S62436367",7,"before 2000"
"387562","S206996476",7,"before 2000"
"387562","S62436621",7,"before 2000"
"387562","S150182642",7,"before 2000"
"387562","S62436210",7,"before 2000"
"387562","S62457841",7,"before 2000"
"387562","S62457225",7,"before 2000"
"387562","S62457513",7,"before 2000"
"387562","S62458103",7,"before 2000"
"387562","S150237612",7,"before 2000"
"387562","S62459993",7,"before 2000"
"395349","S150239227",7,"before 2000"
"387559","S62460557",8,"before 2000"
"387562","S62460311",8,"before 2000"
"387562","S62460632",8,"before 2000"
"387562","S207004457",8,"before 2000"
"387562","S62460620",8,"before 2000"
"387562","S62460158",8,"before 2000"
"387562","S62460353",8,"before 2000"
"393409","S16732117",7,"before 2000"
"394039","S16721543",7,"before 2000"
"394038","S16740036",7,"before 2000"
"397958","S16755163",7,"before 2000"
"397302","S16730271",7,"before 2000"
"397308","S16721288",7,"before 2000"
"394697","S16755971",7,"before 2000"
"394698","S16755608",7,"before 2000"
"395349","S16730037",7,"before 2000"
"394038","G4676167",11,"before 2000"
"394038","G4676171",11,"before 2000"
"375199","G4676161",11,"before 2000"
"380409","G4676163",11,"before 2000"
"380409","G4676181",11,"before 2000"
"394699","G4676164",11,"before 2000"
"393409","S7807460",8,"before 2000"
"394698","S7807641",8,"before 2000"
"395349","S7807213",8,"before 2000"
"393409","S59284223",7,"before 2000"
"393409","S59284001",7,"before 2000"
"393409","S59284081",7,"before 2000"
"393409","S59284349",7,"before 2000"
"393409","S59284326",7,"before 2000"
"398594","S59286026",7,"before 2000"
"394038","S59286963",7,"before 2000"
"394038","S59288001",7,"before 2000"
"394038","S59282540",7,"before 2000"
"394038","S59289480",7,"before 2000"
"394038","S59283327",7,"before 2000"
"394038","S59283513",7,"before 2000"
"394038","S59283698",7,"before 2000"
"394038","S59283759",7,"before 2000"
"394038","S59289968",7,"before 2000"
"394698","S59277974",7,"before 2000"
"394699","S59284454",7,"before 2000"
"394698","S59278395",7,"before 2000"
"395349","S59278545",7,"before 2000"
"394698","S59278658",7,"before 2000"
"394038","S59302523",8,"before 2000"
"394038","S59302389",8,"before 2000"
"394699","S59302229",8,"before 2000"
"395349","S198205692",10,"before 2000"
"394695","S24453032",6,"before 2000"
"394038","S181633916",6,"before 2000"
"397958","S181869846",6,"before 2000"
"394697","S181854988",6,"before 2000"
"395353","S181733689",6,"before 2000"
"395353","S24503909",6,"before 2000"
"394038","S24453277",7,"before 2000"
"397958","S24455855",7,"before 2000"
"390164","S59965230",9,"before 2000"
"385621","S59964450",9,"before 2000"
"386269","S59964708",9,"before 2000"
"385619","S59963235",9,"before 2000"
"388218","S59964864",9,"before 2000"
"389516","S59965076",9,"before 2000"
"394059","S254265794",8,"before 2000"
"398592","S253685197",8,"before 2000"
"398592","S287807316",8,"before 2000"
"394038","S287818360",8,"before 2000"
"394038","S287811618",8,"before 2000"
"395353","S253459572",8,"before 2000"
"394699","S305679427",8,"before 2000"
"394060","S51421377",5,"before 2000"
"394059","S51442293",5,"before 2000"
"394059","S51253647",5,"before 2000"
"399244","S51659877",5,"before 2000"
"399893","S51888831",5,"before 2000"
"397311","S51904322",5,"before 2000"
"397958","S51902651",5,"before 2000"
"394698","S50376372",5,"before 2000"
"394713","S52143337",6,"before 2000"
"395349","S217467525",6,"before 2000"
"394059","S181987025",6,"before 2000"
"394695","G11818922",9,"before 2000"
"394038","G11818970",9,"before 2000"
"394038","S293038379",1,"before 2000"
"394039","S293039455",1,"before 2000"
"395350","S293040933",1,"before 2000"
"393409","S31313323",7,"before 2000"
"394038","S31314617",7,"before 2000"
"397958","S31313888",7,"before 2000"
"394698","S31314249",7,"before 2000"
"394697","S31312720",7,"before 2000"
"394698","S31312502",7,"before 2000"
"394699","S31314458",7,"before 2000"
"393409","S94754754",2,"before 2000"
"395353","S94758360",2,"before 2000"
"395349","S94753744",2,"before 2000"
"375199","S25154974",2,"before 2000"
"375199","S25202983",2,"before 2000"
"377151","S25154794",2,"before 2000"
"384937","S25203643",2,"before 2000"
"381035","S25203788",2,"before 2000"
"390808","S25152608",10,"before 2000"
"394049","S25152845",11,"before 2000"
"374550","S25215364",1,"before 2000"
"394698","S204179482",5,"before 2000"
"395353","S25238087",6,"before 2000"
"395353","S25238105",6,"before 2000"
"390153","S25328330",7,"before 2000"
"393404","S25328346",7,"before 2000"
"395353","S25238117",7,"before 2000"
"393409","S25153687",11,"before 2000"
"394059","S25214631",3,"before 2000"
"395349","S71122991",5,"before 2000"
"394699","S101986930",5,"2000-2006"
"395353","S25214796",5,"2000-2006"
"393401","S25153978",2,"2000-2006"
"394049","S25214873",2,"2000-2006"
"384287","S218438954",9,"2000-2006"
"385586","S218435760",1,"2000-2006"
"387533","S225236776",2,"2000-2006"
"395349","S71277836",4,"2000-2006"
"394698","S71277885",4,"2000-2006"
"394698","S71320904",8,"2000-2006"
"390785","S218447079",9,"2000-2006"
"394698","S71384363",2,"2000-2006"
"379758","S50317882",4,"2000-2006"
"395349","S169307137",6,"2000-2006"
"395349","S306343985",3,"2000-2006"
"395349","S98941658",5,"2000-2006"
"394699","S263829140",3,"2000-2006"
"393397","S263721013",10,"2007-2010"
"394696","S263824723",10,"2007-2010"
"397941","S263828199",10,"2007-2010"
"396641","S263826690",10,"2007-2010"
"398568","S69997528",6,"2007-2010"
"395975","S70022261",6,"2007-2010"
"396625","S70021373",7,"2007-2010"
"391424","S70022858",7,"2007-2010"
"395349","S153862765",10,"2007-2010"
"394048","S31560001",6,"2007-2010"
"395349","S270806584",7,"2007-2010"
"388845","S25329504",3,"2007-2010"
"397958","S21718555",6,"2007-2010"
"397958","G13428029",6,"2007-2010"
"395353","S21718149",6,"2007-2010"
"395349","S21718440",6,"2007-2010"
"395349","S21707180",6,"2007-2010"
"395349","S166585885",6,"2007-2010"
"395349","S166586409",6,"2007-2010"
"397958","S21718638",7,"2007-2010"
"371953","S201978858",7,"2007-2010"
"394681","S156225217",8,"2007-2010"
"397280","S81927989",10,"2007-2010"
"377146","S125369533",12,"2007-2010"
"372595","S125368322",12,"2007-2010"
