"LOCALITY.ID","group.id","month","timegroups"
"L11671075","G10007747",2,"2021"
"L23901085","G10093850",4,"2022"
"L23927302","G10093850",4,"2022"
"L24004221","G10138146",5,"2022"
"L24167157","G10173024",5,"2022"
"L24186689","G10178843",5,"2022"
"L1108461","G10199098",5,"2022"
"L20590688","G10199099",5,"2022"
"L8529456","G10199100",4,"2022"
"L24268090","G10199233",5,"2022"
"L22914018","G10199445",5,"2022"
"L11310858","G10199446",5,"2022"
"L3823608","G10199448",5,"2022"
"L18097769","G10199462",5,"2022"
"L22914018","G10199464",5,"2022"
"L12847836","G10199465",5,"2022"
"L19025794","G10199532",5,"2022"
"L24272400","G10200395",5,"2022"
"L21324608","G10201463",5,"2022"
"L11310858","G10201465",5,"2022"
"L13502011","G10202423",5,"2022"
"L17067890","G10219098",5,"2022"
"L22649967","G10219123",5,"2022"
"L21594014","G10220386",5,"2022"
"L15020412","G10223092",5,"2022"
"L8529456","G10224402",5,"2022"
"L24323979","G10236125",5,"2022"
"L24322938","G10236127",5,"2022"
"L24322088","G10236128",5,"2022"
"L24278261","G10236129",5,"2022"
"L24278261","G10236130",5,"2022"
"L24278261","G10236139",5,"2022"
"L24277009","G10236144",5,"2022"
"L24275971","G10236145",5,"2022"
"L24273885","G10236148",5,"2022"
"L24272219","G10236152",5,"2022"
"L24270769","G10236157",5,"2022"
"L24269621","G10237201",5,"2022"
"L3353046","G10237233",5,"2022"
"L3353046","G10237234",5,"2022"
"L24265675","G10237235",5,"2022"
"L24266185","G10237236",5,"2022"
"L24266461","G10237237",5,"2022"
"L24266590","G10237238",5,"2022"
"L24267357","G10237239",5,"2022"
"L24267611","G10237240",5,"2022"
"L24268044","G10237241",5,"2022"
"L24268044","G10237242",5,"2022"
"L24268532","G10237243",5,"2022"
"L24269097","G10237244",5,"2022"
"L24269237","G10237245",5,"2022"
"L1108506","G10245594",5,"2022"
"L15843279","G10253752",5,"2022"
"L7768352","G10253753",5,"2022"
"L24415922","G10253754",5,"2022"
"L19500330","G10253755",5,"2022"
"L19500330","G10253756",5,"2022"
"L24437094","G10260146",5,"2022"
"L14839792","G10260342",5,"2022"
"L3823608","G10260343",5,"2022"
"L3823608","G10260344",5,"2022"
"L2742480","G10260654",5,"2022"
"L24460767","G10265029",5,"2022"
"L1108506","G10265030",5,"2022"
"L18352030","G10282015",5,"2022"
"L1108506","G10283783",7,"2016"
"L4816634","G10283785",7,"2016"
"L2742480","G10283786",7,"2016"
"L4816632","G10283787",7,"2016"
"L3752916","G10283788",7,"2016"
"L4816631","G10283789",7,"2016"
"L2902624","G10283790",7,"2016"
"L4816629","G10283791",7,"2016"
"L4816626","G10283792",7,"2016"
"L6082770","G10335118",5,"2022"
"L2743097","G1050801",11,"2014"
"L3181661","G1055563",11,"2014"
"L1108461","G1055565",11,"2014"
"L3922980","G1414873",9,"2015"
"L2743097","G1420754",6,"2015"
"L2743097","G1420755",9,"2015"
"L2743097","G1420756",8,"2015"
"L3932001","G1421041",9,"2015"
"L3933640","G1421044",9,"2015"
"L3933633","G1421045",9,"2015"
"L3932030","G1421047",9,"2015"
"L3922980","G1421049",9,"2015"
"L3932001","G1421243",9,"2015"
"L3932026","G1421244",9,"2015"
"L3932001","G1421245",9,"2015"
"L3932001","G1421247",9,"2015"
"L3932025","G1421248",9,"2015"
"L3937613","G1425593",10,"2015"
"L3937613","G1425594",10,"2015"
"L3959700","G1437244",10,"2015"
"L3958210","G1437246",10,"2015"
"L3958571","G1444515",6,"2015"
"L3958571","G1444519",6,"2015"
"L3933988","G1456175",10,"2015"
"L3933988","G1456176",10,"2015"
"L3958571","G1456989",11,"2015"
"L3955946","G1456993",11,"2015"
"L1108461","G1583722",5,"2011-2012"
"L4242423","G1597876",2,"2015"
"L4304130","G1616503",2,"2015"
"L4111739","G1626915",12,"2015"
"L4111739","G1626916",12,"2015"
"L2987261","G1626917",1,"2015"
"L2987261","G1626918",1,"2015"
"L2987261","G1626919",1,"2015"
"L2987261","G1626920",12,"2015"
"L4314499","G1627732",2,"2015"
"L4314468","G1627733",2,"2015"
"L1108461","G1646122",8,"2015"
"L4560640","G1733041",5,"2015"
"L4555800","G1733042",5,"2015"
"L4560760","G1733154",5,"2015"
"L4743212","G1829121",5,"2015"
"L4743231","G1829288",5,"2015"
"L4743658","G1829380",5,"2015"
"L4743603","G1829381",5,"2015"
"L4819492","G1864198",5,"2015"
"L3752916","G2184352",6,"2014"
"L5182560","G2184353",6,"2014"
"L5186188","G2184382",7,"2014"
"L2743097","G2184383",7,"2014"
"L3752916","G2184387",7,"2014"
"L2743097","G2261441",3,"2016"
"L5565433","G2270694",3,"2016"
"L4012182","G2369031",4,"2016"
"L5792503","G2389434",5,"2016"
"L5792420","G2389438",5,"2016"
"L5791647","G2389453",5,"2016"
"L5786900","G2389454",5,"2016"
"L10354559","G2389454",5,"2016"
"L5783721","G2389455",5,"2016"
"L5783759","G2389458",5,"2016"
"L5783196","G2389459",5,"2016"
"L5791647","G2389503",5,"2016"
"L5783721","G2389510",5,"2016"
"L4306365","G2398440",5,"2016"
"L5878903","G2449225",5,"2016"
"L5878903","G2449226",5,"2016"
