"gridg0","group.id","month","timegroups"
"246756","S117968212",3,"before 2000"
"246756","S117967464",3,"before 2000"
"246106","S117968590",3,"before 2000"
"231801","S20610680",5,"before 2000"
"239581","S41056566",5,"before 2000"
"233098","S20610757",5,"before 2000"
"231801","S20618931",2,"before 2000"
"235044","S20638910",2,"before 2000"
"233099","S20639077",2,"before 2000"
"246073","G5326116",10,"2000-2006"
"224630","S39101067",9,"2000-2006"
"231801","S31129747",11,"2000-2006"
"263037","S43088320",12,"2000-2006"
"231801","S309855773",6,"2000-2006"
"244150","S102255395",3,"2007-2010"
"244150","S103330447",4,"2007-2010"
"244149","S102773328",3,"2011-2012"
"243499","S102773583",4,"2011-2012"
"244149","S102363645",4,"2011-2012"
"244149","S102322826",4,"2011-2012"
"243499","S102827732",5,"2011-2012"
"244150","S103325544",5,"2011-2012"
"243499","S102827805",6,"2011-2012"
"244149","S97566461",6,"2011-2012"
"244149","S102323076",6,"2011-2012"
"244149","S103324399",6,"2011-2012"
"244150","S97545976",8,"2011-2012"
"244150","S101020644",8,"2011-2012"
"244150","S103551524",9,"2011-2012"
"243499","S102362885",10,"2011-2012"
"243499","S103486561",11,"2011-2012"
"243499","S97652749",11,"2011-2012"
"244149","S103551585",11,"2011-2012"
"243501","S102828481",12,"2011-2012"
"243500","S103325189",12,"2011-2012"
"243500","S97509999",12,"2011-2012"
"244142","S97608853",12,"2011-2012"
"244149","S97506654",12,"2011-2012"
"243499","S103551718",12,"2011-2012"
"241551","S97455834",12,"2011-2012"
"238264","S57385974",1,"2011-2012"
"244144","S101021107",2,"2011-2012"
"243499","S103486048",2,"2011-2012"
"244799","S17113732",3,"2011-2012"
"244150","S102827288",3,"2011-2012"
"228557","S33029638",4,"2011-2012"
"247356","S87710894",6,"2013"
"243499","S97652827",7,"2013"
"243499","S97652809",7,"2013"
"233102","S59853931",11,"2013"
"248050","S17121297",12,"2013"
"251281","S17292735",12,"2013"
"251281","S17293024",12,"2013"
"253884","S17110255",12,"2013"
"251283","S17121410",12,"2013"
"243500","S97462121",1,"2013"
"246113","S17056241",1,"2013"
"233101","S17282061",1,"2013"
"233101","S17612392",1,"2013"
"233101","S17281832",1,"2013"
"232452","S17107986",1,"2013"
"249331","S17109986",1,"2013"
"249331","S17109864",1,"2013"
"249332","S17110143",1,"2013"
"240231","S17111070",1,"2013"
"231149","S17108243",1,"2013"
"244149","S97615616",2,"2013"
"244801","S97615128",2,"2013"
"250675","S23085874",2,"2013"
"249333","S17015316",2,"2013"
"238930","S17063331",2,"2013"
"239581","S17084796",2,"2013"
"263037","S17155864",2,"2013"
"244149","S100638177",5,"2013"
"243499","S102827210",5,"2013"
"249304","S23298543",5,"2013"
"244150","S97552003",6,"2014"
"244150","S19986981",9,"2014"
"240232","S278597711",10,"2014"
"246756","S20806997",11,"2014"
"240232","S278790236",11,"2014"
"240232","S278593515",11,"2014"
"244799","S20952747",12,"2014"
"246756","S20801351",12,"2014"
"246756","S20801360",12,"2014"
"246756","S20801364",12,"2014"
"229855","S91332031",12,"2014"
"240232","S278578495",12,"2014"
"240232","S278583596",12,"2014"
"240232","S278580715",12,"2014"
"264337","G1092423",12,"2014"
"246114","S27632200",1,"2014"
"240231","S278588782",1,"2014"
"244149","S103324112",2,"2014"
"246114","S23085364",2,"2014"
"239581","S21865086",2,"2014"
"239581","S102356069",2,"2014"
"239581","S21818272",2,"2014"
"239581","S21894084",2,"2014"
"233101","S266324008",3,"2014"
"248007","S24091153",6,"2015"
"243456","S24091649",6,"2015"
"248007","S24090808",6,"2015"
"243456","S24092008",6,"2015"
"243456","S24091401",6,"2015"
"241508","S24091453",6,"2015"
"243456","S24091258",6,"2015"
"249332","S30538234",7,"2015"
"247356","S94360249",8,"2015"
"246106","S278788836",10,"2015"
"246106","S278791328",10,"2015"
"253274","S25843119",10,"2015"
"246106","S278792070",11,"2015"
"231801","S25916029",11,"2015"
"252604","S39898150",11,"2015"
"239581","S25842248",11,"2015"
"240243","S25871401",11,"2015"
"231800","S155322942",11,"2015"
"253260","S48006889",12,"2015"
"248050","S26280639",12,"2015"
"251953","S26280541",12,"2015"
"252604","S26236188",12,"2015"
"240885","S64825850",12,"2015"
"240885","S26532156",12,"2015"
"240231","S26534833",12,"2015"
"239581","S26534642",12,"2015"
"243480","S26534221",12,"2015"
"246094","S97462400",1,"2015"
"229857","S27153885",1,"2015"
"227263","S27045429",1,"2015"
"227263","S27044885",1,"2015"
"247356","S41955083",1,"2015"
"239581","S27066702",1,"2015"
"239581","S27229033",1,"2015"
"239581","S27190434",1,"2015"
"239581","S27204344",1,"2015"
"239581","S27098772",1,"2015"
"239581","S26774027",1,"2015"
"239581","S64827569",1,"2015"
"239581","S26788499",1,"2015"
"238930","S27048493",1,"2015"
"240885","S26673326",1,"2015"
"238930","S64826590",1,"2015"
"240231","S27013727",1,"2015"
"239581","S64827141",1,"2015"
"239581","S27013894",1,"2015"
"243493","S97386775",2,"2015"
"249332","S28260977",2,"2015"
"239581","S27295340",2,"2015"
"239581","S27246161",2,"2015"
"239581","S27446265",2,"2015"
"239581","S27265450",2,"2015"
"239581","S27477217",2,"2015"
"239581","S27376683",2,"2015"
"239581","S27246370",2,"2015"
"239581","S27407079",2,"2015"
"239581","S27278663",2,"2015"
"239581","S27425364",2,"2015"
"239581","S27394375",2,"2015"
"239581","S27686124",2,"2015"
"239581","S27311426",2,"2015"
"239581","S27353987",2,"2015"
"239581","S27394220",2,"2015"
"241536","S27328123",2,"2015"
"239581","S27376919",2,"2015"
"239581","S27265543",2,"2015"
"239581","S27295071",2,"2015"
"233101","S28248832",2,"2015"
"231800","S38734534",2,"2015"
"240232","S28640411",3,"2015"
"228542","S48320924",3,"2015"
"248682","S29891675",5,"2015"
"249332","S29891815",5,"2015"
"248682","S29891923",5,"2015"
"240231","S29891280",5,"2015"
"240231","S29891122",5,"2015"
"249332","S30539896",7,"2016"
"249333","S30539346",7,"2016"
"249332","S30539897",7,"2016"
"249332","S30539895",7,"2016"
"240231","S263719921",7,"2016"
"240883","S30539894",7,"2016"
