"LOCALITY.ID","group.id","month","timegroups"
"L8236529","G10045983",4,"2022"
"L20175197","G10092175",4,"2022"
"L16057147","G10146984",5,"2022"
"L16122839","G10180768",5,"2022"
"L18313709","G10205327",5,"2022"
"L4106915","G10219737",5,"2022"
"L24364657","G10234356",5,"2022"
"L19445621","G10243972",5,"2022"
"L4106915","G10330672",5,"2022"
"L17481898","G10352779",5,"2022"
"L3259950","G1092423",12,"2014"
"L6479150","G3299731",6,"2018"
"L6479150","G3299732",6,"2018"
"L6479150","G3299734",6,"2018"
"L7515958","G3299738",6,"2018"
"L8289588","G3682109",12,"2018"
"L8289665","G3682110",12,"2018"
"L8289665","G3682118",12,"2018"
"L8289588","G3698983",12,"2018"
"L8326968","G3698987",12,"2018"
"L8327012","G3698988",12,"2018"
"L10169260","G4677819",11,"2019"
"L10172676","G4680415",11,"2019"
"L10275022","G4737739",12,"2019"
"L10275022","G4739978",12,"2019"
"L10275022","G4742462",12,"2019"
"L10286392","G4744424",12,"2019"
"L10210966","G4758215",12,"2019"
"L10275022","G4758572",12,"2019"
"L10482188","G4867262",1,"2019"
"L11415255","G5326116",10,"2000-2006"
"L10373244","G5642351",8,"2020"
"L10373244","G5642369",8,"2020"
"L12098624","G5651258",8,"2020"
"L12141110","G5651260",8,"2020"
"L12153455","G5655411",8,"2020"
"L10203129","G5655443",8,"2020"
"L12179332","G5661168",8,"2020"
"L10373244","G5672466",9,"2020"
"L10207349","G5683549",9,"2020"
"L8236529","G5683550",9,"2020"
"L8236529","G5683551",9,"2020"
"L10207349","G5683554",9,"2020"
"L8236529","G5683555",9,"2020"
"L12264853","G5697334",9,"2020"
"L5822660","G5703216",9,"2020"
"L12264853","G5712301",9,"2020"
"L12326523","G5727968",9,"2020"
"L12264853","G5730109",9,"2020"
"L12389378","G5749977",9,"2020"
"L12264853","G5876489",11,"2020"
"L12264853","G5876587",11,"2020"
"L12634577","G5879444",11,"2020"
"L12471147","G5879445",10,"2020"
"L12264783","G5879446",10,"2020"
"L12748256","G5916016",11,"2020"
"L12748021","G5916017",11,"2020"
"L12799207","G5983771",12,"2020"
"L12366822","G6002140",12,"2020"
"L13142437","G6098274",1,"2020"
"L3983976","G6228881",12,"2020"
"L12997694","G6228884",12,"2020"
"L4195494","G6228885",12,"2020"
"L12264853","G6233996",1,"2020"
"L14506736","G6573921",4,"2020"
"L12153471","G7023344",7,"2021"
"L15852607","G7073441",8,"2021"
"L15852607","G7076997",8,"2021"
"L16122839","G7202813",9,"2021"
