"eBird.English.Name.2024","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"Fulvous Whistling-Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck",-4.70694788072521,-3.16268436696604,-1.61842085320688,-7.42195413810794,-4.47693511400692,-1.5319160899059,-3.66829973188544,-2.16244259610784,-0.65658546033023,-3.91686490116829,-2.52289430402583,-1.12892370688338,-3.8513461365436,-2.46680669081432,-1.08226724508504,-3.85017374718711,-2.47740536767451,-1.10463698816191,-3.79904195264314,-2.40975725245546,-1.02047255226778,-3.95740302394718,-2.53879266300159,-1.12018230205599,-3.80383815869246,-2.28253291194773,-0.761227665203013,-4.21900809490486,-2.55358916446374,-0.888170234022621
"Bar-headed Goose",-8.53624370014414,-4.52064949976766,-0.505055299391173,-17.7094942353564,-11.3303525060795,-4.95121077680257,-8.50625414673223,-5.04460427459899,-1.58295440246576,-8.33318693257954,-4.67076656672085,-1.00834620086217,-8.36486456486393,-4.92477635731958,-1.48468814977523,-8.11926256431891,-4.76296776330934,-1.40667296229977,-8.50800818426906,-5.17897179319148,-1.8499354021139,-8.37558121803073,-4.85400113444537,-1.33242105086001,-8.93987178884804,-5.45741530284508,-1.97495881684212,-8.75768194513586,-3.90497827851141,0.94772538811304
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
