"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1998,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Lesser Whistling-Duck","2016",0.060833760938851,0.0731581394634594,0.087046776875255,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Lesser Whistling-Duck","2017",0.0618131821645831,0.0751015254022304,0.0886529417065832,NA,NA,NA,94.9368721219961,102.352529299604,111.02646191668,NA,NA,NA,94.9368721219961,102.352529299604,111.02646191668
2018,"Lesser Whistling-Duck","2018",0.0586616607933948,0.0705037895745267,0.0837650232489622,NA,NA,NA,89.7354026904114,96.1261339089199,104.298066264115,NA,NA,NA,89.7354026904114,96.1261339089199,104.298066264115
2019,"Lesser Whistling-Duck","2019",0.062056905741824,0.0740035861346234,0.0877627887902288,NA,NA,NA,94.62794103977,101.519796277067,108.86728845721,NA,NA,NA,94.62794103977,101.519796277067,108.86728845721
2020,"Lesser Whistling-Duck","2020",0.0598937476173001,0.0717614417554567,0.0850573524578628,NA,NA,NA,92.2812920169398,98.3907782391065,105.538391364875,NA,NA,NA,92.2812920169398,98.3907782391065,105.538391364875
2021,"Lesser Whistling-Duck","2021",0.0638796457831108,0.0769405878021258,0.0909456819602238,NA,NA,NA,98.2095259783537,104.922983583874,112.34714957507,NA,NA,NA,98.2095259783537,104.922983583874,112.34714957507
2022,"Lesser Whistling-Duck","2022",0.05811680030887,0.0696481569873492,0.0825194520022472,NA,NA,NA,89.7138989605533,95.3119748073877,101.561081531155,NA,NA,NA,89.7138989605533,95.3119748073877,101.561081531155
2023,"Lesser Whistling-Duck","2023",0.0586043572579179,0.0699276610648849,0.0825674540570933,NA,NA,NA,89.8396992046945,95.589021573252,102.90427937798,NA,NA,NA,89.8396992046945,95.589021573252,102.90427937798
2024,"Lesser Whistling-Duck","2024",0.0529370647922107,0.0639954048704984,0.0757301207770868,NA,NA,NA,82.3584069875134,87.5159435984194,93.7714529454382,NA,NA,NA,82.3584069875134,87.5159435984194,93.7714529454382
2025,"Lesser Whistling-Duck","2025",0.0514554216722545,0.0617540090889682,0.0731747675776732,NA,NA,NA,79.5539449186382,84.5112878053812,90.5969679066971,NA,NA,NA,79.5539449186382,84.5112878053812,90.5969679066971
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,82.0675788356904,87.9008369874907,94.2423372278113,82.0675788356904,87.9008369874907,94.2423372278113
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8851238792164,86.4435102456538,93.6359883246403,79.8851238792164,86.4435102456538,93.6359883246403
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7653600680141,84.9588143567261,93.0308128966255,77.7653600680141,84.9588143567261,93.0308128966255
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,75.6636104846915,83.5811944117386,92.5143156283891,75.6636104846915,83.5811944117386,92.5143156283891
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6316773366616,82.1827021249289,91.9579148832936,73.6316773366616,82.1827021249289,91.9579148832936
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6175699424979,80.7953156466499,91.4171397750164,71.6175699424979,80.7953156466499,91.4171397750164
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,69.6685030865718,79.4945269180546,90.9366859400194,69.6685030865718,79.4945269180546,90.9366859400194
2033,"Lesser Whistling-Duck","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,67.7904758585256,78.1595298087374,90.4932689864348,67.7904758585256,78.1595298087374,90.4932689864348
1998,"Bar-headed Goose","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Bar-headed Goose","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bar-headed Goose","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Bar-headed Goose","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
