"gridg0","group.id","month","timegroups"
"74928","S17492602",3,"2000-2006"
"123685","S19464649",2,"2000-2006"
"95716","S37768269",5,"2000-2006"
"95716","S23622447",5,"2000-2006"
"95069","S224476843",11,"2000-2006"
"82735","G4791449",11,"2000-2006"
"82735","G4785090",12,"2000-2006"
"82735","S60470826",5,"2000-2006"
"89199","G4569534",5,"2000-2006"
"89199","G4569535",5,"2000-2006"
"78837","G4774008",7,"2000-2006"
"78837","G4573538",7,"2000-2006"
"78837","G4973557",10,"2000-2006"
"78837","G4848100",8,"2000-2006"
"119088","S24144031",2,"2000-2006"
"79491","S54896606",11,"2000-2006"
"79491","G4043406",8,"2000-2006"
"79491","G4842546",8,"2000-2006"
"79491","G4039171",11,"2000-2006"
"89245","S60417459",4,"2000-2006"
"79491","S64173288",11,"2000-2006"
"78839","S63932287",12,"2000-2006"
"79487","G4863270",10,"2000-2006"
"81439","S19463050",2,"2000-2006"
"97004","S37768355",5,"2000-2006"
"124287","S47352212",5,"2000-2006"
"124287","S47344822",1,"2000-2006"
"124287","S47346283",1,"2000-2006"
"124287","S47305564",11,"2000-2006"
"124287","S47346688",5,"2000-2006"
"124287","S47578980",2,"2000-2006"
"124287","S47352335",5,"2000-2006"
"124287","S47305751",12,"2000-2006"
"124287","S47294078",9,"2000-2006"
"124287","S47294220",10,"2000-2006"
"124287","S47346397",3,"2000-2006"
"124287","S47346501",5,"2000-2006"
"79488","G10459345",6,"2000-2006"
"79489","G4571464",6,"2000-2006"
"79489","G4571062",6,"2000-2006"
"79489","S63931637",12,"2000-2006"
"78838","S63932457",12,"2000-2006"
"80785","G4950509",3,"2000-2006"
"80787","G5007377",3,"2000-2006"
"79489","G5048069",12,"2000-2006"
"79489","G5027609",12,"2000-2006"
"79489","S64738636",10,"2000-2006"
"79489","S64743979",8,"2000-2006"
"95761","G9016745",11,"2000-2006"
"95761","G9016744",11,"2000-2006"
"85987","G5024846",7,"2000-2006"
"129488","S115727600",5,"2000-2006"
"79488","G5048018",12,"2000-2006"
"79488","G5013244",4,"2000-2006"
"79488","G5013238",10,"2000-2006"
"79488","S64222787",1,"2000-2006"
"79488","G5024843",5,"2000-2006"
"79488","G5027602",11,"2000-2006"
"79488","S64223436",1,"2000-2006"
