"LOCALITY.ID","group.id","month","timegroups"
"L10350447","S62645650",8,"before 2000"
"L3335641","S153962866",3,"before 2000"
"L7907350","S48379378",12,"before 2000"
"L5151995","S33050114",8,"before 2000"
"L5151995","S33050138",3,"before 2000"
"L8700660","S53156840",8,"before 2000"
"L16295274","S94202986",9,"before 2000"
"L16257026","S93989366",9,"before 2000"
"L16295233","S94202763",9,"before 2000"
"L16257065","S93989779",9,"before 2000"
"L14030353","S83389897",2,"before 2000"
"L5073913","S94209934",5,"before 2000"
"L16295622","S94595355",6,"before 2000"
"L2464127","S94357640",6,"before 2000"
"L16295324","S94203942",7,"before 2000"
"L4944788","S94886724",8,"before 2000"
"L3335641","G4676259",3,"before 2000"
"L9206729","G4676255",3,"before 2000"
"L9206729","G4676250",3,"before 2000"
"L9206438","G4676249",3,"before 2000"
"L2609314","S68367836",5,"before 2000"
"L5178763","S35811185",6,"before 2000"
"L5088998","S32603278",10,"before 2000"
"L5073886","S32471851",12,"before 2000"
"L3150186","S122058503",9,"before 2000"
"L5069763","S32446061",9,"before 2000"
"L5069763","S32445409",9,"before 2000"
"L5071558","S32458680",9,"before 2000"
"L13259214","S79176430",11,"before 2000"
"L6296625","G2657296",3,"before 2000"
"L3150186","S122058304",5,"before 2000"
"L5073944","S32473962",6,"before 2000"
"L3955150","S181741749",6,"before 2000"
"L2386799","S24457658",2,"before 2000"
"L5084181","S32567065",3,"before 2000"
"L5083401","S32562965",4,"before 2000"
"L4945620","S31733478",4,"before 2000"
"L5178763","S33201917",4,"before 2000"
"L5070988","S32453647",4,"before 2000"
"L5070970","S32453541",4,"before 2000"
"L5070962","S32453490",4,"before 2000"
"L5069763","S32453353",4,"before 2000"
"L5069763","S32453584",4,"before 2000"
"L5069763","S32453435",4,"before 2000"
"L5069763","S32453560",4,"before 2000"
"L5070965","S32453518",4,"before 2000"
"L33400047","S181658927",6,"before 2000"
"L5071626","S32458945",6,"before 2000"
"L5073045","S32467415",6,"before 2000"
"L5071762","S32468250",8,"before 2000"
"L9024636","S32467331",9,"before 2000"
"L9024644","S32458232",9,"before 2000"
"L9024968","S54851539",9,"before 2000"
"L9024811","S54850809",9,"before 2000"
"L9024850","S54851037",9,"before 2000"
"L2579365","S54075865",9,"before 2000"
"L5071701","S32459494",11,"before 2000"
"L6261494","G2631853",1,"before 2000"
"L5178799","S33202372",4,"before 2000"
"L2609314","S184763515",7,"before 2000"
"L13411618","S80013887",4,"before 2000"
"L6297137","S39380550",5,"before 2000"
"L3335641","S33076390",12,"before 2000"
"L3942104","S33076133",12,"before 2000"
"L2576264","S33076735",12,"before 2000"
"L5145953","S33008880",12,"before 2000"
"L2579365","S33076502",1,"before 2000"
"L4878132","S31242609",1,"before 2000"
"L3150186","S80011968",10,"before 2000"
"L3135146","S36475393",10,"before 2000"
"L3135146","S36475303",10,"before 2000"
"L4878132","S31242691",1,"before 2000"
"L3595173","S23091469",5,"before 2000"
"L3595025","S23090913",5,"before 2000"
"L2386799","S48500628",1,"before 2000"
"L4878132","S31243023",1,"before 2000"
"L3749343","S24046396",6,"before 2000"
"L2525698","S39267978",9,"before 2000"
"L2525578","S39267921",10,"before 2000"
"L2525709","S39246617",11,"before 2000"
"L2570625","S39269936",12,"before 2000"
"L2525698","S39268433",12,"before 2000"
"L21457928","S121942841",1,"before 2000"
"L4878132","S31256325",1,"before 2000"
"L8670728","S53014123",1,"before 2000"
"L5796968","S36613368",1,"before 2000"
"L1967106","G2631852",3,"before 2000"
"L3198730","G2639649",3,"before 2000"
"L2638393","S36614368",4,"before 2000"
"L2639177","S48400011",4,"before 2000"
"L2479400","S24046742",4,"before 2000"
"L5078570","S32516721",6,"before 2000"
"L5111180","S32757301",6,"before 2000"
"L2525578","S36555703",7,"before 2000"
"L5752682","S36555724",7,"before 2000"
"L2407941","S36555809",8,"before 2000"
"L2407941","G2664916",8,"before 2000"
"L5088977","S32603102",8,"before 2000"
"L2407941","G2664915",9,"before 2000"
"L5111249","G2054893",9,"before 2000"
"L2407941","S36638055",10,"before 2000"
"L2407941","S36509196",10,"before 2000"
"L5152248","S36503906",10,"before 2000"
"L2525698","G2389107",10,"before 2000"
"L5109220","S32744345",10,"before 2000"
"L5109183","S32744252",10,"before 2000"
"L5109391","G2055496",10,"before 2000"
"L5109536","G2055136",10,"before 2000"
"L5109266","G2055498",10,"before 2000"
"L5109354","G2055497",10,"before 2000"
"L5752682","G2382462",11,"before 2000"
"L3150186","S122059018",11,"before 2000"
"L5779359","S36503956",11,"before 2000"
"L2579365","S36504056",11,"before 2000"
"L5779367","S36503986",11,"before 2000"
"L5779388","S36504186",11,"before 2000"
"L13269065","G6167218",11,"before 2000"
"L13298308","G6167212",11,"before 2000"
"L13298088","G6167216",11,"before 2000"
"L5128384","S32888999",12,"before 2000"
"L13403195","G6215988",12,"before 2000"
"L13298409","G6167210",12,"before 2000"
"L13288794","G6215992",12,"before 2000"
"L13445108","S80189291",12,"before 2000"
"L13404178","G6215980",12,"before 2000"
"L13404043","G6215982",12,"before 2000"
"L13445269","S80190978",12,"before 2000"
"L13403828","G6215991",12,"before 2000"
"L13403927","G6215985",12,"before 2000"
"L2525578","G2380164",1,"before 2000"
"L2525578","G2384751",1,"before 2000"
"L2525578","G2384758",1,"before 2000"
"L2525578","G2380185",1,"before 2000"
"L2525578","G2633204",1,"before 2000"
"L5501870","S39125969",1,"before 2000"
"L2594681","S104588451",1,"before 2000"
"L2579365","S50291449",1,"before 2000"
"L4878132","G2431205",1,"before 2000"
"L2407941","G2380165",2,"before 2000"
"L5101428","S36379837",2,"before 2000"
"L5101428","S36380583",2,"before 2000"
"L2407941","S36380432",2,"before 2000"
"L2638393","S36040627",2,"before 2000"
"L2525698","S36504847",3,"before 2000"
"L5152248","G2384752",3,"before 2000"
"L5089047","G2050515",3,"before 2000"
"L16860884","G7405240",3,"before 2000"
"L7935938","S48572144",3,"before 2000"
"L5756309","S36325145",3,"before 2000"
"L7916452","S48439740",3,"before 2000"
"L7934291","S48548022",3,"before 2000"
"L7916600","S48440910",3,"before 2000"
"L2579365","S18884296",4,"before 2000"
"L2937933","S18884446",4,"before 2000"
"L2616003","S48426847",4,"before 2000"
"L2407941","G2378402",6,"before 2000"
"L1166879","G2380166",6,"before 2000"
"L2525578","S36308307",7,"before 2000"
"L5752682","G2380123",7,"before 2000"
"L5755880","S36322202",7,"before 2000"
"L7910600","S17425589",8,"before 2000"
"L2639177","S48418635",8,"before 2000"
"L2525709","G2368952",8,"before 2000"
"L5752682","S36474001",8,"before 2000"
"L3231456","G2646013",11,"before 2000"
"L3231456","G2646010",11,"before 2000"
"L3231456","G2646008",11,"before 2000"
"L3231456","G2647279",11,"before 2000"
"L3231456","G2646007",11,"before 2000"
"L2612147","S36534869",12,"before 2000"
