"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1994,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Lesser Whistling-Duck","2016",0.0388145689456499,0.0521622654718373,0.0708646896423186,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Lesser Whistling-Duck","2017",0.0381767082063411,0.051821613416349,0.0697899790285242,NA,NA,NA,93.1436969768743,99.0742590832397,105.195952981314,NA,NA,NA,93.1436969768743,99.0742590832397,105.195952981314
2018,"Lesser Whistling-Duck","2018",0.0361583362026768,0.0491905621391187,0.0663813263737956,NA,NA,NA,88.5801066331013,94.3960020444943,100.875005038962,NA,NA,NA,88.5801066331013,94.3960020444943,100.875005038962
2019,"Lesser Whistling-Duck","2019",0.0362941276139219,0.0489115574612991,0.0658298157040697,NA,NA,NA,88.6745837579658,93.8222420452149,100.05972216849,NA,NA,NA,88.6745837579658,93.8222420452149,100.05972216849
2020,"Lesser Whistling-Duck","2020",0.037710383622712,0.050740048723845,0.0686534241549846,NA,NA,NA,91.9169933415966,97.1581861664791,102.891756752336,NA,NA,NA,91.9169933415966,97.1581861664791,102.891756752336
2021,"Lesser Whistling-Duck","2021",0.0388986787170253,0.0522017714623329,0.0705012586600213,NA,NA,NA,94.4209856172603,99.7555260336444,106.149547240637,NA,NA,NA,94.4209856172603,99.7555260336444,106.149547240637
2022,"Lesser Whistling-Duck","2022",0.0322130260579404,0.0434081914066941,0.058896533343219,NA,NA,NA,78.3947151674088,83.1249535649255,88.0972002661786,NA,NA,NA,78.3947151674088,83.1249535649255,88.0972002661786
2023,"Lesser Whistling-Duck","2023",0.0300919846062439,0.0407839264589265,0.055583871847049,NA,NA,NA,73.6382616337547,78.0856620710372,82.7283250069807,NA,NA,NA,73.6382616337547,78.0856620710372,82.7283250069807
2024,"Lesser Whistling-Duck","2024",0.0329900320747102,0.0448956302559961,0.0609116388766673,NA,NA,NA,81.0168745866869,85.8561872442997,91.0592380192429,NA,NA,NA,81.0168745866869,85.8561872442997,91.0592380192429
