"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1994,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-3.95299757400252,0.0746561393736245,0.0164471331718337,0.0190139805089193,0.0219769308019677,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-3.90531745698552,0.0729580102064767,0.0173003535107042,0.019933214940287,0.0229620559205582,NA,NA,NA,85.1410457409882,104.83451863715,126.503902186643,NA,NA,NA,85.1410457409882,104.83451863715,126.503902186643
2017,"Lesser Whistling-Duck","2017",-3.84981158402616,0.071877095843506,0.0183171056254777,0.0210588457321974,0.0242058898748398,NA,NA,NA,92.3060862629119,110.754535181725,134.731980971185,NA,NA,NA,92.3060862629119,110.754535181725,134.731980971185
2018,"Lesser Whistling-Duck","2018",-3.80769532833349,0.0728201077719359,0.0190625312188167,0.0219546912966717,0.0252799649466797,NA,NA,NA,93.7699216896738,115.466045031302,141.715338787168,NA,NA,NA,93.7699216896738,115.466045031302,141.715338787168
2019,"Lesser Whistling-Duck","2019",-3.82293381692505,0.0733403513712165,0.0187580168084629,0.0216262876980677,0.0249275434274301,NA,NA,NA,92.0877154419809,113.738875917765,142.124456873123,NA,NA,NA,92.0877154419809,113.738875917765,142.124456873123
2020,"Lesser Whistling-Duck","2020",-3.7504190868674,0.0743613921825712,0.0201145864813714,0.023233733944818,0.0268299054486048,NA,NA,NA,97.9570979613253,122.192898714287,148.816810195377,NA,NA,NA,97.9570979613253,122.192898714287,148.816810195377
2021,"Lesser Whistling-Duck","2021",-3.76543319016482,0.0724860181730464,0.0198900784427737,0.0228914995791095,0.0263397172364613,NA,NA,NA,98.9823714325116,120.392989612939,147.130194182753,NA,NA,NA,98.9823714325116,120.392989612939,147.130194182753
2022,"Lesser Whistling-Duck","2022",-3.8952902884694,0.0728156227511255,0.0174780018243787,0.020132058392373,0.0231843589030688,NA,NA,NA,86.8944308270073,105.880293623575,128.495684681851,NA,NA,NA,86.8944308270073,105.880293623575,128.495684681851
2023,"Lesser Whistling-Duck","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.717644795587,120.546219922146,138.962462115196,104.717644795587,120.546219922146,138.962462115196
2024,"Lesser Whistling-Duck","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.854720431451,122.603954148595,145.021645538642,103.854720431451,122.603954148595,145.021645538642
2025,"Lesser Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.943101789727,124.712159625558,151.481193926299,102.943101789727,124.712159625558,151.481193926299
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.010074876562,126.872216786057,158.330668562547,102.010074876562,126.872216786057,158.330668562547
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.071307486476,129.085548826815,165.572293644355,101.071307486476,129.085548826815,165.572293644355
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.13623095516,131.353623151372,173.215637096518,100.13623095516,131.353623151372,173.215637096518
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2107333935972,133.677952865931,181.274984091025,99.2107333935972,133.677952865931,181.274984091025
1994,"Cotton Pygmy-Goose","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Cotton Pygmy-Goose","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Cotton Pygmy-Goose","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Cotton Pygmy-Goose","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Cotton Pygmy-Goose","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Cotton Pygmy-Goose","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Cotton Pygmy-Goose","2015",-6.42345187300348,0.0779507342134491,0.0013921140705672,0.00162172758857996,0.0018891774296708,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Cotton Pygmy-Goose","2016",-6.39958731640046,0.0712188678218542,0.00144463432798972,0.00166086235119529,0.00190942370466984,NA,NA,NA,82.2626630273627,102.413152670702,124.758352098971,NA,NA,NA,82.2626630273627,102.413152670702,124.758352098971
2017,"Cotton Pygmy-Goose","2017",-6.64228532918924,0.0682845314151835,0.00114003843647855,0.00130319377138246,0.0014896814838659,NA,NA,NA,65.597969697245,80.3583647808309,97.9804728529458,NA,NA,NA,65.597969697245,80.3583647808309,97.9804728529458
2018,"Cotton Pygmy-Goose","2018",-6.52987531425824,0.0718466933577129,0.00126671477020243,0.00145812368150424,0.00167843142302933,NA,NA,NA,74.2033280747329,89.9117516266112,110.480198390674,NA,NA,NA,74.2033280747329,89.9117516266112,110.480198390674
2019,"Cotton Pygmy-Goose","2019",-6.8371138302074,0.0767040215399072,0.000922968571626863,0.00107262069174458,0.00124652258898159,NA,NA,NA,53.4113123158163,66.1406206133424,81.9401970166616,NA,NA,NA,53.4113123158163,66.1406206133424,81.9401970166616
2020,"Cotton Pygmy-Goose","2020",-6.63156663607783,0.0740977407980596,0.00113926938393201,0.00131722818249351,0.00152296371563262,NA,NA,NA,66.3714201593766,81.2237635820777,100.827935844775,NA,NA,NA,66.3714201593766,81.2237635820777,100.827935844775
2021,"Cotton Pygmy-Goose","2021",-6.72667307555971,0.072493618640197,0.00103922461589217,0.0011977957664757,0.00138054593442885,NA,NA,NA,60.0259830523321,73.8592458382319,91.7699359875486,NA,NA,NA,60.0259830523321,73.8592458382319,91.7699359875486
2022,"Cotton Pygmy-Goose","2022",-6.74025035946756,0.073733805169144,0.00102272954595859,0.00118165240509165,0.00136525354990928,NA,NA,NA,57.6909885684048,72.8638036013403,88.1036120050809,NA,NA,NA,57.6909885684048,72.8638036013403,88.1036120050809
2023,"Cotton Pygmy-Goose","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9841191431491,66.4473777342831,80.4426300989171,54.9841191431491,66.4473777342831,80.4426300989171
2024,"Cotton Pygmy-Goose","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6452058457167,63.3105728875772,79.3382169863748,50.6452058457167,63.3105728875772,79.3382169863748
2025,"Cotton Pygmy-Goose","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6139822020212,60.3298217355362,78.3387051519394,46.6139822020212,60.3298217355362,78.3387051519394
2026,"Cotton Pygmy-Goose","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8863797716258,57.4970140365083,77.4140134635442,42.8863797716258,57.4970140365083,77.4140134635442
2027,"Cotton Pygmy-Goose","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4488601797572,54.8044773709255,76.546516047662,39.4488601797572,54.8044773709255,76.546516047662
2028,"Cotton Pygmy-Goose","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.283968987299,52.2449526916143,75.7252203851387,36.283968987299,52.2449526916143,75.7252203851387
2029,"Cotton Pygmy-Goose","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3729699245625,49.8115712820983,74.9428896574824,33.3729699245625,49.8115712820983,74.9428896574824
1994,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",-4.22609101629308,0.0818334688585326,0.012367287931252,0.0145031876369678,0.0170047821314581,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",-4.25094262435766,0.0773733188154612,0.0121708583307068,0.014149732499423,0.0164476663536994,NA,NA,NA,79.3390037586484,97.5629141234868,120.298256555926,NA,NA,NA,79.3390037586484,97.5629141234868,120.298256555926
2017,"Indian Peafowl","2017",-4.09883438750345,0.0736239024943161,0.014259814496834,0.0164551148180308,0.0189851145186137,NA,NA,NA,93.0144564080037,113.458608065496,141.2365143942,NA,NA,NA,93.0144564080037,113.458608065496,141.2365143942
2018,"Indian Peafowl","2018",-3.96073073685284,0.0737926707378791,0.0163488935703268,0.018868900056805,0.0217730200985961,NA,NA,NA,104.341168502346,130.101744038044,161.699027964873,NA,NA,NA,104.341168502346,130.101744038044,161.699027964873
2019,"Indian Peafowl","2019",-3.80248505528951,0.0727437337426545,0.0191639920775049,0.0220681048855774,0.0254065772724952,NA,NA,NA,123.329064821084,152.16037631153,186.541086465268,NA,NA,NA,123.329064821084,152.16037631153,186.541086465268
2020,"Indian Peafowl","2020",-3.60625796025123,0.0720999218131056,0.0232991572942304,0.0267879298296047,0.0307908174880737,NA,NA,NA,150.145706068498,184.703738930632,226.290652723585,NA,NA,NA,150.145706068498,184.703738930632,226.290652723585
2021,"Indian Peafowl","2021",-3.45525316334915,0.071023969321225,0.0271014934136395,0.0310858898349531,0.0356452521523794,NA,NA,NA,174.813374098324,214.33832763576,261.948388868314,NA,NA,NA,174.813374098324,214.33832763576,261.948388868314
2022,"Indian Peafowl","2022",-3.58356447990854,0.0718031059589333,0.0238412187269102,0.0273942925269861,0.0314682926045273,NA,NA,NA,150.724350934339,188.884631521691,233.638355499729,NA,NA,NA,150.724350934339,188.884631521691,233.638355499729
2023,"Indian Peafowl","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.75634572896,243.905629418375,289.642911664871,205.75634572896,243.905629418375,289.642911664871
2024,"Indian Peafowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.981419866628,274.915121538267,336.764268323806,224.981419866628,274.915121538267,336.764268323806
2025,"Indian Peafowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.847588978762,309.911274744381,391.965335157781,245.847588978762,309.911274744381,391.965335157781
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.562058211663,349.412235547772,456.556381442798,268.562058211663,349.412235547772,456.556381442798
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.332762499016,394.004213026654,532.094201329982,293.332762499016,394.004213026654,532.094201329982
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.37722790735,444.350512316896,620.414729842811,320.37722790735,444.350512316896,620.414729842811
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.92809706299,501.201779167269,723.676097835678,349.92809706299,501.201779167269,723.676097835678
1994,"Red Spurfowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Red Spurfowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Red Spurfowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Red Spurfowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Red Spurfowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Red Spurfowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Red Spurfowl","2015",-4.92960236904202,0.0830833984915825,0.0061241473147785,0.00720330824477038,0.00847182059445667,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Red Spurfowl","2016",-5.00447536038821,0.0748076193227319,0.00577629147615121,0.00668541216320964,0.00773706017345818,NA,NA,NA,74.4350277577744,92.8103023782617,114.523498252795,NA,NA,NA,74.4350277577744,92.8103023782617,114.523498252795
2017,"Red Spurfowl","2017",-4.88496067772527,0.0706061100845042,0.00656083057599876,0.00753092044795828,0.00864382348827727,NA,NA,NA,82.4139570093873,104.548079744134,127.517409858752,NA,NA,NA,82.4139570093873,104.548079744134,127.517409858752
2018,"Red Spurfowl","2018",-4.92364230727581,0.0709156697808914,0.0063088632121551,0.00724621221123526,0.00832224508472884,NA,NA,NA,81.9096889020837,100.595614750987,123.49380528899,NA,NA,NA,81.9096889020837,100.595614750987,123.49380528899
2019,"Red Spurfowl","2019",-4.81107463346053,0.0709873914702354,0.00705690441280091,0.00810607557507772,0.00931049746322724,NA,NA,NA,90.6958524629425,112.532676648438,141.791958144282,NA,NA,NA,90.6958524629425,112.532676648438,141.791958144282
2020,"Red Spurfowl","2020",-4.85798234460506,0.0714424534554308,0.00672863257074722,0.00773605895256998,0.00889364302467951,NA,NA,NA,86.0941653077776,107.395917121642,131.362080170976,NA,NA,NA,86.0941653077776,107.395917121642,131.362080170976
2021,"Red Spurfowl","2021",-5.02111258050002,0.0748690682970011,0.00568057404508018,0.00657546909370038,0.00761080195762788,NA,NA,NA,72.9319743031423,91.2840165971544,113.390877917311,NA,NA,NA,72.9319743031423,91.2840165971544,113.390877917311
2022,"Red Spurfowl","2022",-5.0471153627844,0.0701632769659902,0.00558631698102694,0.00640723431289919,0.00734834023585546,NA,NA,NA,72.2418386128446,88.9484955409324,109.253185366415,NA,NA,NA,72.2418386128446,88.9484955409324,109.253185366415
2023,"Red Spurfowl","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7059522668726,96.4514647421228,114.040996561867,81.7059522668726,96.4514647421228,114.040996561867
2024,"Red Spurfowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7639992887342,95.7783472616315,116.72869663455,78.7639992887342,95.7783472616315,116.72869663455
2025,"Red Spurfowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.8791847758526,95.1223076365493,119.602809515582,75.8791847758526,95.1223076365493,119.602809515582
