"LOCALITY.ID","group.id","month","timegroups"
"L59648118","G16844850",1,"before 2000"
"L4199766","S56839095",4,"before 2000"
"L4199766","S56791101",5,"before 2000"
"L12328593","S73824504",5,"before 2000"
"L12329160","S73824779",5,"before 2000"
"L4005855","S98729280",11,"before 2000"
"L4199766","S35323816",1,"before 2000"
"L4199766","S35778546",1,"before 2000"
"L9921904","S41103765",12,"before 2000"
"L2830854","S18246875",12,"before 2000"
"L2830854","S18247252",12,"before 2000"
"L2830854","S18250128",12,"before 2000"
"L3935362","G1435422",12,"before 2000"
"L2831253","S18249688",12,"before 2000"
"L2831204","S18249294",12,"before 2000"
"L2831253","S18249896",12,"before 2000"
"L2830943","S18247319",12,"before 2000"
"L2708330","S18250399",1,"before 2000"
"L2708330","S18250334",1,"before 2000"
"L2708330","S18264027",1,"before 2000"
"L2831809","S18251559",1,"before 2000"
"L2833413","S18263822",1,"before 2000"
"L2831791","S18251241",1,"before 2000"
"L2833413","S18263881",1,"before 2000"
"L3097051","G1435421",2,"before 2000"
"L2708330","S18280462",3,"before 2000"
"L2835548","S18280455",3,"before 2000"
"L2830854","S18280503",5,"before 2000"
"L2837968","S18296282",5,"before 2000"
"L2830943","S18296295",6,"before 2000"
"L2708330","S18296303",6,"before 2000"
"L2831253","S18296335",7,"before 2000"
"L2831809","S18315143",8,"before 2000"
"L2830854","S18315487",9,"before 2000"
"L2830854","S18349140",10,"before 2000"
"L2830943","S18351485",11,"before 2000"
"L2848468","S18365708",12,"before 2000"
"L2846493","S18353306",12,"before 2000"
"L3171966","G1420746",1,"before 2000"
"L2514935","G1416676",2,"before 2000"
"L2866208","S18479549",6,"before 2000"
"L2866208","S18479469",6,"before 2000"
"L2831253","S18479894",8,"before 2000"
"L2831253","S18493349",9,"before 2000"
"L4199692","S33223793",8,"before 2000"
"L4199692","S33223922",8,"before 2000"
"L2465052","S48927964",1,"before 2000"
"L2465052","S48927963",2,"before 2000"
"L2465052","S49077141",11,"before 2000"
"L2465052","S49076986",12,"before 2000"
"L2465052","S49077143",4,"before 2000"
"L2465052","S49077144",6,"before 2000"
"L2465052","S49077145",8,"before 2000"
"L2514935","G1416678",8,"before 2000"
"L2465052","S49077142",1,"before 2000"
"L2465052","S49077146",3,"before 2000"
"L2465052","S49077147",3,"before 2000"
"L2465052","S49077149",4,"before 2000"
"L2465052","S49077148",4,"before 2000"
"L2465052","S49077151",5,"before 2000"
"L2465052","S49077150",5,"before 2000"
"L2465052","S49077152",5,"before 2000"
"L2465052","S49077154",6,"before 2000"
"L2465052","S49077155",9,"before 2000"
"L2465052","S49076989",9,"before 2000"
"L2465052","S49077157",10,"before 2000"
"L2465052","S49077156",11,"before 2000"
"L2465052","S49076988",11,"before 2000"
"L2465052","S49077159",12,"before 2000"
"L2465052","S49077158",12,"before 2000"
"L2514935","G1416680",1,"before 2000"
"L3824225","S24457358",2,"before 2000"
"L2919069","S18785336",3,"before 2000"
"L2919069","S18782592",3,"before 2000"
"L3151622","S20466389",3,"before 2000"
"L2465052","S49077160",3,"before 2000"
"L2465052","S49076992",4,"before 2000"
"L3204730","S181740482",5,"before 2000"
"L2708330","S19182875",10,"before 2000"
"L3221877","S53387060",11,"before 2000"
"L3080944","S53386324",11,"before 2000"
"L4949548","S53387343",11,"before 2000"
"L2514935","G1456222",9,"before 2000"
"L2514935","S25624975",9,"before 2000"
"L2514935","S25624866",9,"before 2000"
"L2514935","G1416681",9,"before 2000"
"L2514935","G1456223",9,"before 2000"
"L2514935","G1416679",9,"before 2000"
"L2514935","S25625074",10,"before 2000"
"L2514935","S25625214",10,"before 2000"
"L2831809","S19182668",10,"before 2000"
"L2514935","S27047339",11,"before 2000"
"L2514935","S27047123",11,"before 2000"
"L2465052","S49077161",1,"before 2000"
"L3307701","S27031069",1,"before 2000"
"L2465052","S49077162",3,"before 2000"
"L2465052","S49076993",3,"before 2000"
"L9372096","S56890993",4,"before 2000"
"L2465052","S49077163",4,"before 2000"
"L3122603","S56890991",4,"before 2000"
"L2831809","S19183074",5,"before 2000"
"L4195545","S27154833",3,"before 2000"
"L4195545","S27155313",3,"before 2000"
"L4195545","S27155430",3,"before 2000"
"L4195545","S27154406",3,"before 2000"
"L4195545","S27154493",3,"before 2000"
"L4195545","S27154308",3,"before 2000"
"L3204730","G1550763",5,"before 2000"
"L2465052","S49076994",8,"before 2000"
"L2465052","S49077164",9,"before 2000"
"L2465052","S49077165",9,"before 2000"
"L2465052","S49077166",12,"before 2000"
"L2465052","S49077167",2,"before 2000"
"L4199673","S76238736",3,"before 2000"
"L4199673","S76235285",3,"before 2000"
"L3204730","S76241161",3,"before 2000"
"L3204730","S76277781",3,"before 2000"
"L3204730","S76243758",3,"before 2000"
"L3204730","S76273711",3,"before 2000"
"L3204730","S76273977",3,"before 2000"
"L3980260","S25624477",3,"before 2000"
"L2514935","S25624399",3,"before 2000"
"L2514995","S25623478",3,"before 2000"
"L6472152","S40500568",4,"before 2000"
"L2514935","S27046449",4,"before 2000"
"L6475154","S40519388",5,"before 2000"
"L2465052","S49076996",6,"before 2000"
"L2465052","S49076998",11,"before 2000"
"L8454567","S57191339",12,"before 2000"
"L3204730","G8001119",12,"before 2000"
"L3204730","G8001115",12,"before 2000"
"L3204730","G8001114",12,"before 2000"
"L2465052","S49077168",12,"before 2000"
"L2465052","S49077169",12,"before 2000"
"L3923181","G8001120",12,"before 2000"
"L3923181","G8001121",12,"before 2000"
"L3093304","G8001122",12,"before 2000"
"L6765786","G8021431",1,"before 2000"
"L6371439","G8021432",1,"before 2000"
"L3204730","G8021437",1,"before 2000"
"L3204730","G8021436",1,"before 2000"
"L3204730","G8021435",1,"before 2000"
"L6475154","S40853218",1,"before 2000"
"L2517409","S40852469",1,"before 2000"
"L2846174","S57193763",1,"before 2000"
"L5251601","S40852464",1,"before 2000"
"L2517412","S40852468",1,"before 2000"
"L2517412","S40852467",1,"before 2000"
"L2517399","S57193595",1,"before 2000"
"L2517399","S57189165",1,"before 2000"
"L2517731","S40852465",1,"before 2000"
"L2517399","S40852455",1,"before 2000"
"L4237250","S40852454",1,"before 2000"
"L9429276","S57189727",1,"before 2000"
"L6505889","S40852466",1,"before 2000"
"L3324933","S40852463",1,"before 2000"
"L2662796","S57191335",1,"before 2000"
"L4927559","S57188159",2,"before 2000"
"L6472152","S40746797",3,"before 2000"
"L2662796","S57188160",3,"before 2000"
"L9429676","S57191326",7,"before 2000"
"L2919051","S19324863",10,"before 2000"
"L4199766","S57883225",11,"before 2000"
"L2662796","S57188629",11,"before 2000"
"L2662796","S57189168",11,"before 2000"
"L2662796","S57188630",11,"before 2000"
"L3350438","S57189728",12,"before 2000"
"L4199705","S57190503",12,"before 2000"
"L2662796","S57188624",12,"before 2000"
"L2662796","S57189726",12,"before 2000"
"L2517409","S40852478",1,"before 2000"
"L2662796","S57190387",1,"before 2000"
"L2517399","S57193594",1,"before 2000"
"L2517412","S40852475",1,"before 2000"
"L2517399","S40852440",1,"before 2000"
"L5251601","S40852472",1,"before 2000"
"L4237250","S40852470",1,"before 2000"
"L2517731","S40852473",1,"before 2000"
"L2517412","S40852476",1,"before 2000"
"L6505889","S40852474",1,"before 2000"
"L3324933","S40852471",1,"before 2000"
"L3138323","S20357738",1,"before 2000"
"L3027183","S57188158",2,"before 2000"
"L12777849","S99662763",2,"before 2000"
"L6472152","S40904339",5,"before 2000"
"L2514984","S6628482",7,"before 2000"
"L6475154","S40853250",12,"before 2000"
"L3221873","S57191332",12,"before 2000"
"L3221873","S57191331",12,"before 2000"
"L3221873","S57191329",12,"before 2000"
"L8896618","S80989166",1,"before 2000"
"L3204730","S80980253",1,"before 2000"
"L13857709","S82445114",1,"before 2000"
"L2517409","S40852486",1,"before 2000"
"L3127239","S80825705",1,"before 2000"
"L2662796","S57190388",1,"before 2000"
"L4237250","S40852479",1,"before 2000"
"L2517412","S40852484",1,"before 2000"
"L5251601","S40852481",1,"before 2000"
"L6505889","S40852483",1,"before 2000"
"L2517399","S40852457",1,"before 2000"
"L3324933","S40852480",1,"before 2000"
"L2517731","S40852482",1,"before 2000"
"L2517412","S40852485",1,"before 2000"
"L2662796","S57190505",2,"before 2000"
"L3221399","S57191334",2,"before 2000"
"L2514995","S25249517",3,"before 2000"
"L42187266","S223384752",3,"before 2000"
"L42187266","S223406285",3,"before 2000"
"L42187266","S223388806",3,"before 2000"
"L3086715","S57191337",3,"before 2000"
"L2629800","G855800",4,"before 2000"
"L2629949","G855799",4,"before 2000"
"L4927559","S57190389",4,"before 2000"
"L2630163","G855798",4,"before 2000"
"L2576650","G855797",7,"before 2000"
"L4927559","S57190398",9,"before 2000"
"L2759957","S38900198",9,"before 2000"
"L2662796","S38900195",9,"before 2000"
"L2662796","S38900193",9,"before 2000"
"L4310881","S38900188",9,"before 2000"
"L2759957","S38900190",9,"before 2000"
"L2662796","S57190390",9,"before 2000"
"L2578257","S38900196",9,"before 2000"
"L4310881","S57193596",9,"before 2000"
"L2662796","S38900189",9,"before 2000"
"L2662796","S38900192",9,"before 2000"
"L2662796","S38900191",9,"before 2000"
"L4932816","S31640923",10,"before 2000"
"L3086715","S38900161",10,"before 2000"
"L2662796","S57190399",10,"before 2000"
"L2662796","S57193597",10,"before 2000"
"L4927559","S57190402",10,"before 2000"
"L2662796","S57190400",10,"before 2000"
"L3086715","S38900200",10,"before 2000"
"L3086715","S38900162",10,"before 2000"
"L2662796","S38900165",10,"before 2000"
"L2662796","S57190404",10,"before 2000"
"L2662796","S38900164",10,"before 2000"
"L4927559","S57190403",10,"before 2000"
"L2759957","S38900163",10,"before 2000"
"L4199673","S57190414",11,"before 2000"
"L3017851","S20294079",11,"before 2000"
"L6520370","S40814900",11,"before 2000"
"L3923181","S38900166",11,"before 2000"
"L2662796","S38900167",11,"before 2000"
"L3086715","S38900168",11,"before 2000"
"L2662796","S57190406",11,"before 2000"
"L2831809","S19325392",11,"before 2000"
"L2694887","S38900169",11,"before 2000"
"L3171966","S57190416",11,"before 2000"
"L3171966","S38900170",11,"before 2000"
"L4058786","S57190417",11,"before 2000"
"L2694887","S57190415",11,"before 2000"
"L3237523","S42089892",12,"before 2000"
"L3237523","S21028209",12,"before 2000"
"L3237523","S21028255",12,"before 2000"
"L3237523","S21028177",12,"before 2000"
"L3665305","S41808482",12,"before 2000"
"L2514984","S16388769",12,"before 2000"
"L2514984","S16374674",12,"before 2000"
"L2514984","S16388547",12,"before 2000"
"L6369767","S41807883",12,"before 2000"
"L6226976","S38900174",12,"before 2000"
"L2682429","S57187975",12,"before 2000"
"L3300076","S38900172",12,"before 2000"
"L2662796","S57188161",12,"before 2000"
"L2759957","S38900175",12,"before 2000"
"L2662796","S38900176",12,"before 2000"
"L2662796","S57190420",12,"before 2000"
"L4796952","S57190418",12,"before 2000"
"L2520394","S16325659",12,"before 2000"
"L4058787","S38900178",12,"before 2000"
"L4058787","S57190426",12,"before 2000"
"L4058787","S38900181",12,"before 2000"
"L4058787","S57190422",12,"before 2000"
"L4058787","S57190423",12,"before 2000"
"L4058787","S38900180",12,"before 2000"
"L2578343","S38900183",1,"before 2000"
"L2517409","S40852494",1,"before 2000"
"L5251601","S40852489",1,"before 2000"
"L4237250","S40852487",1,"before 2000"
"L2517399","S40852458",1,"before 2000"
"L3324933","S40852488",1,"before 2000"
"L6505889","S40852491",1,"before 2000"
"L2517731","S40852490",1,"before 2000"
"L2517412","S40852492",1,"before 2000"
"L2517412","S40852493",1,"before 2000"
"L2517412","S38900186",1,"before 2000"
"L3086715","S38900450",1,"before 2000"
"L2620215","S38900184",1,"before 2000"
"L3086715","S38900185",1,"before 2000"
"L4199685","S46727568",1,"before 2000"
"L3240863","S46729164",1,"before 2000"
"L2662796","S38900330",2,"before 2000"
"L2662796","S57190430",2,"before 2000"
"L3527559","S38900332",2,"before 2000"
"L3086715","S38900328",2,"before 2000"
"L3086715","S38900329",2,"before 2000"
"L3527559","S38900331",2,"before 2000"
"L3086715","S38900433",2,"before 2000"
"L3086715","S38900451",2,"before 2000"
"L3221298","S57193757",3,"before 2000"
"L3221299","S38900337",3,"before 2000"
"L6819964","S57187967",3,"before 2000"
"L3221299","S38900336",3,"before 2000"
"L2662796","S57190374",3,"before 2000"
"L3221384","S38900333",3,"before 2000"
"L3221384","S57190432",3,"before 2000"
"L3086715","S38900452",3,"before 2000"
"L2662796","S38900334",3,"before 2000"
"L2514984","S57340779",4,"before 2000"
"L9429676","S57193758",4,"before 2000"
"L2662796","S38900339",4,"before 2000"
"L5569957","S38900341",4,"before 2000"
"L2759957","S38900344",4,"before 2000"
"L3086715","S38900343",4,"before 2000"
"L4170724","S38900340",4,"before 2000"
"L2662796","S38900434",4,"before 2000"
"L5569957","S38900342",4,"before 2000"
"L8186904","S67881352",5,"before 2000"
"L8186904","S67881419",5,"before 2000"
"L8186904","S67881570",5,"before 2000"
"L5569957","S38900348",5,"before 2000"
"L2759957","S38900347",5,"before 2000"
"L3086715","S38900355",5,"before 2000"
"L2662796","S57191319",5,"before 2000"
"L4927559","S57190378",5,"before 2000"
"L3086715","S38900346",5,"before 2000"
"L5569957","S38900349",5,"before 2000"
"L2662796","S38900435",5,"before 2000"
"L3086715","S38900354",5,"before 2000"
"L3086715","S38900356",5,"before 2000"
"L2759957","S38900350",5,"before 2000"
"L3086715","S38900352",5,"before 2000"
"L3086715","S38900324",5,"before 2000"
"L3086715","S38900351",5,"before 2000"
"L3086715","S38900353",5,"before 2000"
"L3086715","S38900367",6,"before 2000"
"L2658144","S57190381",6,"before 2000"
"L3086715","S38900432",6,"before 2000"
"L3086715","S38900429",6,"before 2000"
"L3086715","S38900359",6,"before 2000"
"L2662796","S57191320",6,"before 2000"
"L3086715","S38900364",6,"before 2000"
"L2662796","S38900436",6,"before 2000"
"L3086715","S38900363",6,"before 2000"
"L3086715","S38900358",6,"before 2000"
"L3086715","S38900431",6,"before 2000"
"L3086715","S38900430",6,"before 2000"
"L3086715","S38900357",6,"before 2000"
"L3086715","S38900362",6,"before 2000"
"L3086715","S38900365",6,"before 2000"
"L3086715","S38900360",6,"before 2000"
"L3086715","S38900361",6,"before 2000"
"L3086715","S38900428",6,"before 2000"
"L2846174","S57187971",7,"before 2000"
"L6227029","S38900448",7,"before 2000"
"L2662796","S57191321",7,"before 2000"
"L3086715","S38900446",7,"before 2000"
"L3086715","S38900445",7,"before 2000"
"L3086715","S38900444",7,"before 2000"
"L3086715","S38900447",7,"before 2000"
"L3086715","S38900449",7,"before 2000"
"L6227031","S38900455",8,"before 2000"
"L3086715","S38900462",8,"before 2000"
"L2759957","S38900437",8,"before 2000"
"L3086715","S38900453",8,"before 2000"
"L3086715","S38900438",8,"before 2000"
"L3086715","S38900456",8,"before 2000"
"L8186904","S67882642",9,"before 2000"
"L8186904","S67882552",9,"before 2000"
"L3086715","S53850186",9,"before 2000"
"L3168337","S53849872",9,"before 2000"
"L2662796","S53850275",9,"before 2000"
"L3168337","S53849242",9,"before 2000"
"L8186904","S67883100",10,"before 2000"
"L8186904","S67883495",10,"before 2000"
"L5569957","S38900441",10,"before 2000"
"L3086715","S38900440",10,"before 2000"
"L3086715","S38900454",10,"before 2000"
"L29065174","S160470616",11,"before 2000"
"L29413716","S162429783",11,"before 2000"
"L29065174","S160471161",11,"before 2000"
"L29413716","S162429589",11,"before 2000"
"L2662796","S57188165",11,"before 2000"
"L2662796","S38900458",11,"before 2000"
"L2662796","S38900457",11,"before 2000"
"L3086715","S38900460",11,"before 2000"
"L2662796","S38900459",11,"before 2000"
"L3086715","S38900442",11,"before 2000"
"L12777849","S99663479",12,"before 2000"
"L2607093","S19891928",12,"before 2000"
"L29065174","S160471572",12,"before 2000"
"L29065174","S160471937",12,"before 2000"
"L29413716","S162429903",12,"before 2000"
"L29413716","S162430095",12,"before 2000"
"L3857120","S24669969",12,"before 2000"
"L3086715","S38900463",12,"before 2000"
"L3086715","S38900461",12,"before 2000"
"L5569957","S38900443",12,"before 2000"
"L4796952","S38900465",12,"before 2000"
"L2662796","S38900464",12,"before 2000"
"L2662796","S38900466",12,"before 2000"
"L2514887","S20338743",12,"before 2000"
"L2831809","S20349843",12,"before 2000"
"L8454565","S57189182",1,"before 2000"
"L2517409","S40852477",1,"before 2000"
"L2514935","S35731881",1,"before 2000"
"L29065174","S160473190",1,"before 2000"
"L2515014","G767448",1,"before 2000"
"L29065174","S160473401",1,"before 2000"
"L29413716","S162430605",1,"before 2000"
"L29413716","S162430315",1,"before 2000"
"L2517731","S40852498",1,"before 2000"
"L3324933","S40852496",1,"before 2000"
"L2517412","S40852501",1,"before 2000"
"L2517399","S57190803",1,"before 2000"
"L2517412","S40852500",1,"before 2000"
"L4237250","S40852495",1,"before 2000"
"L6505889","S40852499",1,"before 2000"
"L2517399","S40852459",1,"before 2000"
"L5251601","S40852497",1,"before 2000"
"L3086715","S38900471",1,"before 2000"
"L4796952","S38900470",1,"before 2000"
"L3086715","S38900469",1,"before 2000"
"L3972866","S38900740",2,"before 2000"
"L29065174","S160475939",2,"before 2000"
"L29413716","S162447181",2,"before 2000"
"L29065174","S160488995",2,"before 2000"
"L29413716","S162447480",2,"before 2000"
"L2759957","S38900743",2,"before 2000"
"L2662796","S38900738",2,"before 2000"
"L2517399","S57189184",2,"before 2000"
"L2517412","S38900739",2,"before 2000"
"L2662796","S38900737",2,"before 2000"
"L2662796","S38900741",2,"before 2000"
"L8166081","S38900742",2,"before 2000"
"L3107331","S38900749",3,"before 2000"
"L9344754","S56746999",3,"before 2000"
"L29065174","S160492166",3,"before 2000"
"L29413716","S162452273",3,"before 2000"
"L29413716","S162452546",3,"before 2000"
"L29065174","S160490171",3,"before 2000"
"L4170724","S38900744",3,"before 2000"
"L6696228","S57188058",3,"before 2000"
"L3527567","S57189185",3,"before 2000"
"L2658144","S57188634",3,"before 2000"
"L2919051","S20357559",3,"before 2000"
"L3171966","S38900750",3,"before 2000"
"L3171966","S57189730",3,"before 2000"
"L3171966","S38900751",3,"before 2000"
"L2607093","S19892341",4,"before 2000"
"L29065174","S160493436",4,"before 2000"
"L29413716","S162452976",4,"before 2000"
"L29065174","S160494447",4,"before 2000"
"L4927559","S57188167",4,"before 2000"
"L4103400","S57189731",4,"before 2000"
"L4170724","S38900745",4,"before 2000"
"L29413716","S162453865",5,"before 2000"
"L29065174","S160496908",5,"before 2000"
"L29065174","S160498476",5,"before 2000"
"L29413716","S162454406",5,"before 2000"
"L29065174","S160513697",6,"before 2000"
"L29413716","S162454990",6,"before 2000"
"L29413716","S162455438",6,"before 2000"
"L29065174","S160512704",6,"before 2000"
"L29413716","S162458192",7,"before 2000"
"L29413716","S162457494",7,"before 2000"
"L29065174","S160514415",7,"before 2000"
"L29065174","S160516372",7,"before 2000"
"L2759957","S38900472",7,"before 2000"
"L4559009","S38900467",8,"before 2000"
"L9746819","S58757106",8,"before 2000"
"L29065174","S160517015",8,"before 2000"
"L29065174","S160515363",8,"before 2000"
"L29413716","S162459706",8,"before 2000"
"L29413716","S162459294",8,"before 2000"
"L3139708","S20368803",8,"before 2000"
"L2662796","S38900746",8,"before 2000"
"L2578343","S38900468",9,"before 2000"
"L2607093","S31563676",9,"before 2000"
"L29413716","S162460606",9,"before 2000"
"L29065174","S161363299",9,"before 2000"
"L29413716","S162461635",9,"before 2000"
"L29065174","S161362475",9,"before 2000"
"L6696228","S57188010",9,"before 2000"
"L5569957","S38900747",9,"before 2000"
"L2662796","S38900748",9,"before 2000"
"L4199766","S31616563",10,"before 2000"
"L29413716","S162462194",10,"before 2000"
"L29065174","S161462480",10,"before 2000"
"L29413716","S162463941",10,"before 2000"
"L29065174","S161462752",10,"before 2000"
"L2514984","S18211091",11,"before 2000"
"L2872753","S18523274",11,"before 2000"
"L4927559","S57188171",11,"before 2000"
"L6520407","S40814847",11,"before 2000"
"L2514935","S35731901",12,"before 2000"
"L2607093","G11498067",12,"before 2000"
"L2607093","S31563293",12,"before 2000"
"L2514920","S19903053",12,"before 2000"
"L2515014","S38900736",12,"before 2000"
"L1366429","S207708582",1,"before 2000"
"L2505459","S208039636",1,"before 2000"
"L3027183","S57188174",1,"before 2000"
"L3027183","S57188172",1,"before 2000"
"L5053262","S208030004",1,"before 2000"
"L4792421","S207659975",1,"before 2000"
"L2517409","S40852517",1,"before 2000"
"L29065174","S161462976",1,"before 2000"
"L29065174","S161464077",1,"before 2000"
"L29413716","S162507587",1,"before 2000"
"L29413716","S162507750",1,"before 2000"
"L2517412","S40852515",1,"before 2000"
"L2517412","S40852516",1,"before 2000"
"L2517399","S40852504",1,"before 2000"
"L2517731","S40852513",1,"before 2000"
"L5251601","S40852512",1,"before 2000"
"L3324933","S40852511",1,"before 2000"
"L4237250","S40852510",1,"before 2000"
"L6505889","S40852514",1,"before 2000"
"L2517398","S57189733",1,"before 2000"
"L1366429","S57188007",2,"before 2000"
"L29413716","S162509110",2,"before 2000"
"L29065174","S161464525",2,"before 2000"
"L29065174","S161464278",2,"before 2000"
"L29413716","S162509279",2,"before 2000"
"L11807024","S71006419",2,"before 2000"
"L2607093","S31563866",3,"before 2000"
"L2607093","S49007132",3,"before 2000"
"L29065174","S161483812",3,"before 2000"
"L2607093","S38412897",3,"before 2000"
"L29413716","S162509842",3,"before 2000"
"L29413716","S162510232",3,"before 2000"
"L29065174","S161484249",3,"before 2000"
"L4199766","S31618440",4,"before 2000"
"L29065174","S161488089",4,"before 2000"
"L2607093","S49065433",4,"before 2000"
"L2607093","S49065397",4,"before 2000"
"L2607093","S49007264",4,"before 2000"
"L29413716","S162510552",4,"before 2000"
"L29065174","S161485873",4,"before 2000"
"L2607093","S49065398",4,"before 2000"
"L6106818","S38259633",4,"before 2000"
"L29413716","S162510683",4,"before 2000"
"L6115184","S38288360",4,"before 2000"
"L6106818","S38279975",4,"before 2000"
"L6115184","S38277413",4,"before 2000"
"L6115184","S38287398",4,"before 2000"
"L4929655","S31618518",4,"before 2000"
"L2607093","G11498068",5,"before 2000"
"L2607093","S49065401",5,"before 2000"
"L29065174","S161492801",5,"before 2000"
"L2515014","S48669767",5,"before 2000"
"L3127239","G1574260",5,"before 2000"
"L29413716","S162511480",5,"before 2000"
"L29065174","S161488747",5,"before 2000"
"L29413716","S162511241",5,"before 2000"
"L2607093","S48718770",6,"before 2000"
"L2607093","S49065378",6,"before 2000"
"L29413716","S162514414",6,"before 2000"
"L29413716","S162512206",6,"before 2000"
"L29065174","S162198753",6,"before 2000"
"L2607093","S49472845",7,"before 2000"
"L2607093","S31491215",7,"before 2000"
"L2607093","S49472918",7,"before 2000"
"L2607093","S49472875",7,"before 2000"
"L29413716","S162514689",7,"before 2000"
"L29065174","S162201714",7,"before 2000"
"L29413716","S162514523",7,"before 2000"
"L29065174","S162200690",7,"before 2000"
"L2607093","S49472874",8,"before 2000"
"L3127239","G1576207",8,"before 2000"
"L29065174","S162203351",8,"before 2000"
"L2607093","S49472914",8,"before 2000"
"L2607093","S49472915",8,"before 2000"
"L2572634","G1394203",8,"before 2000"
"L29413716","S162514927",8,"before 2000"
"L29413716","S162515040",8,"before 2000"
"L29065174","S162204262",8,"before 2000"
"L2514984","S57193588",9,"before 2000"
"L6118061","S38292610",9,"before 2000"
"L2607093","S49343872",9,"before 2000"
"L29065174","S162317477",9,"before 2000"
"L29413716","S162515254",9,"before 2000"
"L6115184","S38339668",9,"before 2000"
"L6115184","S38313288",9,"before 2000"
"L6115184","S38339070",9,"before 2000"
"L6115184","S38313444",9,"before 2000"
"L29413716","S162515493",9,"before 2000"
"L6106818","S38313928",9,"before 2000"
"L3086715","S57193592",9,"before 2000"
"L29065174","S162317919",10,"before 2000"
"L29413716","S162515727",10,"before 2000"
"L29065174","S162318198",10,"before 2000"
"L29413716","S162515607",10,"before 2000"
"L15480031","S90767241",10,"before 2000"
"L15483997","S90622851",10,"before 2000"
"L21552155","S122522111",10,"before 2000"
"L2514887","S49020804",10,"before 2000"
"L2514993","G6729999",10,"before 2000"
"L3171966","S48648062",10,"before 2000"
"L3127239","G1576213",11,"before 2000"
"L29065174","S162319133",11,"before 2000"
"L3127239","G1576210",11,"before 2000"
"L2572634","S16447113",11,"before 2000"
"L29413716","S162516097",11,"before 2000"
"L29065174","S162318511",11,"before 2000"
"L3090321","S19892199",11,"before 2000"
"L29413716","S162516231",11,"before 2000"
"L3221877","G9697748",12,"before 2000"
"L2607093","S16838199",12,"before 2000"
"L29413716","S162516450",12,"before 2000"
"L4044792","S49343994",12,"before 2000"
"L29065174","S162320460",12,"before 2000"
"L29065174","S162320233",12,"before 2000"
"L29413716","S162516375",12,"before 2000"
"L3122603","S78049021",12,"before 2000"
"L2517409","S40852526",1,"before 2000"
"L2514920","G767428",1,"before 2000"
"L4030430","S286449841",1,"before 2000"
"L4030430","S286434471",1,"before 2000"
"L4030430","S286435183",1,"before 2000"
"L4030430","S286450598",1,"before 2000"
"L4030430","S286434614",1,"before 2000"
"L4030430","S286450153",1,"before 2000"
"L4030430","S286451060",1,"before 2000"
"L4030430","S286434812",1,"before 2000"
"L4030430","S286450801",1,"before 2000"
"L4030430","S286435609",1,"before 2000"
"L4030430","S286449575",1,"before 2000"
"L4030430","S286451283",1,"before 2000"
"L4030430","S286435857",1,"before 2000"
"L4030430","S286435350",1,"before 2000"
"L4030430","S286451471",1,"before 2000"
"L3086715","S57191318",1,"before 2000"
"L3324933","S40852528",1,"before 2000"
"L4237250","S40852527",1,"before 2000"
"L4237250","S40852518",1,"before 2000"
"L2517412","S40852524",1,"before 2000"
"L2517731","S40852521",1,"before 2000"
"L5251601","S40852520",1,"before 2000"
"L6505889","S40852522",1,"before 2000"
"L2517412","S40852523",1,"before 2000"
"L2517399","S40852505",1,"before 2000"
"L3324933","S40852519",1,"before 2000"
"L3181717","S28918219",2,"before 2000"
"L64118094","S328283329",2,"before 2000"
"L64118109","S328283442",2,"before 2000"
"L58170192","S298775071",2,"before 2000"
"L2517409","S57189723",2,"before 2000"
"L2607093","S48662141",2,"before 2000"
"L3221874","S57188745",2,"before 2000"
"L2572634","S16447114",2,"before 2000"
"L2899689","S57188748",3,"before 2000"
"L3027183","S57188749",3,"before 2000"
"L1366429","S57188008",3,"before 2000"
"L6472152","S40517467",3,"before 2000"
"L12777849","S68087615",3,"before 2000"
"L3127239","S27132801",3,"before 2000"
"L2607093","S49343871",3,"before 2000"
"L2607093","S38425146",3,"before 2000"
"L8053370","S49343971",3,"before 2000"
"L3127239","S27132822",3,"before 2000"
"L12777849","S342361690",4,"before 2000"
"L2955671","S49343970",4,"before 2000"
"L2607093","S49343993",4,"before 2000"
"L12777849","S99663675",5,"before 2000"
"L12777849","S99750016",5,"before 2000"
"L2607093","S49343868",5,"before 2000"
"L2607093","S49343870",5,"before 2000"
