"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1981,"White-throated Dipper","before 2000",-2.21723078916915,0.264666232800746,0.0627738422426965,0.103189130666077,0.167198952859984,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"White-throated Dipper","2000-2006",-1.71380939567398,0.270029550763462,0.100694484417664,0.164878548575903,0.263527472132964,81.8724927472068,159.782864252879,300.058767634064,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"White-throated Dipper","2007-2010",-2.37673897207914,0.375655201218865,0.043492187980644,0.0886724352081032,0.176253007824223,36.4896296682864,85.9319529447826,206.074579771419,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"White-throated Dipper","2011-2012",-2.86034063754162,0.361131653460741,0.0278136214505167,0.0556413467468855,0.109694561250958,24.4071660044685,53.9217128661959,117.617522267215,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"White-throated Dipper","2013",-1.86881781252793,0.351080036100504,0.0746119051968092,0.142990240629366,0.264396059611456,62.3220581979087,138.571029435345,326.422406198444,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"White-throated Dipper","2014",-1.77094198463525,0.276708354108724,0.09419858270567,0.156480798616056,0.253756962328208,79.0503064646845,151.644652499722,308.402175424788,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"White-throated Dipper","2015",-3.23055914495588,0.428215251926338,0.0169347295162548,0.03876406147812,0.087451965841824,13.6157804669334,37.5660316429662,92.313625825663,100,100,100,NA,NA,NA,100,100,100
2016,"White-throated Dipper","2016",-2.62119186067836,0.256974814850478,0.0429914711160569,0.0701352594181072,0.113371781266129,33.1423085727096,67.9676812522699,128.136099247721,72.2933901194325,180.928563065287,455.825260234261,NA,NA,NA,72.2933901194325,180.928563065287,455.825260234261
2017,"White-throated Dipper","2017",-2.58710958574103,0.237884972944714,0.0461032771586505,0.0724765416124212,0.11301662577884,37.1477312186387,70.2366045188981,136.142386855552,72.8601667524196,186.968389917888,524.968265538535,NA,NA,NA,72.8601667524196,186.968389917888,524.968265538535
2018,"White-throated Dipper","2018",-2.62951154710607,0.232203506392657,0.0447163223457642,0.0695748788556734,0.107453951540674,36.3165135998689,67.4246196344264,127.458660137967,74.5476906352519,179.482944259967,434.626847141385,NA,NA,NA,74.5476906352519,179.482944259967,434.626847141385
2019,"White-throated Dipper","2019",-3.28468838391234,0.240925143419789,0.0230853529869827,0.0367595925006709,0.0582883573522047,17.6575876004983,35.6235121503506,69.2463506237508,34.4353825683262,94.8290532492822,231.903825880564,NA,NA,NA,34.4353825683262,94.8290532492822,231.903825880564
2020,"White-throated Dipper","2020",-2.74651689952245,0.229140597344935,0.0401138770242893,0.0621365503200335,0.0956327239857059,30.9853302247784,60.2161777301036,111.246372282092,67.6023395396249,160.294220859973,408.532845352395,NA,NA,NA,67.6023395396249,160.294220859973,408.532845352395
2021,"White-throated Dipper","2021",-3.14064311080849,0.21635016970211,0.0279089194710643,0.0423328186301089,0.0639621101719932,22.5123193877973,41.0244939140919,76.7399794659632,42.8825451651203,109.206355102917,275.7471135435,NA,NA,NA,42.8825451651203,109.206355102917,275.7471135435
2022,"White-throated Dipper","2022",-3.27358308598346,0.202439059481844,0.0251456534542109,0.0371623705254028,0.0547582266061404,19.7205563861747,36.0138420447222,68.3356993671093,40.5664658176091,95.8681033626437,225.504430397945,NA,NA,NA,40.5664658176091,95.8681033626437,225.504430397945
2023,"White-throated Dipper","2023",-3.57150147345037,0.220090701077723,0.0180972218762885,0.0277221000974161,0.0423543400084277,14.1654893380473,26.8653296315924,51.0050861504513,27.5762843234386,71.514952356227,189.267240124705,NA,NA,NA,27.5762843234386,71.514952356227,189.267240124705
2024,"White-throated Dipper","2024",-3.30325701949358,0.193539597840063,0.0248437996657622,0.0360956715329052,0.0523051463770794,19.2280855341309,34.9801101142251,60.7507862522478,39.4336359180787,93.1163303238466,216.921734426193,NA,NA,NA,39.4336359180787,93.1163303238466,216.921734426193
2025,"White-throated Dipper","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.843488589206,93.514133839223,156.465379865261,56.843488589206,93.514133839223,156.465379865261
2026,"White-throated Dipper","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6572761598312,87.882409716817,159.046524185655,49.6572761598312,87.882409716817,159.046524185655
2027,"White-throated Dipper","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3346595849117,82.6726662330402,162.318961483659,43.3346595849117,82.6726662330402,162.318961483659
2028,"White-throated Dipper","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7997124551315,77.850379491241,166.23307543211,37.7997124551315,77.850379491241,166.23307543211
2029,"White-throated Dipper","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9686813599211,73.3840992041895,170.774682657263,32.9686813599211,73.3840992041895,170.774682657263
2030,"White-throated Dipper","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.759419616829,69.2451597704343,175.952669462027,28.759419616829,69.2451597704343,175.952669462027
2031,"White-throated Dipper","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0955311548353,65.4074199871488,181.792528062642,25.0955311548353,65.4074199871488,181.792528062642
2032,"White-throated Dipper","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.907935176009,61.8470284407818,188.333010963663,21.907935176009,61.8470284407818,188.333010963663
1981,"Black-winged Snowfinch","before 2000",-1.70603576333603,0.193082663906896,0.116948761408552,0.166051984809379,0.23288183491398,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Black-winged Snowfinch","2000-2006",-1.63512530269645,0.215758356278634,0.119889350327943,0.177106050268785,0.257349982624077,66.2816982214861,106.656990864696,179.587423928555,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Black-winged Snowfinch","2007-2010",-2.08933604394077,0.255895504140583,0.0722131031725026,0.116416327428386,0.184846348909593,38.6912461763259,70.1083624878243,130.083115126,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Black-winged Snowfinch","2011-2012",-1.99220421170295,0.228006140894925,0.0835425678442938,0.127501593803315,0.192042071791325,44.8755671421946,76.7841432005056,135.614867919597,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black-winged Snowfinch","2013",-1.73380222711086,0.288915252341774,0.0953898595591513,0.161894770553376,0.267385044054589,52.4814034226565,97.4964380818605,188.002831113681,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Black-winged Snowfinch","2014",-2.27717360317434,0.246165387072112,0.0613507759943096,0.097488378100963,0.153105417683276,33.9766412608997,58.7095530432087,104.455470398461,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Black-winged Snowfinch","2015",-1.95312840514779,0.225134879894827,0.0871904868493204,0.132230954323114,0.197881219207156,45.6366874045002,79.6322636401548,133.069057609167,100,100,100,NA,NA,NA,100,100,100
2016,"Black-winged Snowfinch","2016",-1.97751520387924,0.185298229141175,0.0917723883586227,0.129260769428387,0.180469642493432,47.20749858663,77.8435557857219,124.44246042648,60.0772175991202,97.7537900184331,169.873279143269,NA,NA,NA,60.0772175991202,97.7537900184331,169.873279143269
2017,"Black-winged Snowfinch","2017",-2.15726097560977,0.179240657249055,0.078160657166287,0.109205423844585,0.151528172128578,41.7266093967756,65.7658045882128,105.36416617779,48.7480738802152,82.5868832329039,145.104811299834,NA,NA,NA,48.7480738802152,82.5868832329039,145.104811299834
2018,"Black-winged Snowfinch","2018",-2.32143969301806,0.176583695133516,0.0670676008995318,0.0934709505787345,0.129523699016432,35.0813709698896,56.2901736381144,91.0300242096413,41.9520525155657,70.6876472738242,121.818042341633,NA,NA,NA,41.9520525155657,70.6876472738242,121.818042341633
