"gridg0","group.id","month","timegroups"
"399269","G5265206",5,"before 2000"
"401227","G5265215",6,"before 2000"
"394111","S94400082",8,"before 2000"
"394760","S94400081",8,"before 2000"
"394760","S94400075",8,"before 2000"
"394111","S94400079",8,"before 2000"
"394760","S94400088",8,"before 2000"
"394760","S94400074",8,"before 2000"
"394760","S94400085",8,"before 2000"
"394111","S94400090",8,"before 2000"
"394760","S94400086",8,"before 2000"
"394111","S94400087",8,"before 2000"
"394111","S94400089",8,"before 2000"
"394760","S94400078",8,"before 2000"
"394760","S94400080",8,"before 2000"
"394111","S94400076",8,"before 2000"
"394760","S94400084",8,"before 2000"
"394111","S94400083",8,"before 2000"
"394760","S94400077",8,"before 2000"
"394111","S94400107",9,"before 2000"
"394760","S94400120",9,"before 2000"
"394760","S94400100",9,"before 2000"
"394111","S94400114",9,"before 2000"
"394111","S94400108",9,"before 2000"
"394111","S94400113",9,"before 2000"
"394111","S94400095",9,"before 2000"
"394111","S94400098",9,"before 2000"
"394111","S94400104",9,"before 2000"
"394111","S94400092",9,"before 2000"
"394111","S94400091",9,"before 2000"
"394111","S94400103",9,"before 2000"
"394760","S94400097",9,"before 2000"
"394760","S94400112",9,"before 2000"
"394111","S94400119",9,"before 2000"
"394760","S94400118",9,"before 2000"
"394111","S94400116",9,"before 2000"
"394111","S94400117",9,"before 2000"
"394760","S94400110",9,"before 2000"
"394760","S94400115",9,"before 2000"
"394760","S94400102",9,"before 2000"
"394111","S94400105",9,"before 2000"
"394111","S94400101",9,"before 2000"
"394111","S94400111",9,"before 2000"
"394111","S94400109",9,"before 2000"
"394760","S94400099",9,"before 2000"
"394760","S94400093",9,"before 2000"
"394760","S94400094",9,"before 2000"
"394760","S94400106",9,"before 2000"
"394111","S94400096",9,"before 2000"
"394760","S94400128",10,"before 2000"
"394760","S94400129",10,"before 2000"
"394111","S94400122",10,"before 2000"
"394111","S94400123",10,"before 2000"
"394760","S94400127",10,"before 2000"
"394111","S94400126",10,"before 2000"
"394111","S94400121",10,"before 2000"
"394111","S94400131",10,"before 2000"
"394760","S94400124",10,"before 2000"
"394111","S94400125",10,"before 2000"
"394111","S94400130",10,"before 2000"
"394111","S94400146",10,"before 2000"
"394760","S94400134",10,"before 2000"
"394760","S94400151",10,"before 2000"
"394111","S94400145",10,"before 2000"
"394111","S94400148",10,"before 2000"
"394111","S94400135",10,"before 2000"
"394111","S94400132",10,"before 2000"
"394111","S94400133",10,"before 2000"
"394111","S94400149",10,"before 2000"
"394111","S94400139",10,"before 2000"
"394111","S94400140",10,"before 2000"
"394111","S94400138",10,"before 2000"
"394111","S94400143",10,"before 2000"
"394111","S94400137",10,"before 2000"
"394111","S94400141",10,"before 2000"
"394111","S94400136",10,"before 2000"
"394111","S94400147",10,"before 2000"
"394111","S94400150",10,"before 2000"
"394111","S94400144",10,"before 2000"
"394111","S94400177",11,"before 2000"
"394111","S94400159",11,"before 2000"
"394111","S94400161",11,"before 2000"
"394111","S94400266",11,"before 2000"
"394111","S94400154",11,"before 2000"
"394111","S94400153",11,"before 2000"
"394111","S94400168",11,"before 2000"
"394111","S94400170",11,"before 2000"
"394111","S94400158",11,"before 2000"
"394760","S94400175",11,"before 2000"
"394111","S94400152",11,"before 2000"
"394111","S94400265",11,"before 2000"
"394111","S94400164",11,"before 2000"
"394111","S94400169",11,"before 2000"
"394111","S94400171",11,"before 2000"
"394111","S94400165",11,"before 2000"
"394111","S94400160",11,"before 2000"
"394111","S94400162",11,"before 2000"
"394111","S94400174",11,"before 2000"
"394111","S94400172",11,"before 2000"
"394111","S94400173",11,"before 2000"
"394111","S94400156",11,"before 2000"
"394111","S94400167",11,"before 2000"
"394111","S94400176",11,"before 2000"
"394111","S94400178",11,"before 2000"
"394111","S94400155",11,"before 2000"
"394111","S94400157",11,"before 2000"
"394111","S94400179",11,"before 2000"
"394111","S94400166",11,"before 2000"
"394111","S94400207",12,"before 2000"
"394111","S94400209",12,"before 2000"
"394111","S94400191",12,"before 2000"
"394111","S94400205",12,"before 2000"
"394111","S94400208",12,"before 2000"
"394760","S94400181",12,"before 2000"
"394111","S94400194",12,"before 2000"
"394111","S94400184",12,"before 2000"
"394111","S94400195",12,"before 2000"
"394111","S94400180",12,"before 2000"
"394111","S94400192",12,"before 2000"
"394111","S94400190",12,"before 2000"
"394111","S94400182",12,"before 2000"
"394111","S94400196",12,"before 2000"
"394111","S94400210",12,"before 2000"
"394111","S94400203",12,"before 2000"
"394111","S94400185",12,"before 2000"
"394111","S94400186",12,"before 2000"
"394111","S94400200",12,"before 2000"
"394111","S94400198",12,"before 2000"
"394111","S94400197",12,"before 2000"
"394111","S94400199",12,"before 2000"
"394111","S94400188",12,"before 2000"
"394111","S94400193",12,"before 2000"
"394111","S94400206",12,"before 2000"
"394111","S94400183",12,"before 2000"
"394111","S94400202",12,"before 2000"
"394111","S94400201",12,"before 2000"
"394111","S94400189",12,"before 2000"
"394111","S94400187",12,"before 2000"
"394760","S94400268",1,"before 2000"
"394111","S94400236",1,"before 2000"
"394760","S94400217",1,"before 2000"
"394111","S94400227",1,"before 2000"
"394111","S94400214",1,"before 2000"
"394111","S94400231",1,"before 2000"
"394111","S94400224",1,"before 2000"
"394111","S94400221",1,"before 2000"
"394111","S94400213",1,"before 2000"
"394111","S94400267",1,"before 2000"
"394111","S94400229",1,"before 2000"
"394111","S94400228",1,"before 2000"
"394111","S94400232",1,"before 2000"
"394111","S94400235",1,"before 2000"
"394111","S94400212",1,"before 2000"
"394111","S94400216",1,"before 2000"
"394111","S94400218",1,"before 2000"
"394111","S94400226",1,"before 2000"
"394111","S94400215",1,"before 2000"
"394111","S94400211",1,"before 2000"
"394111","S94400222",1,"before 2000"
"394111","S94400233",1,"before 2000"
"394760","S94400225",1,"before 2000"
"394111","S94400234",1,"before 2000"
"394760","S94400241",2,"before 2000"
"394760","S94400238",2,"before 2000"
"394760","S94400285",2,"before 2000"
"394111","S94400240",2,"before 2000"
"394760","S94400242",2,"before 2000"
"394111","S94400245",2,"before 2000"
"394111","S94400292",2,"before 2000"
"394111","S94400288",2,"before 2000"
"394111","S94400290",2,"before 2000"
"394111","S94400284",2,"before 2000"
"394111","S94400239",2,"before 2000"
"394111","S94400244",2,"before 2000"
"394760","S94400287",2,"before 2000"
"394111","S94400282",2,"before 2000"
"394111","S94400243",2,"before 2000"
"394111","S94400293",2,"before 2000"
"394111","S94400283",2,"before 2000"
"394111","S94400237",2,"before 2000"
"394111","S94400291",2,"before 2000"
"394111","S94400286",2,"before 2000"
"394111","S94400315",3,"before 2000"
"394111","S94400308",3,"before 2000"
"394111","S94400305",3,"before 2000"
"394111","S94400319",3,"before 2000"
"394111","S94400323",3,"before 2000"
"394760","S94400299",3,"before 2000"
"394111","S94400325",3,"before 2000"
"394111","S94400317",3,"before 2000"
"394111","S94400320",3,"before 2000"
"394111","S94400301",3,"before 2000"
"394111","S94400322",3,"before 2000"
"394760","S94400321",3,"before 2000"
"394111","S94400313",3,"before 2000"
"394111","S94400324",3,"before 2000"
"394111","S94400295",3,"before 2000"
"394111","S94400318",3,"before 2000"
"394111","S94400312",3,"before 2000"
"394111","S94400304",3,"before 2000"
"394111","S94400309",3,"before 2000"
"394111","S94400310",3,"before 2000"
"394111","S94400311",3,"before 2000"
"394111","S94400306",3,"before 2000"
"394111","S94400302",3,"before 2000"
"394111","S94400300",3,"before 2000"
"394111","S94400314",3,"before 2000"
"394111","S94400307",3,"before 2000"
"394111","S94400296",3,"before 2000"
"394111","S94400316",3,"before 2000"
"394111","S94400350",4,"before 2000"
"394111","S94400338",4,"before 2000"
"394111","S94400417",4,"before 2000"
"394111","S94400333",4,"before 2000"
"394111","S94400335",4,"before 2000"
"394111","S94400340",4,"before 2000"
"394111","S94400346",4,"before 2000"
"394111","S94400337",4,"before 2000"
"394111","S94400347",4,"before 2000"
"394111","S94400339",4,"before 2000"
"394111","S94400352",4,"before 2000"
"394111","S94400349",4,"before 2000"
"394111","S94400342",4,"before 2000"
"394760","S94400416",4,"before 2000"
"394111","S94400345",4,"before 2000"
"394111","S94400351",4,"before 2000"
"394111","S94400329",4,"before 2000"
"394111","S94400418",4,"before 2000"
"394111","S94400344",4,"before 2000"
"394111","S94400336",4,"before 2000"
"394111","S94400348",4,"before 2000"
"394111","S94400334",4,"before 2000"
"394111","S94400327",4,"before 2000"
"394111","S94400332",4,"before 2000"
"394111","S94400328",4,"before 2000"
"394111","S94400343",4,"before 2000"
"394111","S94400341",4,"before 2000"
"394111","S94400326",4,"before 2000"
"394111","S94400330",4,"before 2000"
"394760","S94400331",4,"before 2000"
"394111","S94400419",5,"before 2000"
"394111","S94400366",5,"before 2000"
"394111","S94400370",5,"before 2000"
"394111","S94400360",5,"before 2000"
"394111","S94400356",5,"before 2000"
"394111","S94400378",5,"before 2000"
"394111","S94400376",5,"before 2000"
"394111","S94400422",5,"before 2000"
"394760","S94400358",5,"before 2000"
"394760","S94400374",5,"before 2000"
"394111","S94400375",5,"before 2000"
"394111","S94400373",5,"before 2000"
"394111","S94400369",5,"before 2000"
"394111","S94400357",5,"before 2000"
"394111","S94400359",5,"before 2000"
"394111","S94400372",5,"before 2000"
"394111","S94400363",5,"before 2000"
"394111","S94400371",5,"before 2000"
"394111","S94400379",5,"before 2000"
"394111","S94400421",5,"before 2000"
"394760","S94400355",5,"before 2000"
"394760","S94400377",5,"before 2000"
"394111","S94400365",5,"before 2000"
"394111","S94400354",5,"before 2000"
"394111","S94400353",5,"before 2000"
"394111","S94400420",5,"before 2000"
"394111","S94400367",5,"before 2000"
"394111","S94400364",5,"before 2000"
"394111","S94400368",5,"before 2000"
"394111","S94400362",5,"before 2000"
"394111","S94400361",5,"before 2000"
"394111","S94400381",6,"before 2000"
"394111","S94400385",6,"before 2000"
"394111","S94400394",6,"before 2000"
"394111","S94400390",6,"before 2000"
"394111","S94400392",6,"before 2000"
"394111","S94400399",6,"before 2000"
"394111","S94400389",6,"before 2000"
"394111","S94400397",6,"before 2000"
"394111","S94400403",6,"before 2000"
"394111","S94400281",6,"before 2000"
"394111","S94400396",6,"before 2000"
"394111","S94400280",6,"before 2000"
"394111","S94400398",6,"before 2000"
"394111","S94400407",6,"before 2000"
"394111","S94400386",6,"before 2000"
"394760","S94400400",6,"before 2000"
"394111","S94400393",6,"before 2000"
"394111","S94400384",6,"before 2000"
"394111","S94400406",6,"before 2000"
"394111","S94400382",6,"before 2000"
"394111","S94400395",6,"before 2000"
"394111","S94400383",6,"before 2000"
"394111","S94400380",6,"before 2000"
"394760","S94400404",6,"before 2000"
"394111","S94400388",6,"before 2000"
"394111","S94400402",6,"before 2000"
"394111","S94400405",6,"before 2000"
"394111","S94400387",6,"before 2000"
"394111","S94400391",6,"before 2000"
"394082","S24455162",7,"before 2000"
"397323","S24455292",7,"before 2000"
"394111","S94400412",7,"before 2000"
"394111","S94400298",7,"before 2000"
"394111","S94400409",7,"before 2000"
"394111","S94400408",7,"before 2000"
"394111","S94400411",7,"before 2000"
"396059","S24455433",7,"before 2000"
"394111","S94400410",7,"before 2000"
"420685","S24610324",4,"before 2000"
"395373","S51961630",5,"before 2000"
"398633","S51911584",5,"before 2000"
"395403","S51960969",5,"before 2000"
"395402","S51960596",5,"before 2000"
"394757","S51916434",5,"before 2000"
"396054","S51961182",5,"before 2000"
"399269","S52125614",6,"before 2000"
"395409","S217464772",6,"before 2000"
"413542","S212847623",5,"before 2000"
"420687","S212847624",5,"before 2000"
"396059","S181730005",6,"before 2000"
"396059","G11818968",9,"before 2000"
"410946","S212847618",6,"before 2000"
"412267","S323650383",9,"before 2000"
"411616","S323642231",9,"before 2000"
"427195","S323684806",9,"before 2000"
"396051","S9485950",5,"before 2000"
"394109","S9494275",5,"before 2000"
"394110","S9488984",5,"before 2000"
"396700","S9487442",5,"before 2000"
"396054","S9484495",5,"before 2000"
"397355","S9484127",5,"before 2000"
"395409","S9494377",5,"before 2000"
"395408","S9489201",5,"before 2000"
"425882","S55248208",5,"before 2000"
"425882","S55248377",5,"before 2000"
"425882","S55248265",5,"before 2000"
"428497","S55248576",6,"before 2000"
"387613","S68968350",7,"before 2000"
"379152","S57385613",8,"before 2000"
"381101","S57387096",8,"before 2000"
"387597","S57387562",8,"before 2000"
"377851","S57385419",8,"before 2000"
"391506","S155900583",8,"before 2000"
"390858","S155901023",8,"before 2000"
"391507","S155900870",8,"before 2000"
"392794","S57414562",8,"before 2000"
"393444","S57414677",8,"before 2000"
"390209","S155901196",8,"before 2000"
"394106","S155899290",8,"before 2000"
"396059","S57416708",8,"before 2000"
"392802","S155900228",8,"before 2000"
"394111","S155740146",8,"before 2000"
"394106","S155899419",8,"before 2000"
"394106","S155899759",8,"before 2000"
"396059","S155739838",8,"before 2000"
"391509","S155901376",8,"before 2000"
"396059","S57416797",8,"before 2000"
"396059","S57432401",9,"before 2000"
"396059","S57432521",9,"before 2000"
"383719","S101938863",9,"before 2000"
"394110","S101938743",9,"before 2000"
"427195","S63058241",4,"before 2000"
"383719","S101953784",6,"before 2000"
"378525","S101943338",6,"before 2000"
"383729","S101950888",6,"before 2000"
"382427","S101951980",6,"before 2000"
"394110","S101950376",6,"before 2000"
"378539","S101951381",6,"before 2000"
"375940","S101951608",6,"before 2000"
"384376","S101950674",6,"before 2000"
"394105","S203789383",5,"before 2000"
"394110","S203742066",5,"before 2000"
"395406","S203786305",5,"before 2000"
"394106","S203787054",5,"before 2000"
