"LOCALITY.ID","group.id","month","timegroups"
"L949536","S101777682",4,"2000-2006"
"L949536","S101862888",10,"2000-2006"
"L949536","S101788509",4,"2000-2006"
"L11565430","S69735846",7,"2000-2006"
"L11565498","S69736325",7,"2000-2006"
"L2424236","S69737443",7,"2000-2006"
"L2424190","S69735601",7,"2000-2006"
"L2583632","S69735192",7,"2000-2006"
"L2583628","S69736805",7,"2000-2006"
"L3819757","S69736993",7,"2000-2006"
"L3905914","S69736130",7,"2000-2006"
"L4736461","S71321755",8,"2000-2006"
"L10719262","S97921342",6,"2000-2006"
"L14176789","S84196576",10,"2000-2006"
"L16946934","S97923541",6,"2000-2006"
"L16946476","S97918501",6,"2000-2006"
"L16946476","S97919620",6,"2000-2006"
"L16946555","S97919043",6,"2000-2006"
"L16946729","S97920254",6,"2000-2006"
"L16947329","S97925202",6,"2000-2006"
"L16947487","S97925847",6,"2000-2006"
"L16947808","S97927594",6,"2000-2006"
"L2424190","S97918782",6,"2000-2006"
"L2424190","S84192861",9,"2000-2006"
"L2424190","S97919375",6,"2000-2006"
"L2424236","S97928612",6,"2000-2006"
"L2583628","S84195639",9,"2000-2006"
"L2583632","S97916003",5,"2000-2006"
"L2583632","S19421988",6,"2000-2006"
"L3028917","S19422513",6,"2000-2006"
"L3028917","S19421987",6,"2000-2006"
"L3030851","S19421986",6,"2000-2006"
"L3030677","S19422482",6,"2000-2006"
"L3030714","S19422514",6,"2000-2006"
"L3056874","S97926803",6,"2000-2006"
"L3056869","S97919892",6,"2000-2006"
"L3905914","S84193973",9,"2000-2006"
"L3905914","S71384243",2,"2000-2006"
"L4848042","S97927161",6,"2000-2006"
"L4853839","S84194623",9,"2000-2006"
"L8661042","S84192129",9,"2000-2006"
"L949536","S97915929",5,"2000-2006"
"L949536","S97924106",6,"2000-2006"
"L18034466","S104350264",7,"2000-2006"
"L19358253","S111662923",7,"2000-2006"
"L2424190","S111663919",7,"2000-2006"
"L2424236","S33499178",9,"2000-2006"
"L2583632","S33498880",8,"2000-2006"
"L3819732","S32360207",5,"2000-2006"
"L4202387","S33499064",8,"2000-2006"
"L4736461","S33499036",8,"2000-2006"
"L4869848","S31181221",5,"2000-2006"
"L4869848","S31181222",5,"2000-2006"
"L5230611","S33498950",8,"2000-2006"
"L5230629","S33498987",8,"2000-2006"
"L4202387","S77032672",9,"2000-2006"
"L9050316","S54976926",10,"2000-2006"
"L5162590","S33109610",8,"2007-2010"
"L3149111","G1037488",7,"2007-2010"
"L3149089","G1037489",7,"2007-2010"
"L8177049","S50163911",6,"2007-2010"
"L2583632","G1037235",7,"2007-2010"
"L3149111","G1037490",7,"2007-2010"
"L3149014","G1037496",7,"2007-2010"
"L2583632","S35732306",5,"2000-2006"
"L3149021","G1037495",7,"2007-2010"
"L3149085","G1037487",7,"2007-2010"
"L30910064","S213263988",9,"2007-2010"
"L5959478","S213262399",9,"2007-2010"
"L8177081","S50164106",6,"2007-2010"
"L3149113","G1037486",7,"2007-2010"
"L4762045","S266660058",6,"2007-2010"
"L2583632","S148334294",9,"2007-2010"
"L8177108","S50164246",6,"2007-2010"
"L4925223","S266660371",6,"2007-2010"
"L3819732","S53183215",6,"2007-2010"
"L2583632","S33096627",8,"2007-2010"
"L3149113","G1037485",7,"2007-2010"
"L2583632","S33095992",8,"2007-2010"
"L5160433","S33097430",8,"2007-2010"
"L4736461","S266659587",6,"2007-2010"
"L2424190","S33095624",8,"2007-2010"
"L12596288","S75426962",6,"2007-2010"
"L12596287","S75426961",5,"2007-2010"
"L37370965","S199100294",7,"2007-2010"
"L37371770","S199104132",7,"2007-2010"
"L21131102","S222090585",7,"2007-2010"
"L949536","S6611170",11,"2007-2010"
"L37388425","S199192693",8,"2007-2010"
"L37370965","S199101015",7,"2007-2010"
"L37388376","S199192374",8,"2007-2010"
"L37371933","S199105528",7,"2007-2010"
"L37388267","S199192040",8,"2007-2010"
