"LOCALITY.ID","group.id","month","timegroups"
"L3020658","S19421834",2,"2007-2010"
"L3025532","S19421843",2,"2007-2010"
"L3025532","S19421842",2,"2007-2010"
"L3341475","S21694534",1,"2014"
"L3989431","S25700227",10,"2015"
"L3341482","S21694559",1,"2014"
"L3989533","S25701281",10,"2015"
"L3300017","S21550264",1,"2014"
"L3341454","S21694460",1,"2014"
"L3341467","S21694500",1,"2014"
"L3025532","S44053957",2,"2014"
"L3989416","S25700055",10,"2015"
"L5386186","S34047976",1,"2016"
"L3025532","S34749391",2,"2016"
"L5381558","S34013677",1,"2016"
"L5386186","S34048044",1,"2016"
"L5381401","S34013153",1,"2016"
"L5386186","S34047883",1,"2016"
"L3025532","S34749403",2,"2016"
"L5381558","S34047481",1,"2016"
"L3989431","S34949018",2,"2016"
"L5386186","S34048146",1,"2016"
"L3025532","S34947268",2,"2016"
"L5386122","S34047608",1,"2016"
"L5381508","S34013255",1,"2016"
"L5386122","S34047710",1,"2016"
"L5381401","S34013073",1,"2016"
"L3025532","S34749081",2,"2016"
"L5386186","S34048232",1,"2016"
"L3025532","S34749096",2,"2016"
"L5540859","S34971409",1,"2016"
"L5381508","S34013368",1,"2016"
"L5381401","S34012977",1,"2016"
"L5381508","S34013424",1,"2016"
"L5727047","S36135143",4,"2016"
"L5386122","S34047752",1,"2016"
"L3025532","S34749396",2,"2016"
"L3025532","S34749071",2,"2016"
"L3025532","S34749068",2,"2016"
"L5386186","S34069560",1,"2016"
"L5381401","S34012864",1,"2016"
"L3025532","G3531581",4,"2017"
"L3025532","G3531565",4,"2017"
"L6805514","S42403353",2,"2017"
"L3989431","S41957125",1,"2017"
"L3025532","G3546469",4,"2017"
"L3025532","G3531555",4,"2017"
"L3025532","G3531563",4,"2017"
"L3025532","G3531566",4,"2017"
"L3025532","G3531151",4,"2017"
"L3025532","G3531560",4,"2017"
"L3025532","G3531575",4,"2017"
"L3025532","G3531583",4,"2017"
"L3025532","G3531574",4,"2017"
"L3025532","G3531578",4,"2017"
"L3025532","G3531569",4,"2017"
"L3025532","G3531562",4,"2017"
"L3025532","G3531582",4,"2017"
"L3025532","G3531584",4,"2017"
"L3025532","G3531557",4,"2017"
"L3025532","G3531580",4,"2017"
"L3025532","G3531556",4,"2017"
"L3025532","G3546466",4,"2017"
"L3025532","G3531554",4,"2017"
"L7793346","S47681995",3,"2017"
"L8062070","G3534164",4,"2017"
"L3025532","G3546470",4,"2017"
"L3025532","G3531564",4,"2017"
"L3025532","G3546596",4,"2017"
"L3025532","G3531579",4,"2017"
"L3025532","G3531567",4,"2017"
"L3025532","G3531576",4,"2017"
"L3989533","S49066508",10,"2018"
"L3989431","S49066340",10,"2018"
"L3025532","G3531573",4,"2017"
"L3025532","G3531572",4,"2017"
"L9193708","G4605959",5,"2018"
"L8899618","S54124034",3,"2018"
"L9193775","G4605952",4,"2018"
"L10005710","G4602986",10,"2019"
"L9001760","S54704860",3,"2018"
"L3989431","S54779837",4,"2018"
"L10005749","G4602985",10,"2019"
"L9193768","S55832581",4,"2018"
"L9193693","G4605961",5,"2018"
"L9939521","S59967204",5,"2018"
"L9193724","G4605957",5,"2018"
"L10030167","S60681835",9,"2019"
"L10029680","S60605819",10,"2019"
"L9193762","G4605953",4,"2018"
"L3989431","S96210734",1,"2018"
"L9193719","G4605958",5,"2018"
"L9193737","G4605956",5,"2018"
"L9193787","G4605951",4,"2018"
"L9193701","G4605960",5,"2018"
"L9193758","G4605954",5,"2018"
"L9193682","G4605962",5,"2018"
"L10029687","S60605878",9,"2019"
"L10478641","S63315493",1,"2019"
"L10840958","S64935532",2,"2019"
"L11631716","G5442037",6,"2020"
"L14076384","S65673095",3,"2019"
"L3025532","S75623909",10,"2020"
"L3025532","S74765402",9,"2020"
"L10648006","S63926602",1,"2019"
"L10840958","S64935537",2,"2019"
"L11624294","G5442041",6,"2020"
"L11639533","G5442027",6,"2020"
"L12896524","S77324821",12,"2020"
"L3025532","S76432608",11,"2020"
"L3989431","S63313581",1,"2019"
"L10941447","S65673120",3,"2019"
"L10840958","S64935522",2,"2019"
"L11599091","G5442043",6,"2020"
"L12390464","S74198747",9,"2020"
"L3025532","S64743531",2,"2019"
"L3025532","S71767181",7,"2020"
"L3025532","S75126918",10,"2020"
"L3025532","S76219411",11,"2020"
"L3025532","S64337530",2,"2019"
"L12301140","S73658164",9,"2020"
"L3025532","S76180791",11,"2020"
"L3025532","S77574052",12,"2020"
"L3025532","S63314665",1,"2019"
"L3989533","S65650313",3,"2019"
"L10647991","S63926444",1,"2019"
"L10840967","S64935555",2,"2019"
"L12202526","S73091676",8,"2020"
"L3025532","S74765326",10,"2020"
"L3025532","S76833145",11,"2020"
"L11640947","S72931217",8,"2020"
"L3025532","S64770231",2,"2019"
"L3025532","S71888854",7,"2020"
"L10647977","S63926418",1,"2019"
"L3025532","S77123144",12,"2020"
"L3989431","S65615347",3,"2019"
"L3025532","S64935476",2,"2019"
"L10478044","S63312961",1,"2019"
"L8062070","S63314386",1,"2019"
"L3025532","S63151208",1,"2019"
"L12896524","S77222018",12,"2020"
"L11589047","G5442044",5,"2019"
"L10840958","S64935528",2,"2019"
"L10840958","S64935526",2,"2019"
"L10478641","S63315905",1,"2019"
"L10840958","S64935512",2,"2019"
"L10840958","S64770278",2,"2019"
"L3025532","S78980592",1,"2020"
"L13970828","S83058463",2,"2020"
"L13970828","S83058955",2,"2020"
"L18156639","S105054864",3,"2021"
"L3989431","S102416088",1,"2021"
"L3989431","S106381633",3,"2021"
"L3989431","S109074578",5,"2021"
"L7405961","S122967649",11,"2022"
"L7405961","S122967638",11,"2022"
"L7405961","S122967665",11,"2022"
"L10029680","S122968943",11,"2022"
"L3989431","S124820903",12,"2022"
"L21512151","S122968632",11,"2022"
"L21512151","S122968550",11,"2022"
"L21630396","S122967656",11,"2022"
"L7405961","S122967674",11,"2022"
"L7405961","S122968600",11,"2022"
"L6805514","S123535323",11,"2022"
