"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck","Dendrocygna javanica","","X","X",193,0.0310880829015544,0.276554404145078,0.440414507772021,8.00518134715026,0.779626437259971
"Bar-headed Goose","Anser indicus","","","X",74,0.0540540540540541,0.256756756756757,0.324324324324324,9.21621621621622,1.5518756575111
"Graylag Goose","Anser anser","","","",33,0.0303030303030303,0.193181818181818,0.303030303030303,9.90909090909091,2.30835445187304
"Greater White-fronted Goose","Anser albifrons","","","",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","","","",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","",141,0.0283687943262411,0.25177304964539,0.468085106382979,8.60992907801418,0.910894288050937
"Ruddy Shelduck","Tadorna ferruginea","","X","X",173,0.023121387283237,0.270231213872832,0.46242774566474,8.01156069364162,0.849976174058556
"Common Shelduck","Tadorna tadorna","","","",1,NA,NA,NA,5,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","",93,0.032258064516129,0.262096774193548,0.408602150537634,9.48387096774194,1.20001162229765
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","","",70,0.0571428571428571,0.232142857142857,0.314285714285714,10.1857142857143,1.40292274622805
"Northern Shoveler","Spatula clypeata","","","",74,0.027027027027027,0.214527027027027,0.337837837837838,9.27027027027027,1.532056823623
"Gadwall","Mareca strepera","","","",75,0.0266666666666667,0.228333333333333,0.346666666666667,10.32,1.40066417398614
"Falcated Duck","Mareca falcata","","","",NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope","","","",58,0.0517241379310345,0.168103448275862,0.172413793103448,10.6551724137931,1.66129176327195
"Indian Spot-billed Duck","Anas poecilorhyncha","","X","X",179,0.0223463687150838,0.284217877094972,0.463687150837989,7.75418994413408,0.813381575410816
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","","",4,NA,0.25,NA,4.75,3.23795717492784
"Northern Pintail","Anas acuta","","X","X",110,0.0727272727272727,0.221590909090909,0.309090909090909,9.26363636363636,1.11688499642124
"Green-winged Teal","Anas crecca","","","",91,0.0769230769230769,0.244505494505494,0.307692307692308,9.74725274725275,1.29461901569235
"Andaman Teal","Anas albogularis","","","",NA,NA,NA,NA,NA,NA
"Marbled Teal","Marmaronetta angustirostris","","","",NA,NA,NA,NA,NA,NA
