"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1993,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Lesser Whistling-Duck","2016",0.0581436202941482,0.0763667738518212,0.0956525651407261,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Lesser Whistling-Duck","2017",0.0662335282253784,0.0799272327651829,0.0949924575166568,NA,NA,NA,85.002077249238,104.816285082125,132.979796358837,NA,NA,NA,85.002077249238,104.816285082125,132.979796358837
2018,"Lesser Whistling-Duck","2018",0.0624425621321022,0.0767859827151439,0.091781767722284,NA,NA,NA,81.7553639159841,101.226945773206,127.579402846895,NA,NA,NA,81.7553639159841,101.226945773206,127.579402846895
2019,"Lesser Whistling-Duck","2019",0.0605619908269507,0.0739189308017016,0.0897168669556455,NA,NA,NA,77.9083252335555,97.9990236439135,123.432007670547,NA,NA,NA,77.9083252335555,97.9990236439135,123.432007670547
2020,"Lesser Whistling-Duck","2020",0.0684480760733058,0.0824860696340999,0.0974226380436157,NA,NA,NA,86.5853551494821,108.634901157131,133.994573574145,NA,NA,NA,86.5853551494821,108.634901157131,133.994573574145
2021,"Lesser Whistling-Duck","2021",0.0798291033364752,0.0948497352511176,0.109784744570294,NA,NA,NA,101.964354100624,125.374065927197,153.198532515717,NA,NA,NA,101.964354100624,125.374065927197,153.198532515717
2022,"Lesser Whistling-Duck","2022",0.0702046692794126,0.0831266646842772,0.0970509153618806,NA,NA,NA,89.781264260206,110.015672896615,135.1417989222,NA,NA,NA,89.781264260206,110.015672896615,135.1417989222
