"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1993,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-2.81508978499405,0.126703721610966,0.0456522813116717,0.0581406640378095,0.0739107372419625,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-2.71713654039528,0.117218917115312,0.0511484931323911,0.0639287227065996,0.0797655966433819,NA,NA,NA,78.6948028395449,109.955267564585,150.624394663567,NA,NA,NA,78.6948028395449,109.955267564585,150.624394663567
2017,"Lesser Whistling-Duck","2017",-2.92160320515957,0.0821643856725823,0.0448031524521231,0.0524231999129759,0.0612971195116413,NA,NA,NA,66.9559194452751,90.1661526928632,121.649284534384,NA,NA,NA,66.9559194452751,90.1661526928632,121.649284534384
2018,"Lesser Whistling-Duck","2018",-2.95156947330568,0.085367754861048,0.0432433442043331,0.0509156721316096,0.0599060718453432,NA,NA,NA,65.4695539481377,87.5732552667417,115.705480740771,NA,NA,NA,65.4695539481377,87.5732552667417,115.705480740771
2019,"Lesser Whistling-Duck","2019",-2.99812616956725,0.0882371022197312,0.0410905604727155,0.0486568476573812,0.0575740178732344,NA,NA,NA,63.3721228205891,83.6881526253969,112.557294249427,NA,NA,NA,63.3721228205891,83.6881526253969,112.557294249427
2020,"Lesser Whistling-Duck","2020",-2.82992593377463,0.0804924722569948,0.0491544860476972,0.0573094685355162,0.0667692184036169,NA,NA,NA,75.1007309593502,98.5703715015144,130.363902958904,NA,NA,NA,75.1007309593502,98.5703715015144,130.363902958904
2021,"Lesser Whistling-Duck","2021",-2.8852788089414,0.0759003646379426,0.0469812179232933,0.0543088270580977,0.0627411920967184,NA,NA,NA,70.6896839390629,93.4093683945201,122.710634760786,NA,NA,NA,70.6896839390629,93.4093683945201,122.710634760786
2022,"Lesser Whistling-Duck","2022",-2.97336599787086,0.0764997986364381,0.0430569932041258,0.0498457259208986,0.0576721782519072,NA,NA,NA,64.8887829894277,85.7329835250649,116.19796733497,NA,NA,NA,64.8887829894277,85.7329835250649,116.19796733497
2023,"Lesser Whistling-Duck","2023",-2.78106246867023,0.0742082328101769,0.0521733830441128,0.0600913867680718,0.0691665614346059,NA,NA,NA,78.533284464318,103.35517793363,139.43898931109,NA,NA,NA,78.533284464318,103.35517793363,139.43898931109
2024,"Lesser Whistling-Duck","2024",-2.79483269465204,0.0723984417439197,0.0516566791919794,0.0592944498809601,0.0680204296679207,NA,NA,NA,76.4613852744407,101.984473108873,134.902143246358,NA,NA,NA,76.4613852744407,101.984473108873,134.902143246358
2025,"Lesser Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.7215646341157,95.3155354769025,112.708740280005,80.7215646341157,95.3155354769025,112.708740280005
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.826049602349,95.3300253193706,115.505325650914,78.826049602349,95.3300253193706,115.505325650914
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9396847869776,95.3543522249741,118.458824876509,76.9396847869776,95.3543522249741,118.458824876509
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.0785735838678,95.3885143736364,121.553970533771,75.0785735838678,95.3885143736364,121.553970533771
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.2521286729413,95.4325129027707,124.782412984567,73.2521286729413,95.4325129027707,124.782412984567
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4658391764694,95.4863518991696,128.139953834323,71.4658391764694,95.4863518991696,128.139953834323
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.7228109949186,95.5500383923927,131.625006623912,69.7228109949186,95.5500383923927,131.625006623912
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.0246574839013,95.6235823496382,135.237707590285,68.0246574839013,95.6235823496382,135.237707590285
1993,"Indian Spot-billed Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Indian Spot-billed Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Indian Spot-billed Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Spot-billed Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Spot-billed Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Spot-billed Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Spot-billed Duck","2015",-3.03412446141269,0.147750236697537,0.0353778182798883,0.0469775062677668,0.0622559619810515,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Spot-billed Duck","2016",-2.83863390066426,0.148274892989796,0.0428072337456507,0.0568269808042444,0.0752545822473486,NA,NA,NA,80.3548125078786,120.966363093726,180.386338397195,NA,NA,NA,80.3548125078786,120.966363093726,180.386338397195
2017,"Indian Spot-billed Duck","2017",-3.00206122692419,0.113274543401683,0.0390110805495059,0.0484704643798511,0.0601507906953485,NA,NA,NA,72.3143615523635,103.178027593833,147.148507975025,NA,NA,NA,72.3143615523635,103.178027593833,147.148507975025
2018,"Indian Spot-billed Duck","2018",-2.80097317749813,0.112047570769373,0.0476023281928572,0.0589423836577338,0.0728788448979009,NA,NA,NA,87.4517837859337,125.469375325647,177.38996675767,NA,NA,NA,87.4517837859337,125.469375325647,177.38996675767
