"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1995,"Lesser Whistling-Duck","before 2000",-3.3105270801569,0.23158753630524,0.0229140144086506,0.0358389479412012,0.0558430954865788,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Lesser Whistling-Duck","2000-2006",-2.83597166364949,0.190050928183078,0.0396124194080334,0.0569740695369009,0.0816152407232959,89.6883010994129,158.972494478283,287.915508462041,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",-3.58062211801938,0.213445958716081,0.0181673474761793,0.0274738959843631,0.0414462365991188,41.6149345177724,76.6593261315535,136.55869164334,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",-2.79611214121136,0.150064174386618,0.0444719216740471,0.0592209249521267,0.0786562807699377,97.4655771685258,165.241806342326,280.08461264219,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",-2.77993964187224,0.13829823071951,0.0462096510129504,0.0601568243191082,0.0781379698426849,101.222308579378,167.853209357049,285.233829718864,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",-3.18673933418904,0.116795091823644,0.0323209344508845,0.0404648569235657,0.0506065349014689,68.4195220783353,112.907491006583,178.412470244726,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-2.8852595711879,0.0998093018213769,0.0448802596907095,0.0543098429487632,0.0656515459485909,96.8988209368845,151.538608325964,244.084019580148,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-3.15663744242559,0.0963386284750985,0.0346301226677494,0.0416753163309192,0.0501161793200593,71.9951347381302,116.284988050691,187.786705770506,58.9092089647769,76.7362122004962,100.174931792638,NA,NA,NA,58.9092089647769,76.7362122004962,100.174931792638
2017,"Lesser Whistling-Duck","2017",-2.96797648618992,0.0963151027036309,0.0416705581104077,0.0501082311396806,0.0602000328578233,87.0483893528055,139.815016952758,225.809414473403,71.5552369178108,92.2636273998317,120.527214639852,NA,NA,NA,71.5552369178108,92.2636273998317,120.527214639852
2018,"Lesser Whistling-Duck","2018",-2.91487311862375,0.0972905950837849,0.0438106336308616,0.0527676943396352,0.0634943646141513,95.4118655671859,147.23561201129,242.072035887341,73.9061554890541,97.1604620352467,127.268761716967,NA,NA,NA,73.9061554890541,97.1604620352467,127.268761716967
2019,"Lesser Whistling-Duck","2019",-3.06800364158781,0.0970960887422472,0.0377233130484157,0.0454487275315761,0.054710723270308,74.9639441423266,126.813788189712,208.838476808266,65.594654817298,83.6841446484262,107.490614356173,NA,NA,NA,65.594654817298,83.6841446484262,107.490614356173
2020,"Lesser Whistling-Duck","2020",-3.14572210518232,0.0935004949498614,0.0351952430084766,0.0421229374360399,0.0503782586029868,73.1550180834846,117.53396752926,187.918060972193,59.9800481432975,77.560411058046,101.696867233243,NA,NA,NA,59.9800481432975,77.560411058046,101.696867233243
2021,"Lesser Whistling-Duck","2021",-3.1188091039884,0.0895525203590205,0.036413302313634,0.0432467773392376,0.051328115094095,73.5338825186422,120.669773594331,195.185706887532,60.9164850092648,79.6297227006113,102.309673317891,NA,NA,NA,60.9164850092648,79.6297227006113,102.309673317891
2022,"Lesser Whistling-Duck","2022",-2.9845619267274,0.0908453159082413,0.041432008974884,0.0493046819843069,0.0586269429151357,82.7580334703066,137.57290550269,224.104244537524,68.3579562664315,90.7840629014924,117.692468567351,NA,NA,NA,68.3579562664315,90.7840629014924,117.692468567351
2023,"Lesser Whistling-Duck","2023",-3.1156025958972,0.0909596091041301,0.0364293402077185,0.0433826137910185,0.0516271055670048,76.1661246073178,121.048792677156,203.460027571328,61.5762219976504,79.8798365739086,104.107583880577,NA,NA,NA,61.5762219976504,79.8798365739086,104.107583880577
2024,"Lesser Whistling-Duck","2024",-3.26404117863348,0.0863349565415815,0.0317661165115084,0.0375119001460574,0.0442729808268104,66.2458205404113,104.667972418166,165.646986808039,52.8219907235284,69.0701687011815,88.2509981619693,NA,NA,NA,52.8219907235284,69.0701687011815,88.2509981619693
2025,"Lesser Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9277982168083,75.0852419233819,89.7219170565769,62.9277982168083,75.0852419233819,89.7219170565769
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0065622422351,73.4509836732492,90.0791865567896,60.0065622422351,73.4509836732492,90.0791865567896
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1910870770455,71.8598283935176,90.5107908015924,57.1910870770455,71.8598283935176,90.5107908015924
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4905209130185,70.3105137749021,90.998987664733,54.4905209130185,70.3105137749021,90.998987664733
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.90790514358,68.8018176993366,91.532651785761,51.90790514358,68.8018176993366,91.532651785761
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4428576138541,67.3325568699071,92.104562155392,49.4428576138541,67.3325568699071,92.104562155392
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0930490594555,65.9015854902908,92.7098983022192,47.0930490594555,65.9015854902908,92.7098983022192
1995,"Bar-headed Goose","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Bar-headed Goose","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bar-headed Goose","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Bar-headed Goose","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Bar-headed Goose","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Bar-headed Goose","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Bar-headed Goose","2015",-3.55445164115057,0.195462761416691,0.0193069394052591,0.0281920264005419,0.04107954816075,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Bar-headed Goose","2016",-4.04961359522975,0.190899059074896,0.0119172994170476,0.0172780997118175,0.0250196522915609,NA,NA,NA,35.9907806006869,61.2871861934886,103.289579203221,NA,NA,NA,35.9907806006869,61.2871861934886,103.289579203221
2017,"Bar-headed Goose","2017",-3.90367389770547,0.206937570179711,0.0133533809082783,0.0199656737786817,0.0298024139261627,NA,NA,NA,40.6642823650221,70.8202861866571,120.188403330479,NA,NA,NA,40.6642823650221,70.8202861866571,120.188403330479
2018,"Bar-headed Goose","2018",-3.93280593141789,0.177500084979252,0.0137376564504385,0.0193980204093872,0.0273580805323717,NA,NA,NA,42.1895507048142,68.8067616487985,117.39217568219,NA,NA,NA,42.1895507048142,68.8067616487985,117.39217568219
2019,"Bar-headed Goose","2019",-4.16015024848334,0.176743417449743,0.010975602640995,0.0154840826537944,0.0218239849164301,NA,NA,NA,33.0322755066971,54.9236242680901,92.5783183004073,NA,NA,NA,33.0322755066971,54.9236242680901,92.5783183004073
2020,"Bar-headed Goose","2020",-4.26552863528477,0.18375565187445,0.00974906241013302,0.0139462777107168,0.0199322263181388,NA,NA,NA,29.6395987804958,49.4688729095712,81.85495965728,NA,NA,NA,29.6395987804958,49.4688729095712,81.85495965728
2021,"Bar-headed Goose","2021",-4.3396732236276,0.181077866959257,0.00910296872212229,0.0129561262632476,0.0184250405122726,NA,NA,NA,27.9615322026235,45.9567044921558,77.6629608773246,NA,NA,NA,27.9615322026235,45.9567044921558,77.6629608773246
2022,"Bar-headed Goose","2022",-4.5478420411521,0.190781094525201,0.00725972104150727,0.0105341556234242,0.0152740923545447,NA,NA,NA,21.7265186904465,37.3657270100375,61.792130383301,NA,NA,NA,21.7265186904465,37.3657270100375,61.792130383301
2023,"Bar-headed Goose","2023",-4.38857078016723,0.19469965706755,0.00844299200228612,0.012341674324088,0.0180242000784278,NA,NA,NA,25.9919531493527,43.7771806422925,74.2023873236078,NA,NA,NA,25.9919531493527,43.7771806422925,74.2023873236078
2024,"Bar-headed Goose","2024",-4.60534502345975,0.194837476286701,0.00680133189172337,0.00994843542253266,0.0145410653190597,NA,NA,NA,20.6138644376238,35.2881175733485,58.1916511675442,NA,NA,NA,20.6138644376238,35.2881175733485,58.1916511675442
2025,"Bar-headed Goose","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6774830235984,31.797269970809,42.9512245206529,23.6774830235984,31.797269970809,42.9512245206529
2026,"Bar-headed Goose","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6014515427232,28.8627589843591,40.7473640590749,20.6014515427232,28.8627589843591,40.7473640590749
2027,"Bar-headed Goose","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.915820932717,26.2109315954151,38.7232846703929,17.915820932717,26.2109315954151,38.7232846703929
2028,"Bar-headed Goose","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5776599483186,23.8135216420795,36.8505112044959,15.5776599483186,23.8135216420795,36.8505112044959
2029,"Bar-headed Goose","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5453260096097,21.6451847105876,35.1089890726292,13.5453260096097,21.6451847105876,35.1089890726292
2030,"Bar-headed Goose","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7804277103606,19.6831869682695,33.4837362579507,11.7804277103606,19.6831869682695,33.4837362579507
2031,"Bar-headed Goose","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2484832613429,17.9071280471937,31.9630035983735,10.2484832613429,17.9071280471937,31.9630035983735
1995,"Knob-billed Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Knob-billed Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Knob-billed Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Knob-billed Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Knob-billed Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Knob-billed Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
