"gridg0","group.id","month","timegroups"
"175604","S59835772",5,"before 2000"
"175604","S56477628",3,"before 2000"
"179505","S56462697",3,"before 2000"
"173016","S56394601",3,"before 2000"
"175604","S159700060",7,"before 2000"
"179505","S150182118",7,"before 2000"
"169127","S23441354",9,"before 2000"
"169776","S23468048",10,"before 2000"
"178204","S77629950",12,"before 2000"
"177554","S62628010",3,"before 2000"
"193300","S27698633",4,"before 2000"
"178205","S59063196",1,"before 2000"
"175604","G4676200",2,"before 2000"
"174953","S54934192",2,"before 2000"
"176253","G4676199",2,"before 2000"
"175603","G4676198",2,"before 2000"
"176254","G4676201",3,"before 2000"
"175604","G4676216",3,"before 2000"
"174953","G4676219",3,"before 2000"
"175603","G4676202",3,"before 2000"
"179505","G4676206",3,"before 2000"
"179505","G4676217",3,"before 2000"
"176256","G4676209",3,"before 2000"
"183408","G4676220",3,"before 2000"
"173016","S24081420",2,"before 2000"
"176289","S46268878",3,"before 2000"
"178205","S203026067",8,"before 2000"
"178205","S59062548",10,"before 2000"
"169775","S22984309",3,"before 2000"
"178205","S59062394",9,"before 2000"
"169776","S46313849",1,"before 2000"
"169776","S24093221",1,"before 2000"
"169777","S46162529",7,"before 2000"
"169125","S131617404",7,"before 2000"
"168477","S131616412",7,"before 2000"
"169777","S46163896",9,"before 2000"
"169777","S46189116",9,"before 2000"
"161322","S46150818",11,"before 2000"
"179505","S54093454",2,"before 2000"
"168477","S22404612",3,"before 2000"
"168477","S23240612",3,"before 2000"
"173017","S23664797",3,"before 2000"
"167825","S23260213",8,"before 2000"
"169775","S46097581",11,"before 2000"
"159421","S21974063",11,"before 2000"
"191232","S24124457",12,"before 2000"
"157459","S21971919",12,"before 2000"
"175604","S95580154",1,"before 2000"
"178855","S95580357",1,"before 2000"
"165253","S23260416",3,"before 2000"
"168490","S23242220",3,"before 2000"
"161323","S36235418",5,"before 2000"
"179505","S57186330",2,"before 2000"
"178855","S19016731",5,"before 2000"
"178859","S24077435",6,"before 2000"
"178204","S210875442",12,"before 2000"
"179506","S210875721",12,"before 2000"
"178204","S210876074",12,"before 2000"
"184052","S19016798",1,"before 2000"
"175603","S203325107",4,"before 2000"
"212753","S24300323",5,"before 2000"
"175604","S88042146",6,"before 2000"
"179505","S57829822",6,"before 2000"
"174960","S57705498",7,"before 2000"
"179505","S57829755",8,"before 2000"
"181475","S57705471",8,"before 2000"
"181475","S57705430",8,"before 2000"
"176256","S56572546",9,"before 2000"
"179505","S19016812",11,"before 2000"
"167824","S23260141",12,"before 2000"
"169777","S22404726",12,"before 2000"
"169776","S23996285",12,"before 2000"
"174960","S56572883",12,"before 2000"
"176253","S57067030",1,"before 2000"
"178855","S51365621",1,"before 2000"
"177554","S57066951",1,"before 2000"
"191232","S19003365",1,"before 2000"
"147046","S64812041",1,"before 2000"
"157442","S66350943",1,"before 2000"
"157442","S66351532",1,"before 2000"
"154192","S66350396",1,"before 2000"
"179505","S57066833",2,"before 2000"
"179505","S57066877",2,"before 2000"
"147663","S57066748",2,"before 2000"
"179505","S56858469",3,"before 2000"
"179505","S56858281",3,"before 2000"
"145744","S51486851",3,"before 2000"
"169124","S57049576",9,"before 2000"
"173016","S57066628",9,"before 2000"
"199068","S40976703",11,"before 2000"
"191256","S40976375",11,"before 2000"
"191256","S40976032",11,"before 2000"
