"LOCALITY.ID","group.id","month","timegroups"
"L4836352","S59835772",5,"before 2000"
"L9297222","S56477628",3,"before 2000"
"L2080385","S56462697",3,"before 2000"
"L2961995","S56394601",3,"before 2000"
"L4836352","S159700060",7,"before 2000"
"L2080385","S150182118",7,"before 2000"
"L3642944","S23441354",9,"before 2000"
"L3646676","S23468048",10,"before 2000"
"L12964007","S77629950",12,"before 2000"
"L10346883","S62628010",3,"before 2000"
"L967186","S27698633",4,"before 2000"
"L1122910","S59063196",1,"before 2000"
"L9039552","G4676200",2,"before 2000"
"L9039455","S54934192",2,"before 2000"
"L3250437","G4676199",2,"before 2000"
"L9039420","G4676198",2,"before 2000"
"L9039644","G4676201",3,"before 2000"
"L9039552","G4676216",3,"before 2000"
"L9039455","G4676219",3,"before 2000"
"L9039420","G4676202",3,"before 2000"
"L9040052","G4676206",3,"before 2000"
"L2080385","G4676217",3,"before 2000"
"L9041526","G4676209",3,"before 2000"
"L9058485","G4676220",3,"before 2000"
"L3755982","S24081420",2,"before 2000"
"L7513327","S46268878",3,"before 2000"
"L1122910","S203026067",8,"before 2000"
"L1122910","S59062548",10,"before 2000"
"L1944566","S22984309",3,"before 2000"
"L1122910","S59062394",9,"before 2000"
"L3758282","S46313849",1,"before 2000"
"L3758282","S24093221",1,"before 2000"
"L8079763","S46162529",7,"before 2000"
"L23184411","S131617404",7,"before 2000"
"L3614792","S131616412",7,"before 2000"
"L8079763","S46163896",9,"before 2000"
"L8079763","S46189116",9,"before 2000"
"L7491231","S46150818",11,"before 2000"
"L2080385","S54093454",2,"before 2000"
"L3496195","S22404612",3,"before 2000"
"L3614792","S23240612",3,"before 2000"
"L3677501","S23664797",3,"before 2000"
"L2804745","S23260213",8,"before 2000"
"L7481888","S46097581",11,"before 2000"
"L1838391","S21974063",11,"before 2000"
"L2870192","S24124457",12,"before 2000"
"L3399181","S21971919",12,"before 2000"
"L2907466","S95580154",1,"before 2000"
"L4258202","S95580357",1,"before 2000"
"L967184","S23260416",3,"before 2000"
"L3614866","S23242220",3,"before 2000"
"L5742970","S36235418",5,"before 2000"
"L2080385","S57186330",2,"before 2000"
"L2961978","S19016731",5,"before 2000"
"L3755226","S24077435",6,"before 2000"
"L39748815","S210875442",12,"before 2000"
"L10941649","S210875721",12,"before 2000"
"L39748815","S210876074",12,"before 2000"
"L2965307","S19016798",1,"before 2000"
"L10257744","S203325107",4,"before 2000"
"L11009385","S24300323",5,"before 2000"
"L4836352","S88042146",6,"before 2000"
"L2080385","S57829822",6,"before 2000"
"L961164","S57705498",7,"before 2000"
"L2080385","S57829755",8,"before 2000"
"L3948283","S57705471",8,"before 2000"
"L3948283","S57705430",8,"before 2000"
"L2745852","S56572546",9,"before 2000"
"L2665773","S19016812",11,"before 2000"
"L5648859","S23260141",12,"before 2000"
"L8079763","S22404726",12,"before 2000"
"L2639081","S23996285",12,"before 2000"
"L961164","S56572883",12,"before 2000"
"L9404356","S57067030",1,"before 2000"
"L4258202","S51365621",1,"before 2000"
"L9404345","S57066951",1,"before 2000"
"L2870192","S19003365",1,"before 2000"
"L10819371","S64812041",1,"before 2000"
"L12996325","S66350943",1,"before 2000"
"L12996325","S66351532",1,"before 2000"
"L12996317","S66350396",1,"before 2000"
"L2080385","S57066833",2,"before 2000"
"L2080385","S57066877",2,"before 2000"
"L4008020","S57066748",2,"before 2000"
"L2080385","S56858469",3,"before 2000"
"L2080385","S56858281",3,"before 2000"
"L8396078","S51486851",3,"before 2000"
"L7621641","S57049576",9,"before 2000"
"L9404280","S57066628",9,"before 2000"
"L2594322","S40976703",11,"before 2000"
"L5583575","S40976375",11,"before 2000"
"L6543825","S40976032",11,"before 2000"
"L2080385","S57049425",12,"before 2000"
"L2080385","G4439840",12,"before 2000"
"L7621641","S34663317",12,"before 2000"
"L7621641","S46780785",12,"before 2000"
"L7621641","S46780818",12,"before 2000"
"L7621641","S46780686",12,"before 2000"
"L1944566","S59063703",12,"before 2000"
"L7621641","S34663358",12,"before 2000"
"L6691838","S27799347",12,"before 2000"
"L9404356","S57933589",1,"before 2000"
"L2870192","S19003556",1,"before 2000"
"L8070403","S46780849",1,"before 2000"
"L9428509","S57933642",1,"before 2000"
"L2080385","S36479638",4,"before 2000"
"L2665773","S19003569",5,"before 2000"
"L2665773","S99853026",5,"before 2000"
