"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor",NA,NA,"X",4,NA,0.4375,0.5,12,5.71433285694839
"Lesser Whistling-Duck","Dendrocygna javanica",NA,NA,"X",6,NA,0.541666666666667,0.833333333333333,11.3333333333333,5.1277302754511
"Bar-headed Goose","Anser indicus",NA,NA,"X",1,NA,NA,NA,17,NA
"Graylag Goose","Anser anser",NA,NA,"X",NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose","Anser albifrons",NA,NA,"",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus",NA,NA,"",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis",NA,NA,"",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris",NA,NA,"",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis",NA,NA,"",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor",NA,NA,"",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus",NA,NA,"",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus",NA,NA,"",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos",NA,NA,"",NA,NA,NA,NA,NA,NA
"Ruddy Shelduck","Tadorna ferruginea",NA,NA,"X",4,0.25,0.375,0.5,12,5.71433285694839
"Common Shelduck","Tadorna tadorna",NA,NA,"",NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus",NA,NA,"X",6,NA,0.333333333333333,0.666666666666667,11.1666666666667,5.34177415388475
"Mandarin Duck","Aix galericulata",NA,NA,"",1,NA,NA,NA,17,NA
"Baikal Teal","Sibirionetta formosa",NA,NA,"",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula",NA,NA,"X",2,NA,0.833333333333333,1,17,0
"Northern Shoveler","Spatula clypeata",NA,NA,"X",1,NA,1,NA,17,NA
"Gadwall","Mareca strepera",NA,NA,"X",4,0.25,0.5,0.75,12,5.71433285694839
"Falcated Duck","Mareca falcata",NA,NA,"",NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope",NA,NA,"X",3,NA,0.5,0.333333333333333,10.3333333333333,6.63060915586025
"Indian Spot-billed Duck","Anas poecilorhyncha",NA,NA,"X",1,1,1,1,17,NA
"Eastern Spot-billed Duck","Anas zonorhyncha",NA,NA,"",1,NA,NA,NA,17,NA
"Mallard","Anas platyrhynchos",NA,NA,"X",NA,NA,NA,NA,NA,NA
"Northern Pintail","Anas acuta",NA,NA,"X",4,NA,0.4375,0.75,12,5.71433285694839
"Green-winged Teal","Anas crecca",NA,NA,"X",5,NA,0.56,0.8,13,4.84084290180956
"Andaman Teal","Anas albogularis",NA,NA,"",NA,NA,NA,NA,NA,NA
"Marbled Duck","Marmaronetta angustirostris",NA,NA,"",NA,NA,NA,NA,NA,NA
"Pink-headed Duck","Rhodonessa caryophyllacea",NA,NA,"",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata",NA,NA,"",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina",NA,NA,"X",3,0.333333333333333,0.583333333333333,0.333333333333333,10.3333333333333,6.63060915586025
"Common Pochard","Aythya ferina",NA,NA,"X",3,NA,0.5,1,14,5.88
"Ferruginous Duck","Aythya nyroca",NA,NA,"X",4,0.25,0.6875,0.75,12,5.71433285694839
"Baer's Pochard","Aythya baeri",NA,NA,"X",1,NA,NA,NA,17,NA
"Tufted Duck","Aythya fuligula",NA,NA,"X",NA,NA,NA,NA,NA,NA
"Greater Scaup","Aythya marila",NA,NA,"",NA,NA,NA,NA,NA,NA
"Long-tailed Duck","Clangula hyemalis",NA,NA,"",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula",NA,NA,"",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus",NA,NA,"",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser",NA,NA,"",NA,NA,NA,NA,NA,NA
"Red-breasted Merganser","Mergus serrator",NA,NA,"",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala",NA,NA,"",NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis",NA,NA,"",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola",NA,NA,"X",1,NA,1,NA,10,NA
"Chestnut-breasted Partridge","Arborophila mandellii",NA,NA,"",NA,NA,NA,NA,NA,NA
"Rufous-throated Partridge","Arborophila rufogularis",NA,NA,"X",3,NA,0.333333333333333,NA,11,6.30051849718206
"White-cheeked Partridge","Arborophila atrogularis",NA,NA,"X",1,NA,1,1,6,NA
"Snow Partridge","Lerwa lerwa",NA,NA,"",NA,NA,NA,NA,NA,NA
"Blood Pheasant","Ithaginis cruentus",NA,NA,"",NA,NA,NA,NA,NA,NA
"Western Tragopan","Tragopan melanocephalus",NA,NA,"",NA,NA,NA,NA,NA,NA
"Satyr Tragopan","Tragopan satyra",NA,NA,"",NA,NA,NA,NA,NA,NA
"Blyth's Tragopan","Tragopan blythii",NA,NA,"X",NA,NA,NA,NA,NA,NA
"Temminck's Tragopan","Tragopan temminckii",NA,NA,"",NA,NA,NA,NA,NA,NA
