"eBird.English.Name.2025","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Abbott's Babbler",NA,NA,NA,NA
"Aberrant Bush Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Alexandrine Parakeet",NA,NA,NA,NA
"Alpine Accentor",NA,NA,NA,NA
"Alpine Swift",NA,NA,NA,NA
"Alpine Thrush",NA,NA,NA,NA
"Altai Accentor",NA,NA,NA,NA
"American Golden-Plover",NA,NA,NA,NA
"Amur Falcon","Insufficient Data","Insufficient Data",NA,"Low"
"Amur Paradise-Flycatcher",NA,NA,NA,NA
"Amur Stonechat",NA,NA,NA,NA
"Andaman Boobook",NA,NA,NA,NA
"Andaman Bulbul",NA,NA,NA,NA
"Andaman Coucal",NA,NA,NA,NA
"Andaman Crake",NA,NA,NA,NA
"Andaman Cuckoo-Dove",NA,NA,NA,NA
"Andaman Cuckooshrike",NA,NA,NA,NA
"Andaman Drongo",NA,NA,NA,NA
"Andaman Flowerpecker",NA,NA,NA,NA
"Andaman Green-Pigeon",NA,NA,NA,NA
"Andaman Masked-Owl",NA,NA,NA,NA
"Andaman Nightjar",NA,NA,NA,NA
"Andaman Scops-Owl",NA,NA,NA,NA
"Andaman Serpent-Eagle",NA,NA,NA,NA
"Andaman Shama",NA,NA,NA,NA
"Andaman Teal",NA,NA,NA,NA
"Andaman Treepie",NA,NA,NA,NA
"Andaman Wood-Pigeon",NA,NA,NA,NA
"Andaman Woodpecker",NA,NA,NA,NA
"Arctic Loon",NA,NA,NA,NA
"Arctic Tern",NA,NA,NA,NA
"Arctic Warbler",NA,NA,NA,NA
"Ashambu Laughingthrush",NA,NA,NA,NA
"Ashy Bulbul","Insufficient Data","Insufficient Data",NA,"Low"
"Ashy Drongo","Insufficient Data","Insufficient Data",NA,"Low"
"Ashy Minivet",NA,NA,NA,NA
"Ashy Prinia",NA,NA,NA,NA
"Ashy Wood-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Ashy Woodswallow","Insufficient Data","Insufficient Data",NA,"Low"
"Ashy-crowned Sparrow-Lark",NA,NA,NA,NA
"Ashy-headed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Ashy-throated Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Barred Owlet","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Brown Flycatcher",NA,NA,NA,NA
"Asian Desert Warbler",NA,NA,NA,NA
"Asian Dowitcher",NA,NA,NA,NA
"Asian Emerald Cuckoo",NA,NA,NA,NA
"Asian Emerald Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Fairy-bluebird",NA,NA,NA,NA
"Asian Glossy Starling",NA,NA,NA,NA
"Asian Green Bee-eater","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Houbara",NA,NA,NA,NA
"Asian House-Martin","Insufficient Data","Insufficient Data",NA,"Moderate"
"Asian Koel","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Openbill","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Palm Swift","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Stubtail",NA,NA,NA,NA
"Asian Tit","Insufficient Data","Insufficient Data",NA,"Low"
