"gridg0","group.id","month","timegroups"
"248864","S101406901",7,"2011-2012"
"263814","S101532754",10,"2011-2012"
"265783","S101487227",4,"2007-2010"
"256670","S101519659",12,"2011-2012"
"257319","S101408526",2,"2011-2012"
"258605","S101400483",7,"2011-2012"
"260555","S101358243",4,"2011-2012"
"256670","S101719355",1,"2011-2012"
"257319","S44816396",1,"2011-2012"
"256670","S101572595",12,"2013"
"253417","S45404823",8,"2013"
"254081","S101586798",12,"2013"
"256670","S101576158",12,"2013"
"261205","S45411419",4,"2011-2012"
"261223","S45419980",9,"2013"
"262522","S45415384",1,"2011-2012"
"258620","S101577670",12,"2013"
"265783","S101699001",12,"2013"
"253411","S13042759",2,"2011-2012"
"264471","S44815057",4,"2013"
"266435","S44789162",11,"2014"
"272936","G979854",4,"2013"
"269029","S104476003",11,"2014"
"261873","S45418608",5,"2013"
"261227","S104204558",9,"2014"
"261222","S47513380",6,"2014"
"254071","S45406115",2,"2013"
"259905","S101342785",4,"2013"
"264462","S104369811",11,"2014"
"263169","S44792294",1,"2013"
"257317","S104208098",10,"2014"
"271623","S45410328",8,"2014"
"254079","S101584727",12,"2014"
"259905","S101469731",5,"2013"
"264471","S44814722",4,"2013"
"260572","S47514277",7,"2014"
"260568","S101517002",4,"2013"
"261876","S101489025",3,"2013"
"257319","S104372064",1,"2013"
"259921","S47513480",6,"2014"
"261222","S47513657",3,"2013"
"259905","S101517832",4,"2013"
"260573","S45419037",9,"2014"
"257319","S101538373",3,"2013"
"253411","S17211396",2,"2013"
"261223","S20754005",11,"2014"
"256671","S25403451",2,"2014"
"261224","S47523170",2,"2014"
"259270","S26456771",12,"2015"
"256671","S25403452",2,"2014"
"258620","S47514047",3,"2014"
"265784","S44783307",6,"2015"
"252781","S44894621",12,"2015"
"261224","S45615996",1,"2014"
"265784","S44784546",6,"2015"
"257320","S29214338",12,"2015"
"259270","S26503706",12,"2015"
"263188","S188607897",4,"2015"
"263837","S188456456",4,"2015"
"256670","S102798412",5,"2015"
"271628","G4224795",5,"2015"
"263839","S188591679",4,"2015"
"265784","S102798888",5,"2015"
"269029","S102800102",5,"2015"
"256021","S187467281",4,"2015"
"256670","S32360545",10,"2016"
"261204","S32629689",11,"2016"
"263814","S101071827",9,"2016"
"272275","S29913819",5,"2015"
"263815","S101477329",11,"2016"
"257320","S188434625",4,"2015"
"257319","S45616288",4,"2015"
"258620","S101019738",4,"2015"
"256021","S187466547",4,"2015"
"263188","S101021225",4,"2015"
"265783","S102799261",5,"2015"
"268377","S29913982",5,"2015"
"265784","S104375227",7,"2016"
"265784","S45616437",7,"2016"
"271626","S104427891",6,"2016"
"259270","S26663879",1,"2015"
"265134","S45628060",7,"2016"
"259270","S26661610",1,"2015"
"258620","S101019612",4,"2015"
"257317","S102773802",9,"2017"
"269029","S103909054",2,"2016"
"263815","S104588112",11,"2017"
"256021","G2759588",11,"2017"
"256670","S261634143",12,"2017"
"261223","G2759530",11,"2017"
"265784","S48752620",4,"2016"
"256020","S261625601",12,"2017"
"265132","S95050962",2,"2016"
"254079","S45299057",4,"2016"
"254071","S127315065",1,"2016"
"258619","S101820589",7,"2017"
"255369","S45294340",4,"2016"
"263164","G2759528",11,"2017"
"272936","S61926994",11,"2017"
"256020","S261636866",12,"2017"
"255369","S45293971",4,"2016"
"261224","S102262810",12,"2017"
"257319","S127322525",1,"2016"
"265784","S102742791",5,"2016"
"271626","S39551840",9,"2017"
"257969","S44890331",11,"2017"
"259918","S45294720",4,"2016"
"263813","S66028037",11,"2017"
"261222","S104497041",2,"2016"
"254081","S44890212",10,"2017"
"263813","G2759522",11,"2017"
"256020","S45296513",4,"2016"
"265784","S102742205",5,"2016"
"261877","S102773230",3,"2016"
"263164","G2757678",11,"2017"
"267725","S36899551",5,"2016"
"256025","S39223898",9,"2017"
"265132","G3603385",11,"2018"
"262514","S102328487",11,"2018"
"263815","S102328819",11,"2018"
"257320","G3643915",12,"2018"
"261222","S50386504",10,"2018"
"256021","G3679797",12,"2018"
"256021","G3596333",11,"2018"
"265132","G3643917",12,"2018"
"265132","S47224051",7,"2018"
"272936","G3616252",11,"2018"
"257320","G3616242",11,"2018"
"265783","G3668503",12,"2018"
"265134","S137814500",12,"2018"
"261222","G3600664",11,"2018"
"265132","S55043017",12,"2018"
"265784","G3616249",11,"2018"
"265132","S50609308",12,"2018"
"265132","G3643918",12,"2018"
"260572","S43968642",3,"2017"
"256020","S215876786",11,"2018"
"265783","G3665047",12,"2018"
"265783","G3616243",11,"2018"
"256021","G3683736",12,"2018"
"265783","G3616248",11,"2018"
"265783","S51166743",12,"2018"
"256020","S230382726",12,"2018"
"256021","G3683735",12,"2018"
"260572","S44115530",3,"2017"
"261222","G3616241",11,"2018"
"259919","S55042435",12,"2018"
"263830","S51728513",12,"2018"
"260573","S47224194",6,"2018"
"261223","S50436372",12,"2018"
"257320","S51514904",12,"2018"
"259912","S101770367",10,"2018"
"265784","S51319343",12,"2018"
"256676","G3643916",12,"2018"
"265783","G3665046",12,"2018"
"265784","S47162900",7,"2018"
"261223","S50887893",12,"2018"
"262522","S51615363",12,"2018"
"261222","G3616239",11,"2018"
"265132","S50386849",11,"2018"
"261872","S44889873",4,"2017"
"256676","S47223027",6,"2018"
"261872","S41983489",1,"2017"
"257320","S50312527",9,"2018"
"261877","S47223469",6,"2018"
"261223","S50958170",12,"2018"
"265784","S47457165",7,"2018"
"261872","S47824127",8,"2018"
"260573","G3614248",11,"2018"
"257320","S215874400",11,"2018"
"266437","S102440235",5,"2017"
"253430","G3616245",11,"2018"
"261872","S42696171",2,"2017"
"261222","S49987089",11,"2018"
"265132","S47223910",7,"2018"
"259918","S51167593",12,"2018"
"261872","S46824384",6,"2018"
"256021","S55042046",12,"2018"
"265132","S50609172",12,"2018"
"259921","S82077692",11,"2018"
"257970","S102198057",1,"2017"
"260573","S49982611",11,"2018"
"261220","S47461356",7,"2018"
"263813","S47223362",6,"2018"
"265784","S51755332",12,"2018"
"265132","S50333861",9,"2018"
"265784","S48544375",9,"2018"
"265134","S45094947",4,"2017"
"260569","S42744239",2,"2017"
"256670","S51043316",12,"2018"
"256021","S51318108",12,"2018"
"256670","S101825116",3,"2017"
"256670","S48809796",3,"2017"
"263814","S101773984",4,"2017"
"259912","S101770680",10,"2018"
"259918","S51318883",12,"2018"
"272937","S46866571",6,"2018"
"260574","S50961279",12,"2018"
"265784","S51318412",12,"2018"
"261872","S48588653",9,"2018"
"261873","S46832880",6,"2018"
"265132","S50312555",9,"2018"
"262519","S44621384",4,"2017"
"261872","S41859440",1,"2017"
"260573","S49531623",10,"2018"
"256021","S51070938",12,"2018"
"260573","S44483270",4,"2017"
"265784","S51318982",1,"2017"
"256670","S50639522",12,"2018"
"256670","S51070750",12,"2018"
"265134","S101078545",11,"2018"
"261223","S50464179",12,"2018"
"255371","S43228856",2,"2017"
"262522","S51615489",12,"2018"
"256021","S50386761",11,"2018"
"256025","S47288451",7,"2018"
"260572","S45125059",3,"2017"
"256021","S51318248",12,"2018"
"261223","S50958390",12,"2018"
"265784","S102070463",3,"2018"
"270321","S102388535",3,"2018"
"265784","G4805973",12,"2019"
"265783","S62390507",3,"2018"
"267071","S54611956",4,"2018"
"254067","S63346218",12,"2019"
"265784","G4801958",12,"2019"
"265783","G3911860",3,"2018"
"270321","S102419487",3,"2018"
"265784","G4805802",12,"2019"
"266428","S63305491",12,"2019"
"256021","G3918171",3,"2018"
"265783","S62387854",3,"2018"
"265784","G4796830",12,"2019"
"265784","G4796828",12,"2019"
"265784","G4805127",12,"2019"
"265134","G3911859",3,"2018"
"269680","S60501485",10,"2019"
"265784","G4800814",12,"2019"
"265774","S71797212",12,"2019"
"265784","G4805936",12,"2019"
"265784","G4797497",12,"2019"
"258623","S102069343",3,"2018"
"265134","G4796822",12,"2019"
"265134","G4796824",12,"2019"
"265784","G4800645",12,"2019"
"261222","G3912314",3,"2018"
"260571","S60444013",10,"2019"
"258619","S63347150",12,"2019"
"265784","G4801646",12,"2019"
"260571","S60539002",10,"2019"
"265773","S63346407",12,"2019"
"260573","S51614760",1,"2018"
"269680","S60710029",10,"2019"
"265784","G4805286",12,"2019"
"265784","G4796826",12,"2019"
"256021","S60472091",10,"2019"
"263830","G3900959",2,"2018"
"258619","S63346459",12,"2019"
"265134","G4796821",12,"2019"
"265784","G4801023",12,"2019"
"265784","G4801908",12,"2019"
"265134","G4801762",12,"2019"
"262528","G3900860",2,"2018"
"265784","G4801267",12,"2019"
"258619","S102068332",3,"2018"
"265784","G4796825",12,"2019"
"269680","S60687999",10,"2019"
"261222","G3900694",2,"2018"
"269680","S60687487",10,"2019"
"269680","S60444855",10,"2019"
"259921","S62944417",11,"2019"
"265784","G4805468",12,"2019"
"258619","S63347682",12,"2019"
"257320","S60474102",10,"2019"
"265784","S101996444",8,"2019"
"269680","S58904574",8,"2019"
"257320","S60491203",10,"2019"
"269680","S60501702",10,"2019"
"265784","G4806127",12,"2019"
"265784","S62388967",3,"2018"
"257323","S101826307",3,"2018"
"254732","S100779505",4,"2018"
"269680","S60520864",10,"2019"
"265784","G4797503",12,"2019"
"265784","G4796829",12,"2019"
"261222","S104530119",11,"2019"
"267725","S58727078",7,"2019"
"256021","S60493109",10,"2019"
"265783","G3905070",3,"2018"
"269680","S60733130",10,"2019"
"261223","S60448324",10,"2019"
"269680","S59967741",9,"2019"
"265134","S62765649",12,"2019"
"261224","S102632024",1,"2018"
"265784","S101996976",8,"2019"
"270329","S60857385",10,"2019"
"261223","S60661896",9,"2019"
"269680","S59604028",8,"2019"
"269680","S59967836",9,"2019"
"269680","S58899774",8,"2019"
"265784","G4801895",12,"2019"
"270329","S60733218",10,"2019"
"263163","S71823210",12,"2019"
"258619","S63346187",12,"2019"
"265784","G4801692",12,"2019"
"259921","S63346282",12,"2019"
"263172","S54897359",4,"2018"
"267726","S63315528",12,"2019"
"262527","S62690188",12,"2019"
"269680","S60554131",10,"2019"
"259919","S101077570",12,"2019"
"269680","S58935948",6,"2019"
"260572","S72364830",12,"2019"
"259919","S60519090",10,"2019"
"258619","S102267783",6,"2019"
"265784","G4806004",12,"2019"
"257320","S54370672",3,"2018"
"258623","S101830756",1,"2018"
"269680","S60445171",10,"2019"
"258619","S102268139",7,"2019"
"259274","S102571653",12,"2019"
"269680","S60732838",10,"2019"
"267725","S60569280",10,"2019"
"269680","S60552426",10,"2019"
"265784","S62729005",12,"2019"
"265784","S62760655",12,"2019"
"270977","S59242094",8,"2019"
"259271","S101078075",12,"2019"
"263830","S62690628",12,"2019"
"257320","S60472587",10,"2019"
"259921","G4816905",1,"2019"
"256020","G4817764",1,"2019"
"255369","G4823029",1,"2019"
"257970","G4828928",1,"2019"
"257970","G4828971",1,"2019"
"259919","S97769364",2,"2019"
"257970","G4926536",1,"2019"
"255369","G4930673",2,"2019"
