"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1995,"Long-tailed Broadbill","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Long-tailed Broadbill","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Long-tailed Broadbill","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Long-tailed Broadbill","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Long-tailed Broadbill","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Long-tailed Broadbill","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Long-tailed Broadbill","2015",-3.27565580474238,0.530675889659684,0.0132673231104469,0.0370868680166039,0.10141621351203,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Long-tailed Broadbill","2016",-3.32383204023908,0.550875692106452,0.0121593228975678,0.0353737494097707,0.100594469219984,NA,NA,NA,22.9588105200168,95.380794608846,405.777027285083,NA,NA,NA,22.9588105200168,95.380794608846,405.777027285083
2017,"Long-tailed Broadbill","2017",-2.69198087252543,0.387394007755512,0.0312079045053473,0.0655027632068741,0.134768756859006,NA,NA,NA,46.720262781313,176.619829901916,657.854240964451,NA,NA,NA,46.720262781313,176.619829901916,657.854240964451
2018,"Long-tailed Broadbill","2018",-3.57379149907448,0.527760480775374,0.00992019437522983,0.0276595735914718,0.07588174748548,NA,NA,NA,17.3104154005385,74.5805053667204,285.121561745853,NA,NA,NA,17.3104154005385,74.5805053667204,285.121561745853
2019,"Long-tailed Broadbill","2019",-3.45560067373407,0.434247603263534,0.0133871871903147,0.0310752586270947,0.0712743664801136,NA,NA,NA,23.0208159601216,83.7904635494757,315.249603306893,NA,NA,NA,23.0208159601216,83.7904635494757,315.249603306893
2020,"Long-tailed Broadbill","2020",-3.28098120187083,0.301303236074412,0.02061099403003,0.0368935699217032,0.0656012175652572,NA,NA,NA,33.0158918734984,99.4787963901019,325.913636345789,NA,NA,NA,33.0158918734984,99.4787963901019,325.913636345789
2021,"Long-tailed Broadbill","2021",-3.2240721882692,0.270671414693057,0.0231381994499026,0.0390113537267817,0.065403102992728,NA,NA,NA,34.6271474078963,105.189129773148,311.368844369234,NA,NA,NA,34.6271474078963,105.189129773148,311.368844369234
2022,"Long-tailed Broadbill","2022",-2.97202440684338,0.253996393242843,0.0306421821714905,0.0499109449419427,0.0807811682637361,NA,NA,NA,44.395554849163,134.578484544981,417.682710782511,NA,NA,NA,44.395554849163,134.578484544981,417.682710782511
2023,"Long-tailed Broadbill","2023",-2.95902317327861,0.246438533380657,0.0314926951124386,0.0505472946291307,0.0806409740030765,NA,NA,NA,46.374160055702,136.294320152622,390.981082104948,NA,NA,NA,46.374160055702,136.294320152622,390.981082104948
2024,"Long-tailed Broadbill","2024",-3.18537532670632,0.243479402353943,0.0253392571334825,0.0405189545625607,0.0644864357475358,NA,NA,NA,31.5341656354266,109.2541827593,355.91143265098,NA,NA,NA,31.5341656354266,109.2541827593,355.91143265098
2025,"Long-tailed Broadbill","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6785203121509,143.793699706965,270.24557769031,78.6785203121509,143.793699706965,270.24557769031
2026,"Long-tailed Broadbill","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4953548876341,148.354067923101,306.459838214112,74.4953548876341,148.354067923101,306.459838214112
2027,"Long-tailed Broadbill","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5421164184501,153.346293649176,349.297230838173,70.5421164184501,153.346293649176,349.297230838173
2028,"Long-tailed Broadbill","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8521327049397,158.802517011411,399.865414184306,66.8521327049397,158.802517011411,399.865414184306
2029,"Long-tailed Broadbill","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4332917526967,164.758520624126,459.551488489449,63.4332917526967,164.758520624126,459.551488489449
2030,"Long-tailed Broadbill","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.2802134569683,171.254115797772,530.064283572531,60.2802134569683,171.254115797772,530.064283572531
