"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1995,"Rufous Woodpecker","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Rufous Woodpecker","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Rufous Woodpecker","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Rufous Woodpecker","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Rufous Woodpecker","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Rufous Woodpecker","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Rufous Woodpecker","2015",-2.04296850420631,0.297724476118557,0.0697766549268672,0.121591289933485,0.207346442415547,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Rufous Woodpecker","2016",-4.00618054959419,0.423000098752584,0.00791314149204602,0.0180381172088279,0.0408486670769105,NA,NA,NA,5.72659112650475,14.8350405844821,38.8484114596604,NA,NA,NA,5.72659112650475,14.8350405844821,38.8484114596604
2017,"Rufous Woodpecker","2017",-3.85989016216362,0.465969738590941,0.00841773445391842,0.0208498855318013,0.0511632483324407,NA,NA,NA,6.24847800738686,17.1475157005135,51.0613245837693,NA,NA,NA,6.24847800738686,17.1475157005135,51.0613245837693
2018,"Rufous Woodpecker","2018",-2.94845524653392,0.375816452070379,0.0247835006853884,0.0510703562506541,0.103715453661876,NA,NA,NA,17.9581495065872,42.0016567622495,103.595044779515,NA,NA,NA,17.9581495065872,42.0016567622495,103.595044779515
