"LOCALITY.ID","group.id","month","timegroups"
"L23653000","G10017342",4,"2022"
"L3089372","G1003198",1,"2000-2006"
"L23896354","G10127196",4,"2022"
"L22134846","G10130937",1,"2022"
"L22134846","G10130938",1,"2022"
"L3127717","G1024904",10,"2014"
"L3127747","G1024906",10,"2014"
"L3127646","G1024912",10,"2014"
"L3127664","G1024913",10,"2014"
"L3128562","G1025460",10,"2014"
"L24525737","G10281907",5,"2022"
"L9154540","G10291605",5,"2022"
"L3127646","G1030024",10,"2014"
"L24825513","G10345135",5,"2022"
"L10098306","G10345135",5,"2022"
"L24732107","G10381686",5,"2022"
"L9174346","G10381691",5,"2022"
"L10098306","G10381693",5,"2022"
"L10098306","G10381698",5,"2022"
"L3270087","G1098418",12,"2014"
"L3270280","G1098538",12,"2014"
"L3270039","G1098540",12,"2014"
"L3270286","G1098541",12,"2014"
"L3270286","G1098542",12,"2014"
"L3468651","G1171802",4,"2000-2006"
"L3468593","G1171802",4,"2000-2006"
"L3823562","G1372529",8,"2015"
"L3823562","G1372530",8,"2015"
"L3823562","G1373485",8,"2015"
"L3934934","G1422564",9,"2015"
"L10098288","G1437196",10,"2015"
"L3934934","G1437197",10,"2015"
"L3934934","G1437198",9,"2015"
"L3934934","G1437199",9,"2015"
"L3934934","G1451002",10,"2015"
"L3934934","G1451003",10,"2015"
"L3934934","G1451004",10,"2015"
"L4043307","G1485091",11,"2015"
"L3823562","G1567443",1,"2015"
"L3823562","G1567444",1,"2015"
"L3823562","G1567446",12,"2015"
"L4266478","G1645905",2,"2015"
"L4679966","G1805520",12,"2011-2012"
"L4679924","G1805527",12,"2011-2012"
"L4679669","G1805528",12,"2011-2012"
"L4679656","G1805530",12,"2011-2012"
"L4679924","G1805649",1,"2011-2012"
"L3849570","G1812218",12,"2013"
"L3849570","G1822579",7,"2015"
"L4679669","G1824252",11,"2015"
"L4764672","G1840907",7,"2016"
"L4764672","G1840908",7,"2016"
"L4762007","G1840909",7,"2016"
"L4762007","G1840910",7,"2016"
"L5036956","G1981228",10,"2016"
"L8970364","G1987403",10,"2016"
"L3152956","G1987410",10,"2016"
"L5040720","G1987415",10,"2016"
"L8970364","G1989980",11,"2016"
"L5055489","G1991102",10,"2016"
"L5055490","G1991103",11,"2016"
"L5055491","G1991104",11,"2016"
"L5040720","G1997165",11,"2016"
"L5055490","G2000356",11,"2016"
"L5055491","G2001728",11,"2016"
"L5081259","G2023009",11,"2016"
"L5081259","G2023016",11,"2016"
"L5081446","G2025431",11,"2016"
"L5081239","G2025508",11,"2016"
"L5081288","G2025511",11,"2016"
"L5083209","G2037547",11,"2016"
"L5083219","G2037548",11,"2016"
"L5083273","G2038922",11,"2016"
"L5083331","G2038927",11,"2016"
"L5055490","G2039174",11,"2016"
"L5083242","G2039204",11,"2016"
"L3127696","G2102449",10,"2014"
"L4814184","G2181827",1,"2016"
"L5215086","G2181828",1,"2016"
"L5055490","G2181829",1,"2016"
"L4679656","G2587437",7,"2017"
"L6502539","G2753620",11,"2017"
"L6516268","G2757840",11,"2017"
"L6516255","G2757842",11,"2017"
"L6516251","G2757843",11,"2017"
"L6516246","G2757844",11,"2017"
"L6516243","G2757845",11,"2017"
"L4976739","G2757846",11,"2017"
"L5081259","G2877753",12,"2017"
"L4755602","G2917187",6,"2016"
"L4755602","G2917188",6,"2016"
"L5055491","G3002617",7,"2017"
"L5394525","G3002618",1,"2016"
"L5405506","G3002619",2,"2016"
"L5405489","G3002620",1,"2016"
"L5405460","G3002622",1,"2016"
"L5081259","G3002624",1,"2016"
"L5055490","G3009800",12,"2016"
"L7055367","G3009812",1,"2016"
"L7071048","G3017738",3,"2017"
"L7135851","G3047909",3,"2017"
"L5040720","G3047909",3,"2017"
"L7200382","G3103871",3,"2017"
"L7200402","G3103876",3,"2017"
"L7200504","G3103877",3,"2017"
"L7200402","G3103878",3,"2017"
"L7200402","G3103880",3,"2017"
"L7200402","G3103891",3,"2017"
"L7200480","G3103892",3,"2017"
"L7241936","G3149475",4,"2017"
"L7241890","G3149476",4,"2017"
"L7241858","G3149477",4,"2017"
"L8029520","G3517766",10,"2018"
"L7618472","G3531007",10,"2018"
"L3152956","G3531008",10,"2018"
"L5055490","G3539606",10,"2018"
"L5055490","G3540200",10,"2018"
"L4052987","G3640185",11,"2018"
"L9513741","G4009567",4,"2018"
"L8970364","G4009567",4,"2018"
"L9362858","G4232172",5,"2018"
"L7989257","G4291475",10,"2018"
"L9513741","G4302818",6,"2019"
"L9513741","G4302823",6,"2019"
"L10134713","G4655482",11,"2019"
"L3878181","G4704919",11,"2019"
"L10226231","G4715239",11,"2019"
"L10226242","G4715248",11,"2019"
"L10226242","G4715842",11,"2019"
"L10227316","G4715882",11,"2019"
"L3878177","G4715885",11,"2019"
"L10227374","G4715886",11,"2019"
"L10227395","G4715915",11,"2019"
"L10227427","G4715932",11,"2019"
"L10227436","G4715939",11,"2019"
"L10258358","G4715951",11,"2019"
"L10227470","G4716015",11,"2019"
"L10258358","G4716021",11,"2019"
"L10258358","G4716025",11,"2019"
"L10258358","G4716028",11,"2019"
"L10258358","G4716029",11,"2019"
"L10227500","G4716031",11,"2019"
"L3878181","G4720511",11,"2019"
"L3878181","G4720512",11,"2019"
"L3878181","G4720513",11,"2019"
"L10233084","G4720514",11,"2019"
"L10233087","G4720515",11,"2019"
"L10258358","G4726993",11,"2019"
"L10258358","G4726995",11,"2019"
"L10258358","G4734390",11,"2019"
"L10258358","G4734392",11,"2019"
"L10258358","G4734394",11,"2019"
"L10227512","G4754876",11,"2019"
"L7482453","G4774549",5,"2017"
"L10501476","G4886332",12,"2019"
"L3934934","G4926518",1,"2019"
"L10643210","G4926519",1,"2019"
"L10638117","G4926520",1,"2019"
"L10637731","G4926521",1,"2019"
"L10637626","G4926522",1,"2019"
"L10637979","G4926523",1,"2019"
"L10582590","G4926524",1,"2019"
"L10582590","G4926525",1,"2019"
"L10582313","G4926526",1,"2019"
"L10582419","G4926527",1,"2019"
"L3152956","G4954307",2,"2019"
"L3152956","G4966573",2,"2019"
"L10744702","G4973763",2,"2019"
"L10744930","G4973908",2,"2019"
"L5040720","G4976781",2,"2019"
"L3934934","G4977150",2,"2019"
"L3152956","G4977520",2,"2019"
"L4755602","G4977609",2,"2019"
"L4755602","G4977610",2,"2019"
"L10658422","G4977751",2,"2019"
"L10771045","G4982472",2,"2019"
"L9513741","G4982614",2,"2019"
"L9513741","G4982628",2,"2019"
"L9513741","G4982708",2,"2019"
"L9513741","G4982726",2,"2019"
"L10776625","G4987344",2,"2019"
"L10776625","G4987614",2,"2019"
"L4814184","G4988070",2,"2019"
"L10786900","G4988131",2,"2019"
"L10786568","G4988163",2,"2019"
"L4814184","G4988268",2,"2019"
"L4814184","G4988726",2,"2019"
"L10787374","G4988729",2,"2019"
"L10832885","G5029888",2,"2019"
"L10806818","G5043874",2,"2019"
"L10229986","G5043875",2,"2019"
"L4052987","G5099184",3,"2019"
"L10940457","G5099185",3,"2019"
"L10970496","G5099186",3,"2019"
"L4322272","G5099187",3,"2019"
"L10940457","G5099188",3,"2019"
"L10970478","G5099190",3,"2019"
"L6516270","G5254619",11,"2017"
"L3934934","G5260018",2,"2019"
"L10756461","G5260028",2,"2019"
"L10179276","G5288968",5,"2019"
"L10179276","G5288969",4,"2019"
"L10179276","G5288970",4,"2019"
"L11033212","G5288972",3,"2019"
"L9513741","G5548002",7,"2020"
"L3934934","G5616810",8,"2020"
"L12152138","G5650372",8,"2020"
"L12158910","G5653330",8,"2020"
"L9513741","G5780066",10,"2020"
"L12158910","G5791416",10,"2020"
"L12158910","G5801294",10,"2020"
"L12158910","G5801296",10,"2020"
"L5036956","G5801413",9,"2020"
"L3934934","G5829072",10,"2020"
"L3934934","G5853207",10,"2020"
"L12656140","G5874625",11,"2020"
"L12158910","G5878211",11,"2020"
"L12158910","G5878213",11,"2020"
"L12693522","G5890260",11,"2020"
"L8029520","G5901634",11,"2020"
"L8029520","G5901635",11,"2020"
"L12099714","G5986578",11,"2019"
"L4052987","G6039212",12,"2020"
"L4052987","G6045944",12,"2020"
"L4052987","G6048160",12,"2020"
"L4322272","G6065342",12,"2020"
"L4052987","G6128745",1,"2020"
"L4052987","G6128746",1,"2020"
"L13238475","G6142274",1,"2020"
"L13065758","G6160229",1,"2020"
"L13238475","G6160229",1,"2020"
"L13238475","G6178352",1,"2020"
"L13334258","G6186789",1,"2020"
"L13334258","G6186802",1,"2020"
"L13334258","G6186803",1,"2020"
"L13363108","G6198953",1,"2020"
"L13395954","G6210278",1,"2020"
"L13410803","G6216746",1,"2020"
"L13410847","G6216747",1,"2020"
"L13411220","G6216752",1,"2020"
"L13527272","G6265312",2,"2020"
"L13527272","G6265493",2,"2020"
"L13334258","G6274467",2,"2020"
"L13334258","G6274468",2,"2020"
"L13334258","G6274469",2,"2020"
"L13334258","G6274470",2,"2020"
"L13527272","G6274641",2,"2020"
"L13358889","G6278610",2,"2020"
"L13759937","G6324386",2,"2020"
"L13802404","G6324609",2,"2020"
"L13802404","G6324610",2,"2020"
"L13802392","G6324611",2,"2020"
"L13802388","G6324612",2,"2020"
"L13802385","G6324613",2,"2020"
"L13761801","G6324614",2,"2020"
"L5576193","G6324615",2,"2020"
"L13850860","G6340453",2,"2020"
"L13850842","G6340457",2,"2020"
"L13850842","G6340458",2,"2020"
"L10226242","G6340459",2,"2020"
"L10226242","G6340460",2,"2020"
"L13850831","G6340461",2,"2020"
"L13821874","G6340462",2,"2020"
"L13821874","G6340463",2,"2020"
"L13821874","G6340464",2,"2020"
"L13821238","G6340465",2,"2020"
"L13812940","G6340466",2,"2020"
"L13812935","G6340467",2,"2020"
