"gridg0","group.id","month","timegroups"
"244939","S20960221",11,"before 2000"
"244940","S20959697",11,"before 2000"
"244940","S20958660",11,"before 2000"
"244940","S20959685",11,"before 2000"
"244940","S20959663",11,"before 2000"
"244939","S20958509",11,"before 2000"
"244940","S20959821",11,"before 2000"
"244939","S22140131",12,"before 2000"
"244939","S22140118",12,"before 2000"
"244940","S22140123",12,"before 2000"
"244940","S22140108",12,"before 2000"
"244939","S22140132",12,"before 2000"
"244940","S22140109",12,"before 2000"
"244940","S22140163",12,"before 2000"
"244940","S22140164",12,"before 2000"
"244940","S22140073",12,"before 2000"
"244939","S22140117",12,"before 2000"
"244940","S20963171",12,"before 2000"
"244940","S22140122",12,"before 2000"
"244940","S22140081",12,"before 2000"
"244289","S20969499",12,"before 2000"
"244940","S22140074",12,"before 2000"
"244940","S22140172",12,"before 2000"
"244940","S22140159",12,"before 2000"
"244940","S22140158",12,"before 2000"
"244940","S22140066",1,"before 2000"
"244289","S22140045",1,"before 2000"
"244940","S22140165",1,"before 2000"
"244940","S22140041",1,"before 2000"
"244939","S20970863",1,"before 2000"
"244940","S22140173",1,"before 2000"
"244289","S22140145",1,"before 2000"
"244289","S22140048",1,"before 2000"
"244289","S20972093",1,"before 2000"
"244289","S22140153",1,"before 2000"
"244940","S22140174",1,"before 2000"
"244289","S22140139",1,"before 2000"
"244289","S22140064",1,"before 2000"
"244289","S20971183",1,"before 2000"
"244289","S22140050",1,"before 2000"
"244940","S22140166",1,"before 2000"
"244289","S22140061",1,"before 2000"
"244289","S22140051",1,"before 2000"
"244289","S22140152",1,"before 2000"
"244289","S22140052",1,"before 2000"
"244289","S22140151",1,"before 2000"
"244289","S22140146",1,"before 2000"
"244940","S22140075",1,"before 2000"
"244940","S22140110",1,"before 2000"
"244289","S22140138",1,"before 2000"
"244940","S22140076",1,"before 2000"
"244939","S20973312",1,"before 2000"
"244940","S22140065",1,"before 2000"
"244940","S20972699",1,"before 2000"
"244940","S20984662",2,"before 2000"
"244939","S22140135",2,"before 2000"
"244289","S22140140",2,"before 2000"
"244289","S22140148",2,"before 2000"
"244940","S22140126",2,"before 2000"
"244289","S22140150",2,"before 2000"
"244939","S22140134",2,"before 2000"
"244940","S22140113",2,"before 2000"
"244939","S22140133",2,"before 2000"
"244289","S22140147",2,"before 2000"
"244940","S22140068",2,"before 2000"
"244289","S22140141",2,"before 2000"
"244939","S22140136",2,"before 2000"
"244289","S22140154",2,"before 2000"
"244940","S22140124",2,"before 2000"
"244940","S22140125",2,"before 2000"
"244940","S20983495",2,"before 2000"
"244939","S22140121",2,"before 2000"
"244939","S22140036",2,"before 2000"
"244939","S22140119",2,"before 2000"
"244940","S22140112",2,"before 2000"
"244939","S22140120",2,"before 2000"
"244940","S22140175",2,"before 2000"
"244940","S22140167",2,"before 2000"
"244940","S22140111",2,"before 2000"
"244940","S22140176",2,"before 2000"
"244940","S22140161",2,"before 2000"
"244940","S21273984",2,"before 2000"
"244940","S22140160",2,"before 2000"
"244940","S22140067",2,"before 2000"
"244289","S21274043",3,"before 2000"
"244940","S22140162",3,"before 2000"
"244289","S22140046",3,"before 2000"
"244289","S22140149",3,"before 2000"
"244940","S21291825",3,"before 2000"
"244289","S22140049",3,"before 2000"
"244289","S21274019",3,"before 2000"
"244289","S22140054",3,"before 2000"
"244940","S21291592",3,"before 2000"
"244289","S22140142",3,"before 2000"
"244289","S22140155",3,"before 2000"
"244289","S22140055",3,"before 2000"
"244289","S21308481",3,"before 2000"
"244289","S22140062",3,"before 2000"
"244289","S22140143",3,"before 2000"
"244289","S22140156",3,"before 2000"
"244289","S22140053",3,"before 2000"
"244939","S21310016",3,"before 2000"
"244940","S22140128",3,"before 2000"
"244289","S21307751",3,"before 2000"
"244940","S21292181",3,"before 2000"
"244940","S22140168",3,"before 2000"
"244940","S22140169",3,"before 2000"
"244289","S21694988",3,"before 2000"
"244940","S22140115",3,"before 2000"
"244940","S22140106",3,"before 2000"
"244289","S21274072",3,"before 2000"
"244940","S22140082",3,"before 2000"
"244940","S22140080",3,"before 2000"
"244940","S22140114",3,"before 2000"
"244940","S22140069",3,"before 2000"
"244940","S22140077",3,"before 2000"
"244940","S21292519",3,"before 2000"
"244940","S22140127",3,"before 2000"
"244289","S21695091",3,"before 2000"
"244940","S22140070",3,"before 2000"
"244939","S21292564",3,"before 2000"
"244940","S21307489",3,"before 2000"
"244289","S21274076",3,"before 2000"
"244289","S22140144",4,"before 2000"
"244289","S22140157",4,"before 2000"
"244289","S22140047",4,"before 2000"
"244289","S22140063",4,"before 2000"
"244289","S22140056",4,"before 2000"
"244289","S22140057",4,"before 2000"
"244939","S22140038",4,"before 2000"
"244939","S22140137",4,"before 2000"
"244940","S22140130",4,"before 2000"
"244940","S22140170",4,"before 2000"
"244940","S22140129",4,"before 2000"
"244939","S22140042",4,"before 2000"
"244939","S22140043",4,"before 2000"
"244940","S22140107",4,"before 2000"
"244939","S22140044",4,"before 2000"
"244940","S22140034",4,"before 2000"
"244289","S22140058",4,"before 2000"
"244289","S22140060",4,"before 2000"
"244939","S22140037",4,"before 2000"
"244289","S22140059",4,"before 2000"
"244940","S22140171",4,"before 2000"
"244939","S22140039",4,"before 2000"
"244940","S22140116",4,"before 2000"
"244940","S22140035",4,"before 2000"
"244939","S22140040",4,"before 2000"
"244940","S21679472",4,"before 2000"
"244940","S22140079",4,"before 2000"
"244940","S22140078",4,"before 2000"
"244940","S22140072",4,"before 2000"
"244940","S22140071",4,"before 2000"
"243640","S21680410",5,"before 2000"
"230003","S239875028",2,"before 2000"
"248859","S225222964",12,"2000-2006"
"247557","S225228996",2,"2000-2006"
"239099","S203012110",3,"2000-2006"
"241709","S203012474",4,"2000-2006"
"241709","S209022357",5,"2000-2006"
"239099","S209022789",8,"2000-2006"
"244945","S295325788",3,"2011-2012"
"245597","S297148045",3,"2011-2012"
"237159","S294914254",9,"2013"
"244940","S20328648",12,"2013"
"244940","S20329942",12,"2013"
"244289","S20329006",12,"2013"
"244289","S16898150",12,"2013"
"244289","S20328870",12,"2013"
"244940","S20329475",12,"2013"
"244939","S20329086",12,"2013"
"244288","S20329046",12,"2013"
"244940","S20329730",12,"2013"
"244289","S20329012",12,"2013"
"247558","S156341102",1,"2013"
"246245","S17026109",2,"2013"
"244945","S17026662",2,"2013"
"246893","G1032421",2,"2013"
"246907","S156148662",2,"2013"
"230003","S156181684",2,"2013"
"244940","G1025936",2,"2013"
"244289","G1025919",2,"2013"
"244289","G1025914",2,"2013"
"244289","G1025909",2,"2013"
"244289","G1025925",2,"2013"
"244289","G1025924",2,"2013"
"244289","G1025918",2,"2013"
"244289","G1025926",2,"2013"
"244940","G1025931",2,"2013"
"244940","G1028419",2,"2013"
"244289","G1025916",2,"2013"
"244289","G1028423",2,"2013"
"244289","G1025907",2,"2013"
"244289","G1025908",2,"2013"
"244289","G1025920",2,"2013"
"244940","G1025935",2,"2013"
"244940","G1028413",2,"2013"
"244940","G1028416",2,"2013"
"243639","G1032403",2,"2013"
"244289","G1028426",2,"2013"
"244940","G1025932",2,"2013"
"244940","G1028415",2,"2013"
"244289","G1025915",2,"2013"
"244940","G1028421",2,"2013"
"244940","G1028418",2,"2013"
"244289","G1028425",2,"2013"
"244940","G1028414",2,"2013"
"244939","G1017849",3,"2013"
"244939","G1025941",3,"2013"
"244289","G1025923",3,"2013"
"244939","G1025929",3,"2013"
"244289","G1025928",3,"2013"
"244940","S20293764",3,"2013"
"244289","G1025904",3,"2013"
"244289","G1025911",3,"2013"
"244289","G1025912",3,"2013"
"244289","G1025927",3,"2013"
"244289","G1025921",3,"2013"
"244940","G1025938",3,"2013"
"244939","G1025945",3,"2013"
"244939","G1025943",3,"2013"
