"LOCALITY.ID","group.id","month","timegroups"
"L29349967","S162051310",2,"2007-2010"
"L29349967","S162059831",2,"2007-2010"
"L29352257","S162060953",2,"2007-2010"
"L19607011","G9600832",4,"2007-2010"
"L14937539","G9600831",4,"2007-2010"
"L9448871","S57280573",2,"2011-2012"
"L5082988","S36327318",6,"2011-2012"
"L5082988","G5021433",12,"2011-2012"
"L9448871","S57280575",1,"2011-2012"
"L1968421","S13043268",2,"2011-2012"
"L4926843","S31601770",3,"2011-2012"
"L9448815","S57280846",3,"2011-2012"
"L3194748","G1063798",5,"2011-2012"
"L3194748","G1063799",5,"2011-2012"
"L6803823","S42393662",5,"2011-2012"
"L3194747","G1063797",5,"2011-2012"
"L5641090","S35616726",11,"2013"
"L5640180","S35609972",11,"2013"
"L4926843","S35750289",12,"2013"
"L5661220","S35742665",12,"2013"
"L4926843","S35732242",12,"2013"
"L4926843","S35743067",12,"2013"
"L5645163","S35685404",12,"2013"
"L5641090","S35629876",12,"2013"
"L5652871","S35686906",12,"2013"
"L5641090","S35629993",12,"2013"
"L4460133","S28771175",1,"2013"
"L4460133","S28771119",1,"2013"
"L2663112","S17084419",2,"2013"
"L2648615","S17018496",2,"2013"
"L2666016","S17110264",2,"2013"
"L2666016","S17110771",2,"2013"
"L2666199","S17110815",2,"2013"
"L2833707","G979857",4,"2013"
"L14877147","G979855",4,"2013"
"L5082988","S68812013",4,"2013"
"L2833730","G1742926",4,"2013"
"L2833735","G1742924",4,"2013"
"L2833730","G979852",4,"2013"
"L5082988","S68614691",4,"2013"
"L2833748","G979851",4,"2013"
"L2833758","G979881",5,"2013"
"L2833707","G1742917",5,"2013"
"L14877147","G979859",5,"2013"
"L2833720","G979860",5,"2013"
"L14877147","S138937975",5,"2013"
"L2833730","G969453",5,"2013"
"L4654670","G2199533",5,"2013"
"L4654670","G2199535",5,"2013"
"L4669500","G2199541",5,"2013"
"L4669518","G2199540",5,"2013"
"L4654670","G2199538",5,"2013"
"L4654670","G2199536",5,"2013"
"L4654670","S30038050",5,"2013"
"L4654670","G2199537",5,"2013"
"L4654670","G2199534",5,"2013"
"L3124945","G1029954",10,"2014"
"L3136055","G2102418",10,"2014"
"L3124951","G1024321",10,"2014"
"L3136169","S20350220",10,"2014"
"L3136071","G1029162",10,"2014"
"L3136131","G1029180",10,"2014"
"L3124945","G1029166",10,"2014"
"L3124947","S20254383",10,"2014"
"L3136153","S20340617",10,"2014"
"L3124945","G1022711",10,"2014"
"L3146462","S20754142",10,"2014"
"L3146462","S20423951",10,"2014"
"L3124947","G1029163",10,"2014"
"L3382716","S21887858",2,"2014"
"L3382446","S21886690",2,"2014"
"L3471485","S22266874",3,"2014"
"L3492040","S22376303",3,"2014"
"L3460271","S22203116",3,"2014"
"L3603825","S23156066",4,"2014"
"L3606801","S23178673",4,"2014"
"L3606801","S23178466",4,"2014"
"L3606801","S24252907",4,"2014"
"L3656638","G2152050",5,"2014"
"L3656638","G2152051",5,"2014"
"L3656638","G2152048",5,"2014"
"L3676660","S23660246",5,"2014"
"L3953322","G1939949",5,"2014"
"L3953320","G1939951",5,"2014"
"L3649787","G2152061",5,"2014"
"L3656614","G2152052",5,"2014"
"L3649846","G2152054",5,"2014"
"L3676660","S23658406",5,"2014"
"L3649846","G2152053",5,"2014"
"L3662875","S23572236",5,"2014"
"L3649846","G2152055",5,"2014"
"L3649846","G2152056",5,"2014"
"L3662875","S23621922",5,"2014"
