"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1982,"Spotted Dove","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Spotted Dove","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Spotted Dove","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Spotted Dove","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Spotted Dove","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Spotted Dove","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Spotted Dove","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Spotted Dove","2016",0.345958558207132,0.3847352643721,0.421855479648681,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Spotted Dove","2017",0.347620929839315,0.378896236198826,0.414126810649171,NA,NA,NA,89.7984586584806,98.6898776829187,108.581455875092,NA,NA,NA,89.7984586584806,98.6898776829187,108.581455875092
2018,"Spotted Dove","2018",0.429236993554319,0.473738340630031,0.518380393145014,NA,NA,NA,111.353808046748,123.145109726351,135.427377138386,NA,NA,NA,111.353808046748,123.145109726351,135.427377138386
2019,"Spotted Dove","2019",0.327846982542564,0.364589800987553,0.408078014152635,NA,NA,NA,84.080239370276,94.91519973699,105.880798231087,NA,NA,NA,84.080239370276,94.91519973699,105.880798231087
2020,"Spotted Dove","2020",0.322673455687705,0.353409581787767,0.383270418854737,NA,NA,NA,82.8355306142946,91.7709840244818,100.532416107861,NA,NA,NA,82.8355306142946,91.7709840244818,100.532416107861
2021,"Spotted Dove","2021",0.452492026396841,0.487568503924832,0.522947649486909,NA,NA,NA,116.155554870528,126.583852636936,138.561024706458,NA,NA,NA,116.155554870528,126.583852636936,138.561024706458
2022,"Spotted Dove","2022",0.440490053181965,0.47464007762411,0.504494837389514,NA,NA,NA,113.578892603588,123.090209761342,134.740621109784,NA,NA,NA,113.578892603588,123.090209761342,134.740621109784
2023,"Spotted Dove","2023",0.448478463202152,0.479412001713965,0.509680186617708,NA,NA,NA,115.231723308771,124.538792329472,135.348409401122,NA,NA,NA,115.231723308771,124.538792329472,135.348409401122
2024,"Spotted Dove","2024",0.468578754468105,0.499925600482627,0.529068087347204,NA,NA,NA,120.379347386087,129.883358963464,140.736261737127,NA,NA,NA,120.379347386087,129.883358963464,140.736261737127
2025,"Spotted Dove","2025",0.482593926449572,0.513478777554365,0.542179191409594,NA,NA,NA,124.019612911252,133.260076672272,144.471007428638,NA,NA,NA,124.019612911252,133.260076672272,144.471007428638
2026,"Spotted Dove","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,118.41284923332,137.184397173994,158.995104467191,118.41284923332,137.184397173994,158.995104467191
