"LOCALITY.ID","group.id","month","timegroups"
"L2147802","G1037582",2,"2000-2006"
"L1889373","S12630113",12,"2011-2012"
"L1889373","S12630135",12,"2011-2012"
"L3120145","S20511138",5,"2011-2012"
"L3120145","S20511106",3,"2011-2012"
"L3120145","S20218442",2,"2011-2012"
"L3120145","S20511128",4,"2011-2012"
"L3120145","S20511065",2,"2011-2012"
"L3157997","S20511222",5,"2011-2012"
"L1889373","S20377679",10,"2014"
"L1889373","S20255571",10,"2014"
"L1889373","S18097227",4,"2013"
"L1889373","G962348",7,"2014"
"L2865753","S18475930",5,"2013"
"L1889373","S20236899",10,"2014"
"L2147802","G1027720",10,"2014"
"L2147802","S20622456",11,"2014"
"L2147802","S100903363",12,"2014"
"L1889373","G832560",3,"2013"
"L1889373","G962355",7,"2014"
"L1889373","S17560914",3,"2013"
"L1889373","S17899764",4,"2013"
"L2147802","S20704669",11,"2014"
"L2147802","S19282481",7,"2014"
"L1889373","S19607631",8,"2014"
"L1889373","S18980682",7,"2014"
"L1889373","G962354",7,"2014"
"L2865749","S18475996",5,"2013"
"L2993472","G962350",7,"2014"
"L1889373","G813935",2,"2013"
"L2996518","G962351",7,"2014"
"L1889373","S19204713",7,"2014"
"L1889373","S17899756",4,"2013"
"L2147802","S27169694",9,"2014"
"L1889373","S20274571",10,"2014"
"L1889373","S19647513",9,"2014"
"L2719761","G831788",3,"2013"
"L1889373","G832562",3,"2013"
"L1889373","S19638100",9,"2014"
"L1889373","S18097265",4,"2013"
"L2147802","S20197453",10,"2014"
"L1889373","S20368727",10,"2014"
"L1889373","G1333554",5,"2013"
"L1889373","S19745904",9,"2014"
"L2147802","G1064605",12,"2014"
"L2147802","G1064588",12,"2014"
"L1889373","G813952",2,"2013"
"L1889373","S19770108",9,"2014"
"L2147802","S20859809",12,"2014"
"L1889373","G962345",7,"2014"
"L1889373","S48000429",11,"2014"
"L2704176","S17383305",2,"2013"
"L3017962","S19325988",7,"2014"
"L1889373","G962349",7,"2014"
"L1889373","S19665640",9,"2014"
"L3187287","S20732019",11,"2014"
"L1889373","S17783186",4,"2013"
"L1889373","S19745745",9,"2014"
"L1889373","S20351048",10,"2014"
"L1889373","S19914826",9,"2014"
"L1889373","S18116543",4,"2013"
"L1889373","G962334",7,"2014"
"L1889373","G962333",7,"2014"
"L1889373","S18097291",4,"2013"
"L1889373","S18971963",7,"2014"
"L1889373","S18971936",7,"2014"
"L1889373","G962343",7,"2014"
"L1889373","S17783376",4,"2013"
"L1889373","G962352",7,"2014"
"L1889373","G962335",7,"2014"
"L3120160","S20218535",10,"2014"
"L2147802","S17408223",2,"2013"
"L2147802","S20604242",11,"2014"
"L1889373","S18097297",4,"2013"
"L3698066","S18097515",4,"2013"
"L1889373","S18980663",7,"2014"
"L1889373","S18097212",4,"2013"
"L2996518","G962355",7,"2014"
"L2147802","S20464990",11,"2014"
"L1889373","G962341",7,"2014"
"L1889373","S19259044",7,"2014"
"L2147802","S20604287",11,"2014"
"L1889373","S20351206",10,"2014"
"L1889373","S19773302",9,"2014"
"L1889373","G962332",7,"2014"
"L2147802","S20545717",11,"2014"
"L2147802","S20583024",11,"2014"
"L1889373","G962342",7,"2014"
"L1889373","G962340",7,"2014"
"L1889373","G849480",4,"2013"
"L1889373","S20263749",10,"2014"
"L1889373","S18162555",5,"2013"
"L1889373","S21610948",9,"2014"
"L2147802","S20485841",11,"2014"
"L2147802","S19282454",7,"2014"
"L1889373","G813943",2,"2013"
"L1889373","G962346",7,"2014"
"L1889373","G962353",7,"2014"
"L3154767","S20567746",11,"2014"
"L2865749","S18476033",5,"2013"
"L45645827","S241139788",6,"2014"
"L1889373","S19042469",7,"2014"
"L2865749","S18476057",5,"2013"
"L2649474","S17022578",2,"2013"
"L1889373","G962344",7,"2014"
"L1889373","S19412382",8,"2014"
"L2147802","S20512645",11,"2014"
"L1889373","S19638171",9,"2014"
"L1889373","S17222154",2,"2013"
"L2996518","G962353",7,"2014"
"L1889373","S19647571",9,"2014"
"L2993472","G962349",7,"2014"
"L1889373","S19282440",7,"2014"
"L2980850","G962348",7,"2014"
"L2147802","S20464889",11,"2014"
"L2996518","G962352",7,"2014"
"L1889373","S19904668",9,"2014"
"L1889373","S18097243",4,"2013"
"L1889373","S20368715",10,"2014"
"L1889373","S21586623",9,"2014"
"L1889373","S17438663",3,"2013"
"L2996518","G962354",7,"2014"
"L1889373","S20377700",10,"2014"
"L1889373","S20350008",10,"2014"
"L2648265","S17017143",2,"2013"
"L1889373","S18097274",4,"2013"
"L2147802","S20859893",12,"2014"
"L2147802","S20583263",11,"2014"
"L1889373","S19770070",9,"2014"
"L2147802","S20704702",11,"2014"
"L1889373","S19647542",9,"2014"
"L1889373","S18097367",4,"2013"
"L1889373","S19770096",9,"2014"
"L1889373","S18971920",7,"2014"
"L1889373","S20351071",10,"2014"
"L2865749","S18476084",5,"2013"
"L3240376","S21038885",12,"2014"
"L1889373","G962351",7,"2014"
"L1889373","S19078289",7,"2014"
"L1889373","S18177538",5,"2013"
"L1889373","S20255514",10,"2014"
"L1889373","G962350",7,"2014"
"L2147802","S20502143",11,"2014"
"L1889373","S21252949",8,"2014"
"L1889373","S19745937",9,"2014"
"L1889373","S20236913",10,"2014"
"L1889373","S19313472",8,"2014"
"L2147802","S20622359",11,"2014"
"L1889373","G962338",7,"2014"
"L2865749","S18475905",5,"2013"
"L1889373","S19042480",7,"2014"
"L1889373","S21252804",10,"2014"
"L1889373","S21586607",10,"2014"
"L1889373","S20556415",11,"2014"
"L3120160","S20485897",11,"2014"
"L1889373","S18971909",7,"2014"
"L1889373","S20236882",10,"2014"
"L1889373","S19637961",9,"2014"
"L3154767","S20860168",11,"2014"
"L3154767","S20487036",11,"2014"
"L1889373","S21611741",8,"2014"
"L3154767","S20520878",11,"2014"
"L1889373","S20263703",10,"2014"
"L12983807","S77718584",12,"2014"
"L3117187","S20197299",10,"2014"
"L3154767","S20860204",11,"2014"
