"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1997,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",-2.30701388550681,0.236958008215393,0.0606537380841693,0.0947626459611474,0.146499208081809,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",-2.05310015115866,0.210550466657552,0.0814350288478058,0.120442574792441,0.17625836502097,NA,NA,NA,72.1576984934699,127.099210422873,229.71364870099,NA,NA,NA,72.1576984934699,127.099210422873,229.71364870099
2017,"Indian Peafowl","2017",-1.39493420695448,0.137013421214452,0.172609369736343,0.21952248086046,0.276895979907962,NA,NA,NA,141.881501373361,231.655077413587,378.517974170138,NA,NA,NA,141.881501373361,231.655077413587,378.517974170138
2018,"Indian Peafowl","2018",-1.50837006039662,0.131307749640269,0.157230098196005,0.198500027695284,0.248899991248633,NA,NA,NA,128.066592361774,209.470752617724,342.121157640374,NA,NA,NA,128.066592361774,209.470752617724,342.121157640374
2019,"Indian Peafowl","2019",-1.71924945885544,0.113389518645788,0.133670165773757,0.164061802337192,0.200524356952199,NA,NA,NA,106.466900456511,173.129191015262,282.856700874902,NA,NA,NA,106.466900456511,173.129191015262,282.856700874902
2020,"Indian Peafowl","2020",-1.97845554472664,0.116949066244664,0.104126376076069,0.129147484131785,0.159624838639743,NA,NA,NA,82.9840659381783,136.2852238051,216.308113046876,NA,NA,NA,82.9840659381783,136.2852238051,216.308113046876
2021,"Indian Peafowl","2021",-1.7346002784896,0.106035490551312,0.133553744061197,0.161776682497249,0.195260014023426,NA,NA,NA,107.53517138165,170.717776879697,276.551635808495,NA,NA,NA,107.53517138165,170.717776879697,276.551635808495
2022,"Indian Peafowl","2022",-1.65598387457018,0.114792845965906,0.141390422137475,0.173788212959171,0.212641926297799,NA,NA,NA,114.000092592856,183.393162143683,310.620386429111,NA,NA,NA,114.000092592856,183.393162143683,310.620386429111
2023,"Indian Peafowl","2023",-1.64924192488577,0.116174184457163,0.14191939395916,0.174854506199485,0.214427036383195,NA,NA,NA,113.274667756623,184.518387415201,303.976094176243,NA,NA,NA,113.274667756623,184.518387415201,303.976094176243
2024,"Indian Peafowl","2024",-1.79250802899376,0.113368430333946,0.12484918857274,0.153412701016059,0.187777977862241,NA,NA,NA,100.8134656089,161.891533800099,266.122869958578,NA,NA,NA,100.8134656089,161.891533800099,266.122869958578
