"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1997,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",-2.27800615765518,0.0941942533010769,0.0816813331138333,0.097411334016705,0.11597427029084,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",-2.12578526196124,0.101959483512277,0.0930992535622751,0.112493309361644,0.13561587240067,NA,NA,NA,90.3267400058426,115.482772612839,150.260926659413,NA,NA,NA,90.3267400058426,115.482772612839,150.260926659413
2017,"Indian Peafowl","2017",-1.59978310230724,0.0657230166957976,0.162666418586918,0.182856301174556,0.205230772867983,NA,NA,NA,154.363939585462,187.715631882424,231.814425174931,NA,NA,NA,154.363939585462,187.715631882424,231.814425174931
2018,"Indian Peafowl","2018",-1.80077283062443,0.0685840308534824,0.134454853469107,0.152251434013081,0.172160328000569,NA,NA,NA,125.99969863527,156.297453011958,193.920785259031,NA,NA,NA,125.99969863527,156.297453011958,193.920785259031
2019,"Indian Peafowl","2019",-1.81779320758212,0.0529084833341703,0.136177627786216,0.149885049662546,0.164835942567023,NA,NA,NA,125.907797831806,153.868182974316,184.225027474811,NA,NA,NA,125.907797831806,153.868182974316,184.225027474811
2020,"Indian Peafowl","2020",-2.13142943146201,0.0530871430462748,0.101421097816255,0.111896994414785,0.123378751518008,NA,NA,NA,94.6203580996586,114.870610842467,138.72105198637,NA,NA,NA,94.6203580996586,114.870610842467,138.72105198637
2021,"Indian Peafowl","2021",-1.9192843855772,0.0532770168478126,0.123803218503101,0.136457283618621,0.150290263243626,NA,NA,NA,113.738969817715,140.083579591693,173.120774958612,NA,NA,NA,113.738969817715,140.083579591693,173.120774958612
2022,"Indian Peafowl","2022",-1.84085131569088,0.0516117979392072,0.133605846954531,0.146732583862603,0.161025054723752,NA,NA,NA,123.944687145399,150.631941697297,183.817798681347,NA,NA,NA,123.944687145399,150.631941697297,183.817798681347
2023,"Indian Peafowl","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.749344829402,157.352471002873,219.973576742432,112.749344829402,157.352471002873,219.973576742432
2024,"Indian Peafowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.264556240211,161.916839179884,240.509225880806,109.264556240211,161.916839179884,240.509225880806
