"gridg0","group.id","month","timegroups"
"358949","S293234768",7,"before 2000"
"359599","S59212945",4,"before 2000"
"355706","S94965946",2,"before 2000"
"358942","S96210240",3,"before 2000"
"349886","S204323603",10,"before 2000"
"352451","S203808632",11,"before 2000"
"352451","S52058092",2,"before 2000"
"351802","G15312790",8,"before 2000"
"344042","S112860224",6,"before 2000"
"352451","S94102858",2,"2000-2006"
"359599","S55155694",7,"2000-2006"
"352451","S57280619",3,"2000-2006"
"352451","S57280614",3,"2000-2006"
"352451","G6456272",2,"2000-2006"
"352451","G6456274",2,"2000-2006"
"352451","S71342044",11,"2000-2006"
"352451","S70808051",1,"2000-2006"
"352451","S70808052",1,"2000-2006"
"352451","S62138488",3,"2000-2006"
"356368","S263720547",9,"2007-2010"
"352451","S38161975",11,"2007-2010"
"351838","G1787495",11,"2007-2010"
"344043","G1787496",11,"2007-2010"
"348590","S131732297",3,"2007-2010"
"352456","S66932068",11,"2007-2010"
"352451","S164386109",12,"2007-2010"
"352451","S36443403",1,"2007-2010"
"351800","S299666862",1,"2007-2010"
"351801","S299667924",1,"2007-2010"
"352451","S299667368",1,"2007-2010"
"351802","S80009568",1,"2007-2010"
"352451","S33498759",1,"2007-2010"
"352451","S200562714",2,"2007-2010"
"351801","S299671646",2,"2007-2010"
"351802","S80009723",2,"2007-2010"
"351801","S200571146",2,"2007-2010"
"351802","S299670255",2,"2007-2010"
"351801","S200564133",2,"2007-2010"
"351801","S200563280",2,"2007-2010"
"352451","S200562190",2,"2007-2010"
"352452","S299669417",2,"2007-2010"
"353102","S299671168",2,"2007-2010"
"359599","G13516327",5,"2007-2010"
"345342","S78190488",7,"2007-2010"
"349870","S28528936",12,"2007-2010"
"352451","S57280616",1,"2007-2010"
"348570","S31460744",1,"2007-2010"
"344041","S203444013",2,"2007-2010"
"344040","S203443572",2,"2007-2010"
"343393","S246895784",3,"2007-2010"
"355065","S256743303",6,"2011-2012"
"358949","S123774377",8,"2011-2012"
"358949","S123774375",8,"2011-2012"
"358949","S123774376",8,"2011-2012"
"344690","S99632970",8,"2011-2012"
"355710","S244619439",9,"2011-2012"
"344040","S206173216",3,"2011-2012"
"349868","S164868486",4,"2011-2012"
"344040","S99631410",6,"2011-2012"
"354416","S12978640",2,"2011-2012"
"354416","S12951530",2,"2011-2012"
"354416","S13042023",2,"2011-2012"
"355711","S35599967",3,"2011-2012"
"346617","S134267159",4,"2011-2012"
"346617","S113645922",5,"2011-2012"
"368710","S33851781",10,"2013"
"350536","S122014399",10,"2013"
"358949","S15536377",11,"2013"
"342092","S27060371",11,"2013"
"345296","S17502561",12,"2013"
"352451","G7670805",1,"2013"
"352451","G7670806",1,"2013"
"351801","S114006424",1,"2013"
"352451","S95964387",1,"2013"
"365461","S47897848",1,"2013"
"350519","S95376827",1,"2013"
"352456","S47898010",1,"2013"
"351802","S296424386",1,"2013"
"345340","S16846249",1,"2013"
"345340","S16846525",1,"2013"
"352451","S17114079",2,"2013"
"354416","S16925268",2,"2013"
"355718","S17212096",2,"2013"
"354416","S16925009",2,"2013"
"354416","S16953170",2,"2013"
"353766","S16925169",2,"2013"
"349869","S95371829",2,"2013"
"350535","S17027198",2,"2013"
"345340","S16948650",2,"2013"
"345340","S17005766",2,"2013"
"345340","S17034760",2,"2013"
"348570","S114142211",4,"2013"
"347256","S18560541",5,"2013"
"347255","S18560553",5,"2013"
"347256","S18412759",5,"2013"
"347256","S18442132",5,"2013"
"347256","S18442120",5,"2013"
"347256","S18560563",5,"2013"
"347256","S18644966",5,"2013"
"347256","S18560480",5,"2013"
"347256","S18560572",5,"2013"
"347256","S18446578",5,"2013"
"347256","S18645039",5,"2013"
"347256","S18367310",5,"2013"
"347256","S18351376",5,"2013"
"347256","S18351074",5,"2013"
"347256","S18351256",5,"2013"
"347256","S18351064",5,"2013"
"347256","S18560732",5,"2013"
"347256","S18941906",6,"2014"
"347256","S18764721",6,"2014"
"347256","S18951577",6,"2014"
"347256","S18852327",6,"2014"
"347256","S18951619",6,"2014"
"347256","S18792713",6,"2014"
"347256","S18951531",6,"2014"
"347256","S18852306",6,"2014"
"347256","S18951712",6,"2014"
"347256","S18747582",6,"2014"
"347256","S18901580",6,"2014"
"347256","S18875039",6,"2014"
"347256","S18901583",6,"2014"
"347256","S18951736",6,"2014"
"347256","S18764716",6,"2014"
"347256","S18852339",6,"2014"
"347256","S18875049",6,"2014"
"347256","S18792718",6,"2014"
"347256","S18792707",6,"2014"
"347256","S18764708",6,"2014"
"347256","S18792704",6,"2014"
"347256","S18925388",6,"2014"
"347256","S18644975",6,"2014"
"347256","S18645373",6,"2014"
"347256","S18969179",6,"2014"
"347256","S18747535",6,"2014"
"347256","S18747577",6,"2014"
"347256","S18764687",6,"2014"
"347256","S18645490",6,"2014"
"347256","S18747542",6,"2014"
"347256","S18645390",6,"2014"
"347256","S18834680",6,"2014"
"347256","S18901585",6,"2014"
"347256","S18852361",6,"2014"
"347256","S18875065",6,"2014"
"347256","S18875016",6,"2014"
"347256","S18881365",6,"2014"
"350536","S113728812",6,"2014"
"365461","S114289504",7,"2014"
"347256","S18983418",7,"2014"
"347256","S19252329",7,"2014"
"347256","S19252245",7,"2014"
"347256","S19250264",7,"2014"
"347256","S18969204",7,"2014"
"347256","S19284178",7,"2014"
"347256","S18969193",7,"2014"
"347256","S18969163",7,"2014"
"347256","S19252079",7,"2014"
"347256","S19124410",7,"2014"
"347256","S19232947",7,"2014"
"347256","S18983189",7,"2014"
