"LOCALITY.ID","group.id","month","timegroups"
"L2666743","S57280619",3,"2000-2006"
"L2666743","S57280614",3,"2000-2006"
"L2666743","G6456272",2,"2000-2006"
"L2666743","S71342044",11,"2000-2006"
"L2666743","G6456274",2,"2000-2006"
"L2666743","S70808051",1,"2000-2006"
"L2666743","S38161975",11,"2007-2010"
"L50705828","S263720547",9,"2007-2010"
"L2666743","S70808052",1,"2000-2006"
"L2666743","S62138488",3,"2000-2006"
"L3173836","G1787495",11,"2007-2010"
"L3172886","G1787496",11,"2007-2010"
"L7422428","S66932068",11,"2007-2010"
"L23205442","S131732297",3,"2007-2010"
"L29779964","S164386109",12,"2007-2010"
"L37662327","S200562714",2,"2007-2010"
"L2666743","S36443403",1,"2007-2010"
"L37662656","S200571146",2,"2007-2010"
"L4419947","S28528936",12,"2007-2010"
"L37662656","S200564133",2,"2007-2010"
"L38536210","G13516327",5,"2007-2010"
"L8593681","S80009568",1,"2007-2010"
"L8593681","S80009723",2,"2007-2010"
"L37662200","S200562190",2,"2007-2010"
"L37662513","S200563280",2,"2007-2010"
"L2666743","S33498759",1,"2007-2010"
"L9276429","S78190488",7,"2007-2010"
"L21764220","S123774377",8,"2011-2012"
"L21764220","S123774375",8,"2011-2012"
"L9782219","S246895784",3,"2007-2010"
"L2666743","S57280616",1,"2007-2010"
"L4907393","S31460744",1,"2007-2010"
"L38219382","S203444013",2,"2007-2010"
"L17237566","S99632970",8,"2011-2012"
"L21764220","S123774376",8,"2011-2012"
"L49053646","S256743303",6,"2011-2012"
"L38219294","S203443572",2,"2007-2010"
"L46377289","S244619439",9,"2011-2012"
"L7785169","S99631410",6,"2011-2012"
"L38767037","S206173216",3,"2011-2012"
"L20882723","S164868486",4,"2011-2012"
"L23595182","S134267159",4,"2011-2012"
"L5287444","S33851781",10,"2013"
"L1933405","S12978640",2,"2011-2012"
"L4183246","S27060371",11,"2013"
"L21115472","S122014399",10,"2013"
"L5617249","S35599967",3,"2011-2012"
"L2780212","S17502561",12,"2013"
"L1933405","S12951530",2,"2011-2012"
"L19798829","S113645922",5,"2011-2012"
"L1933405","S13042023",2,"2011-2012"
"L2405678","S15536377",11,"2013"
"L2911940","S18792704",6,"2014"
"L2666743","G7670806",1,"2013"
"L2680479","S19890484",9,"2014"
"L7422428","S47898010",1,"2013"
"L3298543","G1112177",12,"2014"
"L2680479","S19998863",9,"2014"
"L2680479","S17212096",2,"2013"
"L2846286","S18969169",7,"2014"
"L2911941","S18747582",6,"2014"
"L2911941","S18852339",6,"2014"
"L2666743","G7670805",1,"2013"
"L19955718","S114305349",9,"2014"
"L2846286","S19250112",7,"2014"
"L2846286","S19743950",9,"2014"
"L2666743","S95964387",1,"2013"
"L2846286","S18560572",5,"2013"
"L2846286","S18367310",5,"2013"
"L7831174","S47897848",1,"2013"
"L2878777","S18951531",6,"2014"
"L3068658","S19683481",8,"2014"
"L2680479","S19998813",9,"2014"
"L2846286","S18351376",5,"2013"
"L2846286","S18901585",6,"2014"
"L2666743","S17114079",2,"2013"
"L2650614","S17027198",2,"2013"
"L18125854","S114006424",1,"2013"
"L2911941","S19611754",8,"2014"
"L2846286","S19252079",7,"2014"
"L2846286","S18644975",6,"2014"
"L2846286","S18644966",5,"2013"
"L19952265","S114289504",7,"2014"
"L2846286","S18645039",5,"2013"
"L2911940","S19611857",8,"2014"
"L2878777","S18951712",6,"2014"
"L1933405","S19999102",9,"2014"
"L2645543","S17034760",2,"2013"
"L2878777","S18951577",6,"2014"
"L2846286","S18969179",6,"2014"
"L2680479","S19999891",9,"2014"
"L2680479","S19999053",9,"2014"
"L2911940","S18764708",6,"2014"
"L2878777","S19611945",8,"2014"
"L2878777","S18941906",6,"2014"
"L2911940","S19602064",8,"2014"
"L2846286","S18983328",7,"2014"
"L2846286","S18747535",6,"2014"
"L2666743","S19690827",8,"2014"
"L2878777","S18560541",5,"2013"
"L2846286","S19232947",7,"2014"
"L2608345","S16948650",2,"2013"
"L2846286","S19611727",8,"2014"
"L2911940","S18901580",6,"2014"
"L2666743","S19688670",8,"2014"
"L2915215","S18764721",6,"2014"
"L1933405","S16925268",2,"2013"
"L2911941","S18951736",6,"2014"
"L1933405","S16953170",2,"2013"
"L2666743","S19694271",8,"2014"
"L2846286","S19743959",9,"2014"
"L2846286","S19611823",8,"2014"
"L2666743","S19683499",8,"2014"
"L2846286","S19611709",8,"2014"
"L3074438","S19768117",9,"2014"
"L2846286","S18351074",5,"2013"
"L2666743","S19694283",8,"2014"
"L2846286","S18983600",7,"2014"
"L19633790","S114142211",4,"2013"
"L2846286","S19284141",7,"2014"
"L19818127","S113728812",6,"2014"
"L2645543","S17005766",2,"2013"
"L2666743","S19683446",8,"2014"
