"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck","Dendrocygna javanica","","X","X",163,0.0429447852760736,0.282208588957055,0.496932515337423,7.73006134969325,0.784664287742343
"Bar-headed Goose","Anser indicus","","X","X",109,0.137614678899083,0.260321100917431,0.431192660550459,7.91743119266055,1.0232117338122
"Graylag Goose","Anser anser","","X","X",75,0.0666666666666667,0.265,0.533333333333333,9.18666666666667,1.31214319001819
"Greater White-fronted Goose","Anser albifrons","","","",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","","","",1,NA,NA,NA,15,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",1,NA,NA,NA,17,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","X","X","X",178,0.0393258426966292,0.27247191011236,0.47752808988764,7.46067415730337,0.753164391956249
"Ruddy Shelduck","Tadorna ferruginea","","X","X",146,0.089041095890411,0.285958904109589,0.458904109589041,7.58904109589041,0.857846157022625
"Common Shelduck","Tadorna tadorna","","","",6,0.166666666666667,0.25,0.166666666666667,12.8333333333333,4.03006589414008
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","",88,0.102272727272727,0.223011363636364,0.386363636363636,8.26136363636364,1.20400426615409
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","X","X",107,0.0747663551401869,0.23481308411215,0.411214953271028,8.41121495327103,1.03944192448066
"Northern Shoveler","Spatula clypeata","X","X","X",182,0.0989010989010989,0.296703296703297,0.461538461538462,7.31868131868132,0.765241538628413
"Gadwall","Mareca strepera","X","X","X",151,0.0662251655629139,0.274006622516556,0.483443708609272,7.70860927152318,0.829124693610372
"Falcated Duck","Mareca falcata","","","X",2,1,0.5,0.5,19,7.84
"Eurasian Wigeon","Mareca penelope","","X","X",89,0.134831460674157,0.23876404494382,0.337078651685393,8.66292134831461,1.12578781628558
"Indian Spot-billed Duck","Anas poecilorhyncha","X","X","X",217,0.0691244239631336,0.299539170506912,0.543778801843318,7.03225806451613,0.662475634391025
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","","",55,0.127272727272727,0.236363636363636,0.381818181818182,9.09090909090909,1.45047734139708
"Northern Pintail","Anas acuta","X","X","X",158,0.120253164556962,0.27373417721519,0.411392405063291,7.60759493670886,0.831240064594503
"Green-winged Teal","Anas crecca","X","X","X",170,0.0647058823529412,0.297058823529412,0.470588235294118,7.42352941176471,0.771683605121331
"Andaman Teal","Anas albogularis","","","",NA,NA,NA,NA,NA,NA
"Marbled Teal","Marmaronetta angustirostris","","","X",3,1,NA,NA,13.6666666666667,3.63760605038228
"Pink-headed Duck","Rhodonessa caryophyllacea","","","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina","","","",64,0.046875,0.208984375,0.375,9.15625,1.26834763734816
"Common Pochard","Aythya ferina","X","X","X",139,0.100719424460432,0.262589928057554,0.453237410071942,7.60431654676259,0.91267464038048
"Ferruginous Duck","Aythya nyroca","","X","X",82,0.0853658536585366,0.224085365853659,0.292682926829268,8.53658536585366,1.19194253387542
"Baer's Pochard","Aythya baeri","","","X",NA,NA,NA,NA,NA,NA
"Tufted Duck","Aythya fuligula","","X","X",82,0.158536585365854,0.25609756097561,0.439024390243902,8.76829268292683,1.22123268579174
"Greater Scaup","Aythya marila","","","",1,NA,NA,NA,10,NA
"Long-tailed Duck","Clangula hyemalis","","","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula","","","",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus","","","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser","","","",1,NA,NA,NA,9,NA
"Red-breasted Merganser","Mergus serrator","","","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","","","",NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis","","","",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola","","","",NA,NA,NA,NA,NA,NA
"Chestnut-breasted Partridge","Arborophila mandellii","","","",NA,NA,NA,NA,NA,NA
"Rufous-throated Partridge","Arborophila rufogularis","","","",NA,NA,NA,NA,NA,NA
"White-cheeked Partridge","Arborophila atrogularis","","","",NA,NA,NA,NA,NA,NA
"Snow Partridge","Lerwa lerwa","","","",NA,NA,NA,NA,NA,NA
"Blood Pheasant","Ithaginis cruentus","","","",NA,NA,NA,NA,NA,NA
"Western Tragopan","Tragopan melanocephalus","","","",NA,NA,NA,NA,NA,NA
"Satyr Tragopan","Tragopan satyra","","","",NA,NA,NA,NA,NA,NA
"Blyth's Tragopan","Tragopan blythii","","","",NA,NA,NA,NA,NA,NA
"Temminck's Tragopan","Tragopan temminckii","","","",NA,NA,NA,NA,NA,NA
"Himalayan Monal","Lophophorus impejanus","","","",NA,NA,NA,NA,NA,NA
"Sclater's Monal","Lophophorus sclateri","","","",NA,NA,NA,NA,NA,NA
"Koklass Pheasant","Pucrasia macrolopha","","","",NA,NA,NA,NA,NA,NA
"Tibetan Partridge","Perdix hodgsoniae","","","",NA,NA,NA,NA,NA,NA
"Hume's Pheasant","Syrmaticus humiae","","","",NA,NA,NA,NA,NA,NA
"Cheer Pheasant","Catreus wallichii","","","",NA,NA,NA,NA,NA,NA
"Kalij Pheasant","Lophura leucomelanos","","","",NA,NA,NA,NA,NA,NA
"Indian Peafowl","Pavo cristatus","X","X","X",304,0.0921052631578947,0.336348684210526,0.582236842105263,6.04605263157895,0.533453976934347
"Green Peafowl","Pavo muticus","","","",NA,NA,NA,NA,NA,NA
"Red Spurfowl","Galloperdix spadicea","X","X","X",12,0.166666666666667,0.1875,0.583333333333333,10.0833333333333,3.42433876238843
"Painted Spurfowl","Galloperdix lunulata","X","X","X",29,0.0689655172413793,0.21551724137931,0.413793103448276,10.6206896551724,2.26964333235944
"Gray Peacock-Pheasant","Polyplectron bicalcaratum","","","",NA,NA,NA,NA,NA,NA
"Mountain Bamboo-Partridge","Bambusicola fytchii","","","",NA,NA,NA,NA,NA,NA
"Red Junglefowl","Gallus gallus","","","",NA,NA,NA,NA,NA,NA
"Gray Junglefowl","Gallus sonneratii","","X","X",10,0.2,0.25,0.8,8.2,3.76220171944272
"Gray Francolin","Ortygornis pondicerianus","X","X","X",327,0.0795107033639144,0.339831804281346,0.568807339449541,5.90825688073395,0.50201055765595
"Swamp Francolin","Ortygornis gularis","","","",NA,NA,NA,NA,NA,NA
"Chinese Francolin","Francolinus pintadeanus","","","",NA,NA,NA,NA,NA,NA
"Black Francolin","Francolinus francolinus","","","X",76,0.0394736842105263,0.25,0.5,8,1.25420656403288
"Painted Francolin","Francolinus pictus","","","X",31,0.032258064516129,0.201612903225806,0.483870967741935,11.1290322580645,2.10577690786781
"Tibetan Snowcock","Tetraogallus tibetanus","","","",NA,NA,NA,NA,NA,NA
"Himalayan Snowcock","Tetraogallus himalayensis","","","",NA,NA,NA,NA,NA,NA
"Blue-breasted Quail","Synoicus chinensis","","","",NA,NA,NA,NA,NA,NA
"Common Quail","Coturnix coturnix","","","",27,0.259259259259259,0.185185185185185,0.37037037037037,10.1481481481481,2.29849111173732
"Japanese Quail","Coturnix japonica","","","",NA,NA,NA,NA,NA,NA
"Rain Quail","Coturnix coromandelica","","","",34,0.0882352941176471,0.183823529411765,0.382352941176471,10.5588235294118,1.87644980123601
"Chukar","Alectoris chukar","","","",NA,NA,NA,NA,NA,NA
