"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1992,"Bar-headed Goose","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Bar-headed Goose","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bar-headed Goose","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Bar-headed Goose","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Bar-headed Goose","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Bar-headed Goose","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Bar-headed Goose","2015",-3.25023472897732,0.748471484328561,0.00889998735841172,0.0380233562618826,0.154725811335793,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Bar-headed Goose","2016",-3.51725325272269,0.764869432640567,0.00660644433587431,0.0292446984538324,0.12445307609421,NA,NA,NA,11.1440671142901,76.9124594168175,554.772942948671,NA,NA,NA,11.1440671142901,76.9124594168175,554.772942948671
2017,"Bar-headed Goose","2017",-3.03114600028159,0.73139142635663,0.0114424871836682,0.0471142814606931,0.183213749698446,NA,NA,NA,17.6581184695286,123.90879210188,1091.51419682306,NA,NA,NA,17.6581184695286,123.90879210188,1091.51419682306
2018,"Bar-headed Goose","2018",-3.30596986389604,0.716998097315919,0.00895288576727126,0.0359996640256423,0.138836497437566,NA,NA,NA,14.7820692007244,94.6777653653133,735.404409585785,NA,NA,NA,14.7820692007244,94.6777653653133,735.404409585785
2019,"Bar-headed Goose","2019",-3.36837061339365,0.722017768447638,0.008331550141186,0.0338592167489508,0.132220200140612,NA,NA,NA,12.04312947796,89.0484693559095,520.343207308349,NA,NA,NA,12.04312947796,89.0484693559095,520.343207308349
2020,"Bar-headed Goose","2020",-3.97107164775214,0.716214245522388,0.00462089680897056,0.0186766080087428,0.0738722598734615,NA,NA,NA,6.19761589555181,49.1187781533783,308.987259442902,NA,NA,NA,6.19761589555181,49.1187781533783,308.987259442902
2021,"Bar-headed Goose","2021",-3.63357759026488,0.716514613308894,0.00646606202193257,0.0260754962127592,0.102025425314644,NA,NA,NA,10.1645908050311,68.5775764589704,501.089542882323,NA,NA,NA,10.1645908050311,68.5775764589704,501.089542882323
2022,"Bar-headed Goose","2022",-3.55421681247156,0.71116640256166,0.00707173594437816,0.0281985532319416,0.108889635712601,NA,NA,NA,11.3300039830176,74.1611367437596,492.130629203794,NA,NA,NA,11.3300039830176,74.1611367437596,492.130629203794
2023,"Bar-headed Goose","2023",-3.23321771943071,0.706095377321244,0.00983211729416934,0.0386631570001489,0.145596631828158,NA,NA,NA,13.0883671186211,101.682651930723,704.54697236803,NA,NA,NA,13.0883671186211,101.682651930723,704.54697236803
2024,"Bar-headed Goose","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8017639300337,105.92469607621,311.050140195642,38.8017639300337,105.92469607621,311.050140195642
2025,"Bar-headed Goose","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.510857178965,106.573223636889,373.822264848769,33.510857178965,106.573223636889,373.822264848769
2026,"Bar-headed Goose","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1323503019075,108.082787710573,455.473554486412,29.1323503019075,108.082787710573,455.473554486412
2027,"Bar-headed Goose","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5331141850821,110.486890366916,561.685114782993,25.5331141850821,110.486890366916,561.685114782993
2028,"Bar-headed Goose","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5834960217538,113.840277502663,700.291476828771,22.5834960217538,113.840277502663,700.291476828771
2029,"Bar-headed Goose","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1699330518493,118.220505573599,882.045774571106,20.1699330518493,118.220505573599,882.045774571106
2030,"Bar-headed Goose","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.197511712884,123.730300542538,1121.72676958703,18.197511712884,123.730300542538,1121.72676958703
