"eBird.English.Name.2025","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Abbott's Babbler","Insufficient Data","Insufficient Data",NA,"Low"
"Aberrant Bush Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Alexandrine Parakeet",NA,NA,NA,NA
"Alpine Accentor","Insufficient Data","Insufficient Data",NA,"Low"
"Alpine Swift",NA,NA,NA,NA
"Alpine Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Altai Accentor","Insufficient Data","Insufficient Data",NA,"Moderate"
"American Golden-Plover",NA,NA,NA,NA
"Amur Falcon","Insufficient Data","Insufficient Data",NA,"Low"
"Amur Paradise-Flycatcher",NA,NA,NA,NA
"Amur Stonechat",NA,NA,NA,NA
"Andaman Boobook",NA,NA,NA,NA
"Andaman Bulbul",NA,NA,NA,NA
"Andaman Coucal",NA,NA,NA,NA
"Andaman Crake",NA,NA,NA,NA
"Andaman Cuckoo-Dove",NA,NA,NA,NA
"Andaman Cuckooshrike",NA,NA,NA,NA
"Andaman Drongo",NA,NA,NA,NA
"Andaman Flowerpecker",NA,NA,NA,NA
"Andaman Green-Pigeon",NA,NA,NA,NA
"Andaman Masked-Owl",NA,NA,NA,NA
"Andaman Nightjar",NA,NA,NA,NA
"Andaman Scops-Owl",NA,NA,NA,NA
"Andaman Serpent-Eagle",NA,NA,NA,NA
"Andaman Shama",NA,NA,NA,NA
"Andaman Teal",NA,NA,NA,NA
"Andaman Treepie",NA,NA,NA,NA
"Andaman Wood-Pigeon",NA,NA,NA,NA
"Andaman Woodpecker",NA,NA,NA,NA
"Arctic Loon",NA,NA,NA,NA
"Arctic Tern",NA,NA,NA,NA
"Arctic Warbler",NA,NA,NA,NA
"Ashambu Laughingthrush",NA,NA,NA,NA
"Ashy Bulbul","Insufficient Data","Insufficient Data",NA,"Low"
"Ashy Drongo","Insufficient Data","Insufficient Data",NA,"Low"
"Ashy Minivet",NA,NA,NA,NA
"Ashy Prinia",NA,NA,NA,NA
"Ashy Wood-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Ashy Woodswallow","Insufficient Data","Insufficient Data",NA,"Low"
"Ashy-crowned Sparrow-Lark",NA,NA,NA,NA
"Ashy-headed Green-Pigeon",NA,NA,NA,NA
"Ashy-throated Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Barred Owlet","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Brown Flycatcher","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Desert Warbler",NA,NA,NA,NA
"Asian Dowitcher",NA,NA,NA,NA
"Asian Emerald Cuckoo","Insufficient Data","Insufficient Data",NA,"Moderate"
"Asian Emerald Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Fairy-bluebird",NA,NA,NA,NA
"Asian Glossy Starling",NA,NA,NA,NA
"Asian Green Bee-eater","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Houbara",NA,NA,NA,NA
"Asian House-Martin","Insufficient Data","Insufficient Data",NA,"Moderate"
"Asian Koel","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Openbill",NA,NA,NA,NA
"Asian Palm Swift","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Stubtail",NA,NA,NA,NA
"Asian Tit","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Woolly-necked Stork",NA,NA,NA,NA
"Assam Laughingthrush",NA,NA,NA,NA
"Australasian Grass-Owl",NA,NA,NA,NA
"Azure Tit",NA,NA,NA,NA
"Baer's Pochard",NA,NA,NA,NA
"Baikal Bush Warbler",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Baillon's Crake",NA,NA,NA,NA
"Banasura Laughingthrush",NA,NA,NA,NA
"Banded Bay Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Bank Myna",NA,NA,NA,NA
"Bank Swallow",NA,NA,NA,NA
"Bar-headed Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Bar-tailed Godwit",NA,NA,NA,NA
"Bar-tailed Treecreeper",NA,NA,NA,NA
"Bar-winged Flycatcher-shrike","Insufficient Data","Insufficient Data",NA,"Low"
"Bar-winged Wren-Babbler",NA,NA,NA,NA
"Barau's Petrel",NA,NA,NA,NA
"Barn Swallow","Insufficient Data","Insufficient Data",NA,"Low"
"Barred Buttonquail",NA,NA,NA,NA
"Barred Cuckoo-Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Barred Warbler",NA,NA,NA,NA
"Bay Woodpecker","Insufficient Data","Insufficient Data",NA,"Low"
"Bay-backed Shrike",NA,NA,NA,NA
"Baya Weaver",NA,NA,NA,NA
"Beach Thick-knee",NA,NA,NA,NA
"Bearded Vulture","Insufficient Data","Insufficient Data",NA,"Moderate"
"Beautiful Nuthatch",NA,NA,NA,NA
"Beautiful Sibia",NA,NA,NA,NA
"Bengal Bushlark",NA,NA,NA,NA
"Bengal Florican",NA,NA,NA,NA
"Besra","Insufficient Data","Insufficient Data",NA,"Low"
"Bhutan Laughingthrush",NA,NA,NA,NA
"Bimaculated Lark",NA,NA,NA,NA
"Black Baza","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black Bittern",NA,NA,NA,NA
"Black Bulbul","Insufficient Data","Insufficient Data",NA,"Low"
"Black Drongo","Insufficient Data","Insufficient Data",NA,"Low"
"Black Eagle","Insufficient Data","Insufficient Data",NA,"Low"
"Black Francolin","Insufficient Data","Insufficient Data",NA,"Low"
"Black Kite","Insufficient Data","Insufficient Data",NA,"Low"
"Black Noddy",NA,NA,NA,NA
"Black Redstart","Insufficient Data","Insufficient Data",NA,"Low"
"Black Stork",NA,NA,NA,NA
"Black Tern",NA,NA,NA,NA
"Black-and-orange Flycatcher",NA,NA,NA,NA
"Black-and-yellow Grosbeak",NA,NA,NA,NA
"Black-backed Dwarf-Kingfisher",NA,NA,NA,NA
"Black-backed Forktail","Insufficient Data","Insufficient Data",NA,"Low"
"Black-bellied Plover",NA,NA,NA,NA
"Black-bellied Sandgrouse",NA,NA,NA,NA
"Black-bellied Storm-Petrel",NA,NA,NA,NA
"Black-bellied Tern",NA,NA,NA,NA
"Black-breasted Parrotbill",NA,NA,NA,NA
"Black-breasted Thrush",NA,NA,NA,NA
"Black-breasted Weaver",NA,NA,NA,NA
"Black-browed Reed Warbler",NA,NA,NA,NA
"Black-browed Tit",NA,NA,NA,NA
"Black-capped Kingfisher",NA,NA,NA,NA
"Black-chinned Babbler",NA,NA,NA,NA
"Black-chinned Yuhina","Insufficient Data","Insufficient Data",NA,"Low"
"Black-crested Bulbul","Insufficient Data","Insufficient Data",NA,"Low"
"Black-crowned Night Heron","Insufficient Data","Insufficient Data",NA,"Low"
"Black-crowned Scimitar-Babbler","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-crowned Sparrow-Lark",NA,NA,NA,NA
"Black-eared Shrike-Babbler","Insufficient Data","Insufficient Data",NA,"Low"
"Black-faced Bunting",NA,NA,NA,NA
