"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1990,"Blood Pheasant","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Blood Pheasant","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Blood Pheasant","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Blood Pheasant","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Blood Pheasant","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Blood Pheasant","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Blood Pheasant","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Blood Pheasant","2016",0.00383313871770375,0.0163340203684998,0.0684894026702273,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Blood Pheasant","2017",6.87420205462897e-10,0.00782322132963632,0.041097903008402,NA,NA,NA,6.31035458844528e-06,46.2676719146938,233.272120579123,NA,NA,NA,6.31035458844528e-06,46.2676719146938,233.272120579123
2018,"Blood Pheasant","2018",0.00490252853082961,0.0131407438564709,0.056688513482765,NA,NA,NA,29.4679332979724,83.7581458909095,315.903220799737,NA,NA,NA,29.4679332979724,83.7581458909095,315.903220799737
2019,"Blood Pheasant","2019",9.59091465165756e-10,0.00473019212345434,0.0215372330988799,NA,NA,NA,6.31563857844275e-06,25.6487715536489,152.036499047672,NA,NA,NA,6.31563857844275e-06,25.6487715536489,152.036499047672
2020,"Blood Pheasant","2020",0.00174145816098415,0.0104267705449205,0.0479745035256779,NA,NA,NA,13.6591316558901,61.7276946786196,247.406988744888,NA,NA,NA,13.6591316558901,61.7276946786196,247.406988744888
2021,"Blood Pheasant","2021",0.000353710401270999,0.00207769966919493,0.00947371900924123,NA,NA,NA,1.92381928561507,12.9538346534421,57.4193182390824,NA,NA,NA,1.92381928561507,12.9538346534421,57.4193182390824
2022,"Blood Pheasant","2022",0.00292396360425455,0.00691476853475774,0.0242996959524673,NA,NA,NA,16.8985166167854,43.2368642093731,162.147686058865,NA,NA,NA,16.8985166167854,43.2368642093731,162.147686058865
2023,"Blood Pheasant","2023",0.00268431635931417,0.00671800918387303,0.026045096707128,NA,NA,NA,16.7343880377749,41.5554847271376,152.326346507427,NA,NA,NA,16.7343880377749,41.5554847271376,152.326346507427
2024,"Blood Pheasant","2024",0.00402331938434335,0.00764271705003956,0.0313297058403129,NA,NA,NA,22.2130764137326,50.1602280184366,170.470372601399,NA,NA,NA,22.2130764137326,50.1602280184366,170.470372601399
2025,"Blood Pheasant","2025",0.00398822367034404,0.00848583743928102,0.0363054028508705,NA,NA,NA,23.9386111116627,55.8451118784342,199.377573727825,NA,NA,NA,23.9386111116627,55.8451118784342,199.377573727825
2026,"Blood Pheasant","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63120076550393,35.9884921055705,236.463794540533,5.63120076550393,35.9884921055705,236.463794540533
2027,"Blood Pheasant","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39224053966949,38.0729714163631,269.462028858088,4.39224053966949,38.0729714163631,269.462028858088
2028,"Blood Pheasant","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37541951123356,40.3405019485777,308.960348470036,3.37541951123356,40.3405019485777,308.960348470036
2029,"Blood Pheasant","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60525559088304,42.9663516775181,351.354855923664,2.60525559088304,42.9663516775181,351.354855923664
2030,"Blood Pheasant","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95310190274214,44.4480623816047,401.54810590409,1.95310190274214,44.4480623816047,401.54810590409
2031,"Blood Pheasant","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46748260582768,47.8329206217498,470.315875098607,1.46748260582768,47.8329206217498,470.315875098607
2032,"Blood Pheasant","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10482841453694,50.3350491598225,542.705568105243,1.10482841453694,50.3350491598225,542.705568105243
2033,"Blood Pheasant","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829295617548813,51.4206667532736,627.070920039402,0.829295617548813,51.4206667532736,627.070920039402
1990,"Satyr Tragopan","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Satyr Tragopan","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Satyr Tragopan","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Satyr Tragopan","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Satyr Tragopan","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Satyr Tragopan","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Satyr Tragopan","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Satyr Tragopan","2016",6.20612958792917e-11,0.00219710643189914,0.0074717730808723,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Satyr Tragopan","2017",6.04921211042573e-11,0.00227397703859903,0.00832363225759046,NA,NA,NA,5.11167411136553e-06,106.918713473502,2236821264.94821,NA,NA,NA,5.11167411136553e-06,106.918713473502,2236821264.94821
2018,"Satyr Tragopan","2018",2.72971091467875e-11,0.000681338565741822,0.00243840931367827,NA,NA,NA,2.37686772821102e-06,32.0777302594922,736470430.570853,NA,NA,NA,2.37686772821102e-06,32.0777302594922,736470430.570853
2019,"Satyr Tragopan","2019",1.02081660703039e-10,0.00405833898562259,0.0126670929979343,NA,NA,NA,2.16707285360651e-05,180.204403199065,3976024667.21034,NA,NA,NA,2.16707285360651e-05,180.204403199065,3976024667.21034
2020,"Satyr Tragopan","2020",0.00180365453158395,0.0075768001646434,0.0201548617790251,NA,NA,NA,91.2587717466003,348.584075520414,9997274264.17708,NA,NA,NA,91.2587717466003,348.584075520414,9997274264.17708
2021,"Satyr Tragopan","2021",0.000553230697898113,0.00225901739644314,0.00586614900289256,NA,NA,NA,26.9804892420709,103.492998839543,2437213985.41747,NA,NA,NA,26.9804892420709,103.492998839543,2437213985.41747
2022,"Satyr Tragopan","2022",0.000619797006354975,0.00235528483205558,0.00605544250808515,NA,NA,NA,27.2389154314504,104.571520233251,2662765677.58677,NA,NA,NA,27.2389154314504,104.571520233251,2662765677.58677
2023,"Satyr Tragopan","2023",0.000399356232608314,0.0020514391339033,0.00537688370734635,NA,NA,NA,22.0603436308768,97.2267307805059,2068194265.27386,NA,NA,NA,22.0603436308768,97.2267307805059,2068194265.27386
2024,"Satyr Tragopan","2024",0.00156227705620104,0.00460251293140844,0.0116227357926023,NA,NA,NA,68.2698592934182,212.669824456913,5342454540.89741,NA,NA,NA,68.2698592934182,212.669824456913,5342454540.89741
2025,"Satyr Tragopan","2025",0.0016964450204882,0.00508202885092253,0.0119757062756806,NA,NA,NA,73.5922665546955,235.41972088611,6163229795.79995,NA,NA,NA,73.5922665546955,235.41972088611,6163229795.79995
2026,"Satyr Tragopan","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7551926053934,282.906488706052,874.297642758922,58.7551926053934,282.906488706052,874.297642758922
2027,"Satyr Tragopan","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1674851340635,342.581010135496,1151.41331366456,55.1674851340635,342.581010135496,1151.41331366456
2028,"Satyr Tragopan","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2832112830077,404.803505441544,1526.07628931414,51.2832112830077,404.803505441544,1526.07628931414
2029,"Satyr Tragopan","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.464245887692,457.354588547303,2005.308738454,47.464245887692,457.354588547303,2005.308738454
2030,"Satyr Tragopan","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2419270215277,518.856629543676,2618.98851059638,44.2419270215277,518.856629543676,2618.98851059638
2031,"Satyr Tragopan","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8218949717659,597.259206189257,3388.6127043889,40.8218949717659,597.259206189257,3388.6127043889
2032,"Satyr Tragopan","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2077057423553,675.058864671437,4447.94415683196,37.2077057423553,675.058864671437,4447.94415683196
2033,"Satyr Tragopan","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5404443384272,759.48693864134,5912.99175742642,34.5404443384272,759.48693864134,5912.99175742642
