"LOCALITY.ID","group.id","month","timegroups"
"L23413128","G10006952",4,"2022"
"L23400302","G10006953",4,"2022"
"L23366080","G10006955",4,"2022"
"L23364526","G10006957",4,"2022"
"L23364275","G10006958",4,"2022"
"L23363234","G10006959",4,"2022"
"L22872103","G10009515",4,"2022"
"L23525423","G10009534",4,"2022"
"L23547095","G10009542",4,"2022"
"L23547095","G10009543",4,"2022"
"L23547095","G10009546",4,"2022"
"L23525555","G10009576",4,"2022"
"L22872159","G10009577",4,"2022"
"L23525555","G10009629",4,"2022"
"L23525423","G10009630",4,"2022"
"L23525423","G10009632",4,"2022"
"L23525423","G10009636",4,"2022"
"L13934765","G10022461",4,"2022"
"L14723810","G10022663",4,"2022"
"L14723810","G10022664",4,"2022"
"L14723810","G10022665",4,"2022"
"L23675561","G10026924",4,"2022"
"L11153688","G10026929",4,"2022"
"L23675430","G10026932",4,"2022"
"L23624761","G10026934",4,"2022"
"L23672542","G10026935",4,"2022"
"L13520005","G10026936",4,"2022"
"L10262719","G10026938",4,"2022"
"L23596552","G10026941",4,"2022"
"L23598328","G10026943",4,"2022"
"L23624761","G10026945",4,"2022"
"L23624761","G10026946",4,"2022"
"L21993744","G10053540",4,"2022"
"L23723542","G10053541",4,"2022"
"L23703488","G10053542",4,"2022"
"L23719403","G10053543",4,"2022"
"L2466134","G10053544",4,"2022"
"L23667295","G10053545",4,"2022"
"L10887470","G10069958",4,"2022"
"L11135738","G10081821",4,"2022"
"L23860206","G10081869",4,"2022"
"L18870094","G10105711",5,"2021"
"L18869810","G10105712",5,"2021"
"L14723810","G10105713",5,"2021"
"L23878148","G10119617",4,"2022"
"L13520005","G10119618",4,"2022"
"L22488608","G10119619",4,"2022"
"L23834738","G10119620",4,"2022"
"L23796938","G10119622",4,"2022"
"L11135738","G10119976",5,"2022"
"L2466134","G10119977",4,"2022"
"L13520005","G10119978",4,"2022"
"L10300934","G10119979",4,"2022"
"L10300934","G10119980",4,"2022"
"L24044080","G10144467",5,"2022"
"L24042855","G10144468",5,"2022"
"L24023032","G10144469",5,"2022"
"L8880228","G10144470",4,"2022"
"L13733031","G10144472",4,"2022"
"L23927444","G10144473",4,"2022"
"L23900542","G10174397",4,"2022"
"L9096701","G10174398",4,"2022"
"L12406760","G10179999",5,"2022"
"L24100111","G10180002",5,"2022"
"L10887470","G10180006",5,"2022"
"L24271034","G10200080",5,"2022"
"L16523830","G10221123",5,"2022"
"L24325538","G10221169",5,"2022"
"L11148142","G10221177",5,"2022"
"L10262787","G10221181",5,"2022"
"L10262787","G10221184",5,"2022"
"L11153688","G10221189",5,"2022"
"L11153688","G10221194",5,"2022"
"L10262792","G10221196",5,"2022"
"L10264181","G10221201",5,"2022"
"L24325860","G10221203",5,"2022"
"L21099440","G10221214",5,"2022"
"L16812775","G10221220",5,"2022"
"L18892975","G10221223",5,"2022"
"L2466134","G10221229",5,"2022"
"L14473039","G10221236",5,"2022"
"L2466134","G10221256",5,"2022"
"L21099440","G10221260",5,"2022"
"L21099312","G10221272",5,"2022"
"L10301111","G10221450",5,"2022"
"L9976862","G10221454",5,"2022"
"L21429597","G10221455",5,"2022"
"L21099547","G10221456",5,"2022"
"L10271246","G10221458",5,"2022"
"L10262704","G10221459",5,"2022"
"L24326048","G10221463",5,"2022"
"L24326078","G10221472",5,"2022"
"L24326091","G10221478",5,"2022"
"L24332615","G10222797",5,"2022"
"L10301111","G10222818",5,"2022"
"L24332692","G10222839",5,"2022"
"L24321723","G10223782",4,"2022"
"L9096701","G10223787",4,"2022"
"L24266436","G10223788",5,"2022"
"L24239686","G10223928",5,"2022"
"L24339513","G10224936",4,"2022"
"L10262787","G10233345",5,"2022"
"L24361904","G10233351",5,"2022"
"L24361909","G10233352",5,"2022"
"L24361978","G10233366",5,"2022"
"L24362191","G10233566",5,"2022"
"L24362202","G10233567",5,"2022"
"L24362191","G10233574",5,"2022"
"L24362216","G10233610",5,"2022"
"L24362191","G10233946",5,"2022"
"L24363623","G10233948",5,"2022"
"L24363637","G10233950",5,"2022"
"L24363653","G10233951",5,"2022"
"L24363662","G10233952",5,"2022"
"L24363667","G10233953",5,"2022"
"L24363705","G10233959",5,"2022"
"L24363883","G10234012",5,"2022"
"L24363964","G10234025",5,"2022"
"L24364019","G10234039",5,"2022"
"L24364037","G10234047",5,"2022"
"L24362202","G10234057",5,"2022"
"L24364072","G10234059",5,"2022"
"L24361909","G10234062",5,"2022"
"L24364098","G10234075",5,"2022"
"L24364111","G10234077",5,"2022"
"L24364126","G10234135",5,"2022"
"L24364136","G10234137",5,"2022"
"L24364145","G10234147",5,"2022"
"L24364161","G10234152",5,"2022"
"L10262787","G10242914",5,"2022"
"L24386715","G10242922",5,"2022"
"L24386729","G10242929",5,"2022"
"L24361904","G10242955",5,"2022"
"L24386776","G10243124",5,"2022"
"L24362216","G10243130",5,"2022"
"L9096701","G10244297",5,"2022"
"L24392867","G10245067",5,"2022"
"L24393041","G10245112",5,"2022"
"L24393155","G10245156",5,"2022"
"L24393213","G10245166",5,"2022"
"L24393303","G10245182",5,"2022"
"L24393342","G10245199",5,"2022"
"L24393359","G10245202",5,"2022"
