"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"Fulvous Whistling-Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck",7.9091888970464,10.3819362420614,12.8546835870764,4.8820954432329,7.69894605173113,10.5157966602294,5.35939312769411,8.44237249530272,11.5253518629113,5.53870303705622,8.38140123718638,11.2240994373165,5.63750893734111,8.62579044500181,11.6140719526625,5.61809579315926,8.57775233391011,11.537408874661,5.55380550824138,8.34910958244753,11.1444136566537,6.21956317779188,9.09582906023115,11.9720949426704,5.13572305617632,8.37891247293346,11.6221018896906,5.04970060289221,8.55337183444381,12.0570430659954
"Bar-headed Goose",-13.6188731714388,-5.862363537475,1.89414609648877,-6.86711161380922,-2.86180919915732,1.14349321549459,-13.365430495814,-6.64058866600866,0.0842531637967131,-12.8769052512363,-6.32668943431295,0.223526382610366,-12.5927056677027,-6.00713633229824,0.578433003106267,-12.162296194914,-5.75388032167297,0.654535551568049,-12.4736872010557,-5.71839744944324,1.03689230216923,-12.4582235744872,-5.52675148961653,1.40472059525413,-14.1384423066007,-7.16879753414968,-0.19915276169864,-15.0569711633463,-7.52057827527219,0.0158146128019551
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
