"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1992,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-4.6482652418692,0.150019037536744,0.00711272742867493,0.0095324785065867,0.0127701198331273,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-4.62864327786597,0.149946640040203,0.00725418456130481,0.00972045059978312,0.0130196790075601,NA,NA,NA,67.6036542456966,101.971912059036,150.135560130779,NA,NA,NA,67.6036542456966,101.971912059036,150.135560130779
2017,"Lesser Whistling-Duck","2017",-4.71022706580943,0.134460800114408,0.00689315250641168,0.0089623298729851,0.0116489776732125,NA,NA,NA,64.2797258684452,94.0188836176484,141.535704642295,NA,NA,NA,64.2797258684452,94.0188836176484,141.535704642295
2018,"Lesser Whistling-Duck","2018",-4.36536519627027,0.147816016130185,0.00946800204495969,0.0126295815878985,0.0168378759079277,NA,NA,NA,87.0376342421538,132.490008544701,199.402376135195,NA,NA,NA,87.0376342421538,132.490008544701,199.402376135195
2019,"Lesser Whistling-Duck","2019",-4.23549345191189,0.135660933763721,0.011032271336787,0.0143684412405876,0.0187038914359755,NA,NA,NA,103.119255126366,150.731430767553,223.343810043636,NA,NA,NA,103.119255126366,150.731430767553,223.343810043636
2020,"Lesser Whistling-Duck","2020",-4.25977285202301,0.135538118313007,0.0107716486853184,0.0140262136915138,0.0182550077316297,NA,NA,NA,99.8452466547884,147.141309385823,221.780808331569,NA,NA,NA,99.8452466547884,147.141309385823,221.780808331569
