"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1992,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-4.98592136275987,0.0918405954575593,0.00569149996383261,0.00681018388772621,0.00814784651745611,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-4.94466562443346,0.0904064039759665,0.00594715011674332,0.00709599911193048,0.00846583187281728,NA,NA,NA,80.1983010863722,104.196879686603,132.172783304122,NA,NA,NA,80.1983010863722,104.196879686603,132.172783304122
2017,"Lesser Whistling-Duck","2017",-5.07778250179994,0.095262425713265,0.00515864289487391,0.00621432765338856,0.00748523779809032,NA,NA,NA,70.9522179051194,91.2505118193425,117.360404693531,NA,NA,NA,70.9522179051194,91.2505118193425,117.360404693531
2018,"Lesser Whistling-Duck","2018",-4.8766503070937,0.0876139673074021,0.00639920286601072,0.00759352674784362,0.00900974233094929,NA,NA,NA,84.9581962398682,111.502521415453,143.999964231275,NA,NA,NA,84.9581962398682,111.502521415453,143.999964231275
2019,"Lesser Whistling-Duck","2019",-4.7503593971232,0.0876275027932096,0.00725728876998668,0.00861129492787829,0.0102166178795322,NA,NA,NA,99.5258853331017,126.44731874859,164.288552059081,NA,NA,NA,99.5258853331017,126.44731874859,164.288552059081
2020,"Lesser Whistling-Duck","2020",-4.68211503361979,0.0848705202862559,0.00780977668984863,0.00921667287704471,0.0108756228638655,NA,NA,NA,105.342226038091,135.336622754866,171.877252842885,NA,NA,NA,105.342226038091,135.336622754866,171.877252842885
