"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","X",22,0.0454545454545455,0.193181818181818,0.136363636363636,8.72727272727273,2.57006886960065
"Lesser Whistling-Duck","Dendrocygna javanica","","","X",86,0.0813953488372093,0.321220930232558,0.453488372093023,6.11627906976744,1.00471448348864
"Bar-headed Goose","Anser indicus","","","X",28,0.142857142857143,0.334821428571429,0.321428571428571,9,2.23383410637738
"Graylag Goose","Anser anser","","","X",1,1,NA,NA,13,NA
"Greater White-fronted Goose","Anser albifrons","","","",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","","","",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","X",54,0.12962962962963,0.259259259259259,0.296296296296296,6.7962962962963,1.48403344493242
"Ruddy Shelduck","Tadorna ferruginea","","","X",45,0.244444444444444,0.255555555555556,0.222222222222222,7.82222222222222,1.7005946065164
"Common Shelduck","Tadorna tadorna","","","",NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","X",44,0.159090909090909,0.321022727272727,0.363636363636364,7.88636363636364,1.71136699572064
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","","X",42,0.19047619047619,0.348214285714286,0.333333333333333,8.21428571428571,1.7309680547324
"Northern Shoveler","Spatula clypeata","","","X",48,0.145833333333333,0.3125,0.291666666666667,7.77083333333333,1.57808854643898
"Gadwall","Mareca strepera","","","X",30,0.1,0.304166666666667,0.266666666666667,8.83333333333333,2.12450277256852
"Falcated Duck","Mareca falcata","","","",NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope","","","X",37,0.162162162162162,0.304054054054054,0.216216216216216,8.91891891891892,1.84849617410295
"Indian Spot-billed Duck","Anas poecilorhyncha","","","X",97,0.123711340206186,0.338917525773196,0.391752577319588,5.62886597938144,0.934895537817589
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","","",NA,NA,NA,NA,NA,NA
"Northern Pintail","Anas acuta","","","X",58,0.189655172413793,0.301724137931034,0.293103448275862,7.3448275862069,1.33993406295689
"Green-winged Teal","Anas crecca","","","X",35,0.285714285714286,0.314285714285714,0.257142857142857,8.77142857142857,1.95684451875672
"Andaman Teal","Anas albogularis","","","",NA,NA,NA,NA,NA,NA
"Marbled Duck","Marmaronetta angustirostris","","","",NA,NA,NA,NA,NA,NA
"Pink-headed Duck","Rhodonessa caryophyllacea","","","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina","","","X",31,0.0967741935483871,0.217741935483871,0.258064516129032,8.93548387096774,2.01801614220273
"Common Pochard","Aythya ferina","","","X",34,0.147058823529412,0.286764705882353,0.382352941176471,8.58823529411765,1.99311647554781
"Ferruginous Duck","Aythya nyroca","","","X",5,0.2,0.28,0.4,10,4.38269323589959
"Baer's Pochard","Aythya baeri","","","",NA,NA,NA,NA,NA,NA
"Tufted Duck","Aythya fuligula","","","X",20,0.2,0.175,0.25,8.6,2.77695994323213
"Greater Scaup","Aythya marila","","","",NA,NA,NA,NA,NA,NA
"Long-tailed Duck","Clangula hyemalis","","","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula","","","",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus","","","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Merganser","Mergus serrator","","","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","","","",NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis","","","",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola","","","",NA,NA,NA,NA,NA,NA
"Chestnut-breasted Partridge","Arborophila mandellii","","","",NA,NA,NA,NA,NA,NA
"Rufous-throated Partridge","Arborophila rufogularis","","","",NA,NA,NA,NA,NA,NA
"White-cheeked Partridge","Arborophila atrogularis","","","",NA,NA,NA,NA,NA,NA
"Snow Partridge","Lerwa lerwa","","","",NA,NA,NA,NA,NA,NA
"Blood Pheasant","Ithaginis cruentus","","","",NA,NA,NA,NA,NA,NA
"Western Tragopan","Tragopan melanocephalus","","","",NA,NA,NA,NA,NA,NA
"Satyr Tragopan","Tragopan satyra","","","",NA,NA,NA,NA,NA,NA
"Blyth's Tragopan","Tragopan blythii","","","",NA,NA,NA,NA,NA,NA
"Temminck's Tragopan","Tragopan temminckii","","","",NA,NA,NA,NA,NA,NA
"Himalayan Monal","Lophophorus impejanus","","","",NA,NA,NA,NA,NA,NA
"Sclater's Monal","Lophophorus sclateri","","","",NA,NA,NA,NA,NA,NA
"Koklass Pheasant","Pucrasia macrolopha","","","",NA,NA,NA,NA,NA,NA
"Tibetan Partridge","Perdix hodgsoniae","","","",NA,NA,NA,NA,NA,NA
"Mrs. Hume's Pheasant","Syrmaticus humiae","","","",NA,NA,NA,NA,NA,NA
"Cheer Pheasant","Catreus wallichii","","","",NA,NA,NA,NA,NA,NA
"Kalij Pheasant","Lophura leucomelanos","","","",NA,NA,NA,NA,NA,NA
"Indian Peafowl","Pavo cristatus","","","X",95,0.0526315789473684,0.388157894736842,0.463157894736842,5.51578947368421,0.964341144323784
"Green Peafowl","Pavo muticus","","","",NA,NA,NA,NA,NA,NA
"Red Spurfowl","Galloperdix spadicea","","","X",2,NA,0.5,0.5,9.5,8.82
"Painted Spurfowl","Galloperdix lunulata","","X","X",31,0.0967741935483871,0.254032258064516,0.354838709677419,8.35483870967742,2.21440809046579
"Gray Peacock-Pheasant","Polyplectron bicalcaratum","","","",NA,NA,NA,NA,NA,NA
"Mountain Bamboo-Partridge","Bambusicola fytchii","","","",NA,NA,NA,NA,NA,NA
"Red Junglefowl","Gallus gallus","","","X",1,NA,1,NA,2,NA
"Gray Junglefowl","Gallus sonneratii","","","X",18,0.0555555555555556,0.291666666666667,0.277777777777778,4.38888888888889,1.47916412439562
"Gray Francolin","Ortygornis pondicerianus","","","X",95,0.126315789473684,0.365789473684211,0.484210526315789,5.76842105263158,0.944321916075824
"Swamp Francolin","Ortygornis gularis","","","",NA,NA,NA,NA,NA,NA
"Chinese Francolin","Francolinus pintadeanus","","","",NA,NA,NA,NA,NA,NA
"Black Francolin","Francolinus francolinus","","","",NA,NA,NA,NA,NA,NA
"Painted Francolin","Francolinus pictus","","X","X",44,0.113636363636364,0.315340909090909,0.363636363636364,7.63636363636364,1.68008520509154
"Tibetan Snowcock","Tetraogallus tibetanus","","","",NA,NA,NA,NA,NA,NA
"Himalayan Snowcock","Tetraogallus himalayensis","","","",NA,NA,NA,NA,NA,NA
"Blue-breasted Quail","Synoicus chinensis","","","",NA,NA,NA,NA,NA,NA
"Common Quail","Coturnix coturnix","","","",NA,NA,NA,NA,NA,NA
"Japanese Quail","Coturnix japonica","","","",NA,NA,NA,NA,NA,NA
"Rain Quail","Coturnix coromandelica","","","X",32,0.15625,0.29296875,0.4375,8.375,2.13540715313905
"Chukar","Alectoris chukar","","","",NA,NA,NA,NA,NA,NA
"Jungle Bush-Quail","Perdicula asiatica","","","X",35,0.171428571428571,0.278571428571429,0.342857142857143,8.14285714285714,1.94867315341068
"Rock Bush-Quail","Perdicula argoondah","","","X",10,NA,0.4,0.6,11.8,4.40018908684616
"Painted Bush-Quail","Perdicula erythrorhyncha","","","",NA,NA,NA,NA,NA,NA
"Manipur Bush-Quail","Perdicula manipurensis","","","",NA,NA,NA,NA,NA,NA
"Himalayan Quail","Ophrysia superciliosa","","","",NA,NA,NA,NA,NA,NA
"Greater Flamingo","Phoenicopterus roseus","","","X",18,0.0555555555555556,0.319444444444444,0.0555555555555556,9.33333333333333,3.09294960432626
"Lesser Flamingo","Phoeniconaias minor","","","",NA,NA,NA,NA,NA,NA
"Little Grebe","Tachybaptus ruficollis","","","X",83,0.120481927710843,0.33433734939759,0.36144578313253,6.01204819277108,1.06169023113129
"Horned Grebe","Podiceps auritus","","","",NA,NA,NA,NA,NA,NA
"Red-necked Grebe","Podiceps grisegena","","","",NA,NA,NA,NA,NA,NA
"Great Crested Grebe","Podiceps cristatus","","","",NA,NA,NA,NA,NA,NA
"Eared Grebe","Podiceps nigricollis","","","",NA,NA,NA,NA,NA,NA
"Rock Pigeon","Columba livia","","","X",122,0.0573770491803279,0.372950819672131,0.508196721311475,5.02459016393443,0.784830427444522
"Hill Pigeon","Columba rupestris","","","",NA,NA,NA,NA,NA,NA
"Snow Pigeon","Columba leuconota","","","",NA,NA,NA,NA,NA,NA
"Yellow-eyed Pigeon","Columba eversmanni","","","",NA,NA,NA,NA,NA,NA
"Common Wood-Pigeon","Columba palumbus","","","",NA,NA,NA,NA,NA,NA
"Speckled Wood-Pigeon","Columba hodgsonii","","","",NA,NA,NA,NA,NA,NA
"Ashy Wood-Pigeon","Columba pulchricollis","","","",NA,NA,NA,NA,NA,NA
"Nilgiri Wood-Pigeon","Columba elphinstonii","","","",NA,NA,NA,NA,NA,NA
"Pale-capped Pigeon","Columba punicea","","","X",NA,NA,NA,NA,NA,NA
"Andaman Wood-Pigeon","Columba palumboides","","","",NA,NA,NA,NA,NA,NA
"European Turtle-Dove","Streptopelia turtur","","","",NA,NA,NA,NA,NA,NA
"Oriental Turtle-Dove","Streptopelia orientalis","","","X",1,NA,1,NA,2,NA
"Eurasian Collared-Dove","Streptopelia decaocto","","","X",108,0.138888888888889,0.324074074074074,0.425925925925926,5.26851851851852,0.867007866702527
"Red Collared-Dove","Streptopelia tranquebarica","","","X",59,0.101694915254237,0.281779661016949,0.322033898305085,7.13559322033898,1.35559252904968
"Spotted Dove","Spilopelia chinensis","","","X",130,0.123076923076923,0.364423076923077,0.461538461538462,4.82307692307692,0.745621176445705
"Laughing Dove","Spilopelia senegalensis","","","X",135,0.111111111111111,0.366666666666667,0.437037037037037,4.71111111111111,0.730046591019974
"Barred Cuckoo-Dove","Macropygia unchall","","","",NA,NA,NA,NA,NA,NA
"Andaman Cuckoo-Dove","Macropygia rufipennis","","","",NA,NA,NA,NA,NA,NA
"Namaqua Dove","Oena capensis","","","",NA,NA,NA,NA,NA,NA
"Asian Emerald Dove","Chalcophaps indica","","","X",5,NA,0.475,0.4,4.8,4.85668858379864
"Nicobar Pigeon","Caloenas nicobarica","","","",NA,NA,NA,NA,NA,NA
