"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1988,"Painted Spurfowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Painted Spurfowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Painted Spurfowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Painted Spurfowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Painted Spurfowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Painted Spurfowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Painted Spurfowl","2015",-3.74030386388243,0.324230627354614,0.0124993533856942,0.0234671475934333,0.0438428090729348,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Painted Spurfowl","2016",-3.55836017395558,0.310483855868098,0.0153805958615145,0.0280836109300558,0.0510029190953035,NA,NA,NA,51.6291956798795,119.672025832037,286.65888015211,NA,NA,NA,51.6291956798795,119.672025832037,286.65888015211
2017,"Painted Spurfowl","2017",-4.20051919309246,0.320434441277849,0.0079660461171517,0.0148760352998441,0.0276957017468836,NA,NA,NA,26.6131356693386,63.3908967445483,146.776923263024,NA,NA,NA,26.6131356693386,63.3908967445483,146.776923263024
2018,"Painted Spurfowl","2018",-3.34365847215121,0.276312714439346,0.020333503273805,0.0346915095059606,0.0588788223058822,NA,NA,NA,66.021381642493,147.830107463372,334.682523674315,NA,NA,NA,66.021381642493,147.830107463372,334.682523674315
2019,"Painted Spurfowl","2019",-3.79381481587532,0.311160505692122,0.0121576188935396,0.0222581178822864,0.0405759482826485,NA,NA,NA,38.8958943534483,94.8479903391189,221.413030297417,NA,NA,NA,38.8958943534483,94.8479903391189,221.413030297417
2020,"Painted Spurfowl","2020",-3.76115491808272,0.298250954089853,0.0128784381214044,0.0229885086001994,0.0408693659548663,NA,NA,NA,42.2018785862421,97.9603869991942,221.048041905838,NA,NA,NA,42.2018785862421,97.9603869991942,221.048041905838
2021,"Painted Spurfowl","2021",-3.52107646897322,0.278323639170636,0.0169897268399501,0.0291347448133036,0.0497391436593596,NA,NA,NA,55.4382290542996,124.151197742738,274.618063421348,NA,NA,NA,55.4382290542996,124.151197742738,274.618063421348
2022,"Painted Spurfowl","2022",-3.29645746069218,0.262001861143586,0.0219051180776448,0.0363374130512842,0.0599824791944733,NA,NA,NA,70.5794681100006,154.843757242369,363.315434655321,NA,NA,NA,70.5794681100006,154.843757242369,363.315434655321
2023,"Painted Spurfowl","2023",-3.86930562081922,0.274453909551318,0.0121148475489206,0.0206565277289493,0.0351126200050981,NA,NA,NA,38.9041353032449,88.0231721674155,203.811230770832,NA,NA,NA,38.9041353032449,88.0231721674155,203.811230770832
2024,"Painted Spurfowl","2024",-3.81007983652337,0.257406597199688,0.0132829331860006,0.0219029793940134,0.0360140502660914,NA,NA,NA,42.0415555932858,93.3346471138334,217.214370827459,NA,NA,NA,42.0415555932858,93.3346471138334,217.214370827459
2025,"Painted Spurfowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3050646711978,120.564454233632,206.7185515006,71.3050646711978,120.564454233632,206.7185515006
2026,"Painted Spurfowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.1698479522476,122.475702423386,227.444869709892,67.1698479522476,122.475702423386,227.444869709892
2027,"Painted Spurfowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.2345759965886,124.556150869028,251.148874244442,63.2345759965886,124.556150869028,251.148874244442
2028,"Painted Spurfowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5287538006567,126.813752810484,278.152016896759,59.5287538006567,126.813752810484,278.152016896759
2029,"Painted Spurfowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0607377418797,129.257252031529,308.862143005625,56.0607377418797,129.257252031529,308.862143005625
