"gridg0","group.id","month","timegroups"
"246864","S104369339",3,"2000-2006"
"246864","S104374585",4,"2000-2006"
"246864","S105479569",8,"2000-2006"
"246864","S105478763",8,"2000-2006"
"246864","S105480948",9,"2000-2006"
"246864","S104373364",11,"2000-2006"
"241665","S121100476",1,"2007-2010"
"242315","S122814077",4,"2007-2010"
"243619","G1724159",2,"2007-2010"
"241019","G1724160",2,"2007-2010"
"246220","G1724156",2,"2007-2010"
"246220","G1724155",2,"2007-2010"
"246870","G1724158",2,"2007-2010"
"249468","G1724153",2,"2007-2010"
"242321","G1723856",3,"2007-2010"
"242971","G1724151",3,"2007-2010"
"246864","S101077455",3,"2011-2012"
"244264","S101076869",4,"2011-2012"
"246864","S103623022",5,"2011-2012"
"246864","S102670689",12,"2011-2012"
"246864","S270773817",12,"2011-2012"
"246864","S270768937",12,"2011-2012"
"246864","S270774187",12,"2011-2012"
"246864","S102670856",12,"2011-2012"
"246864","S120293327",2,"2011-2012"
"245563","S101087588",2,"2011-2012"
"246213","S120295353",3,"2011-2012"
"246213","S253474073",4,"2011-2012"
"246864","S259978423",10,"2013"
"246213","S107005614",11,"2013"
"244265","S96345749",2,"2013"
"244265","S102207081",2,"2013"
"245563","S16980124",2,"2013"
"247513","S96353269",2,"2013"
"246214","S16979785",2,"2013"
"246864","S102193497",2,"2013"
"246864","S101083180",2,"2013"
"244264","S102137420",5,"2013"
"242314","S39861860",10,"2014"
"244265","S39828471",10,"2014"
"244265","S39828393",10,"2014"
"239066","S39896036",10,"2014"
"239066","S39897569",10,"2014"
"252080","S39861628",10,"2014"
"252076","S114392098",11,"2014"
"248165","S114292721",11,"2014"
"247515","S114389395",11,"2014"
"248165","S114386035",11,"2014"
"248165","S114388235",11,"2014"
"247515","S114395817",11,"2014"
"248165","S114399592",11,"2014"
"245563","S102193225",12,"2014"
"242315","S122831164",1,"2014"
"249468","S101520476",1,"2014"
"249468","S114372099",1,"2014"
"246864","S107015279",2,"2014"
"249467","S22255587",3,"2014"
"242967","S114373076",4,"2014"
"246213","S101889256",4,"2014"
"242319","S25089428",9,"2015"
"246870","G8636299",9,"2015"
"248165","S25339757",10,"2015"
"246870","S102327457",10,"2015"
"241676","S32690540",12,"2015"
"242967","S26405906",12,"2015"
"242320","S26441592",12,"2015"
"242320","S26248459",12,"2015"
"246864","S101823951",12,"2015"
"245563","S162956713",12,"2015"
"242318","S101824276",1,"2015"
"242315","S27277646",1,"2015"
"241665","S121043046",1,"2015"
"244264","S121043681",1,"2015"
"238415","S121044023",1,"2015"
"249468","S101823532",1,"2015"
"242971","S27391382",2,"2015"
"242971","S104719651",2,"2015"
"238415","S121093405",2,"2015"
"246885","G9371193",3,"2015"
"246864","S102194412",3,"2015"
"249468","S106444906",3,"2015"
"244265","S262896246",4,"2015"
"249468","S115897793",4,"2015"
"242321","S29666954",5,"2015"
"246869","S115896723",5,"2015"
"254031","S48812437",6,"2016"
"242315","S48814152",6,"2016"
"246864","S102133502",8,"2016"
"244264","S60989427",9,"2016"
"246870","S32390003",10,"2016"
"244264","S103613075",10,"2016"
"248165","S32147495",10,"2016"
"248164","S32164053",10,"2016"
"248165","S32149296",10,"2016"
"242319","S107024760",11,"2016"
"242319","S33158878",11,"2016"
"248165","S32442741",11,"2016"
"248165","S32532097",11,"2016"
"253383","S32930160",12,"2016"
"246864","S102147640",12,"2016"
"246864","S33223538",12,"2016"
"248836","S104646354",1,"2016"
"249486","S102630025",1,"2016"
"248164","S33528961",1,"2016"
"248164","S33739560",1,"2016"
"248165","S33613801",1,"2016"
"246864","S35248992",1,"2016"
"246864","S34599069",1,"2016"
"246864","S35248820",1,"2016"
"246864","S35248684",1,"2016"
