"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck","Dendrocygna javanica","","X","X",143,0.041958041958042,0.326923076923077,0.545454545454545,5.9020979020979,0.679786707000922
"Bar-headed Goose","Anser indicus","","","X",56,0.125,0.366071428571429,0.446428571428571,8.01785714285714,1.24712742660156
"Graylag Goose","Anser anser","","","",62,0.112903225806452,0.280241935483871,0.354838709677419,7.46774193548387,1.12113159514513
"Greater White-fronted Goose","Anser albifrons","","","",1,NA,NA,NA,10,NA
"Lesser White-fronted Goose","Anser erythropus","","","",1,NA,NA,NA,1,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",1,NA,NA,NA,10,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","X","X",86,0.0465116279069767,0.338662790697674,0.511627906976744,6.87209302325581,0.915711033798277
"Ruddy Shelduck","Tadorna ferruginea","","X","X",108,0.0648148148148148,0.310185185185185,0.398148148148148,6.19444444444444,0.786953405040806
"Common Shelduck","Tadorna tadorna","","","",17,0.117647058823529,0.205882352941176,0.352941176470588,9.64705882352941,2.59251584533335
"Cotton Pygmy-Goose","Nettapus coromandelianus","","X","X",73,0.0684931506849315,0.282534246575342,0.493150684931507,7.31506849315068,1.0752211159947
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","","",62,0.0483870967741935,0.280241935483871,0.387096774193548,7.62903225806452,1.18758090569327
"Northern Shoveler","Spatula clypeata","","X","X",89,0.0561797752808989,0.292134831460674,0.404494382022472,6.67415730337079,0.912496256180648
"Gadwall","Mareca strepera","","X","X",81,0.0864197530864197,0.316358024691358,0.432098765432099,6.97530864197531,1.01738316368651
"Falcated Duck","Mareca falcata","","","X",3,NA,0.5,0.333333333333333,6,2.99394945403782
"Eurasian Wigeon","Mareca penelope","","","",53,0.0754716981132075,0.275943396226415,0.30188679245283,7.41509433962264,1.37120118049218
"Indian Spot-billed Duck","Anas poecilorhyncha","","X","X",122,0.0737704918032787,0.327868852459016,0.5,6.11475409836066,0.743884111911047
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","","",28,0.107142857142857,0.263392857142857,0.321428571428571,8.85714285714286,1.94624805240275
"Northern Pintail","Anas acuta","","X","X",91,0.10989010989011,0.318681318681319,0.362637362637363,6.76923076923077,0.934591656692925
"Green-winged Teal","Anas crecca","","X","X",82,0.0609756097560976,0.294207317073171,0.414634146341463,7.13414634146341,0.972601977521565
"Andaman Teal","Anas albogularis","","","",NA,NA,NA,NA,NA,NA
"Marbled Teal","Marmaronetta angustirostris","","","",NA,NA,NA,NA,NA,NA
"Pink-headed Duck","Rhodonessa caryophyllacea","","","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina","","","",85,0.0588235294117647,0.242647058823529,0.388235294117647,6.44705882352941,0.960595432414233
"Common Pochard","Aythya ferina","","X","X",67,0.0895522388059701,0.279850746268657,0.298507462686567,7.3134328358209,1.14853004639643
"Ferruginous Duck","Aythya nyroca","","","",53,0.0943396226415094,0.290094339622642,0.39622641509434,7.20754716981132,1.35270163939572
"Baer's Pochard","Aythya baeri","","","",NA,NA,NA,NA,NA,NA
"Tufted Duck","Aythya fuligula","","","",43,0.116279069767442,0.273255813953488,0.372093023255814,7.86046511627907,1.47958267153889
"Greater Scaup","Aythya marila","","","",1,NA,NA,NA,7,NA
"Long-tailed Duck","Clangula hyemalis","","","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula","","","",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus","","","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser","","","",5,NA,0.233333333333333,0.2,9.8,5.69412890616291
"Red-breasted Merganser","Mergus serrator","","","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","","","",NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis","","","",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola","","","",NA,NA,NA,NA,NA,NA
