"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1992,"Knob-billed Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Knob-billed Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Knob-billed Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Knob-billed Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Knob-billed Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Knob-billed Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Knob-billed Duck","2015",-3.24063918062882,0.135803601246207,0.0295470044080256,0.0383828401845466,0.0497924043492483,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Knob-billed Duck","2016",-2.88576623379032,0.119505568320673,0.043196554158627,0.0542830937034263,0.0681121685635743,NA,NA,NA,97.255192172461,141.425421991782,196.405607751604,NA,NA,NA,97.255192172461,141.425421991782,196.405607751604
2017,"Knob-billed Duck","2017",-2.77380547596628,0.108255743709457,0.049236239641347,0.0605155382714184,0.0742761274384448,NA,NA,NA,115.002665813329,157.663002478339,217.215127443048,NA,NA,NA,115.002665813329,157.663002478339,217.215127443048
2018,"Knob-billed Duck","2018",-2.87258415941204,0.101475240362092,0.0452948263923713,0.0549832215442814,0.0666704919434831,NA,NA,NA,103.512870921629,143.249486697491,195.812232442465,NA,NA,NA,103.512870921629,143.249486697491,195.812232442465
2019,"Knob-billed Duck","2019",-2.9214405783423,0.097774365866615,0.0434898415744926,0.0524314984941064,0.0631500523294996,NA,NA,NA,99.3533446145079,136.601403757547,185.65266834126,NA,NA,NA,99.3533446145079,136.601403757547,185.65266834126
2020,"Knob-billed Duck","2020",-2.70781405564989,0.0972513477172212,0.0536188237662256,0.0645077443061798,0.0775158596482378,NA,NA,NA,119.7695131832,168.064020265367,230.708129172547,NA,NA,NA,119.7695131832,168.064020265367,230.708129172547
2021,"Knob-billed Duck","2021",-2.90575461726039,0.0983145855797796,0.0441163022765168,0.0532379568877679,0.0641814199180195,NA,NA,NA,100.050610363149,138.702494739308,196.392023302693,NA,NA,NA,100.050610363149,138.702494739308,196.392023302693
2022,"Knob-billed Duck","2022",-2.74339571460373,0.0857015657779539,0.0529478385590112,0.0623246102906166,0.0732966688495713,NA,NA,NA,121.634880161113,162.376233730898,220.70562414756,NA,NA,NA,121.634880161113,162.376233730898,220.70562414756
2023,"Knob-billed Duck","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.702666370295,174.834586667698,226.097765704039,135.702666370295,174.834586667698,226.097765704039
2024,"Knob-billed Duck","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.410435617766,182.543052549857,247.374378653822,135.410435617766,182.543052549857,247.374378653822
2025,"Knob-billed Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.001066441114,190.64892529619,271.135651425277,135.001066441114,190.64892529619,271.135651425277
2026,"Knob-billed Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.537260156989,199.174977162649,297.573791505514,134.537260156989,199.174977162649,297.573791505514
2027,"Knob-billed Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.055439792061,208.145403051827,326.937232411681,134.055439792061,208.145403051827,326.937232411681
2028,"Knob-billed Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.577877411781,217.585916236823,359.522150516765,133.577877411781,217.585916236823,359.522150516765
2029,"Knob-billed Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.118793600987,227.523850968919,395.670473741146,133.118793600987,227.523850968919,395.670473741146
1992,"Ruddy Shelduck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Ruddy Shelduck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
