"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1993,"Knob-billed Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Knob-billed Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Knob-billed Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Knob-billed Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Knob-billed Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Knob-billed Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Knob-billed Duck","2015",-3.2482044015789,0.775463942617556,0.00846039922276666,0.0380991433885547,0.162711784746019,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Knob-billed Duck","2016",-3.00795031238625,0.760097566560042,0.0110723592431756,0.0481928278002993,0.19677056893188,NA,NA,NA,16.7810246907776,126.493205657681,848.699731131913,NA,NA,NA,16.7810246907776,126.493205657681,848.699731131913
2017,"Knob-billed Duck","2017",-2.97098789607891,0.74713553328093,0.0117806961222228,0.0499613899153061,0.19881376135248,NA,NA,NA,19.9639769475858,131.135205339852,1129.97893688867,NA,NA,NA,19.9639769475858,131.135205339852,1129.97893688867
2018,"Knob-billed Duck","2018",-3.11010996019941,0.744796554363315,0.0103054110668773,0.0436162662000126,0.174685397805018,NA,NA,NA,15.1805575397697,114.480962879379,807.53151530648,NA,NA,NA,15.1805575397697,114.480962879379,807.53151530648
2019,"Knob-billed Duck","2019",-3.0625635586527,0.734224843336325,0.0110294699829819,0.0456908942566626,0.178982326847567,NA,NA,NA,17.3436176145482,119.926303304731,841.5879098559,NA,NA,NA,17.3436176145482,119.926303304731,841.5879098559
2020,"Knob-billed Duck","2020",-2.82145945565014,0.7284053032955,0.0141751669070615,0.0577823818378441,0.219744868664601,NA,NA,NA,21.2001370024153,151.663204730221,1186.35143995291,NA,NA,NA,21.2001370024153,151.663204730221,1186.35143995291
2021,"Knob-billed Duck","2021",-2.9627141320612,0.728744582081624,0.0123112604101427,0.0503658411259235,0.19393463899868,NA,NA,NA,17.0262111141616,132.196780941416,1010.40162921974,NA,NA,NA,17.0262111141616,132.196780941416,1010.40162921974
2022,"Knob-billed Duck","2022",-2.83391952323093,0.720298705548973,0.0142235071427088,0.0570877022537412,0.214314532026109,NA,NA,NA,23.6894779313773,149.839857740452,1205.624767979,NA,NA,NA,23.6894779313773,149.839857740452,1205.624767979
2023,"Knob-billed Duck","2023",-2.98320844169092,0.724395440712748,0.012165667904233,0.0493697841006042,0.188948892192964,NA,NA,NA,21.7446456697597,129.582399260544,904.549539500032,NA,NA,NA,21.7446456697597,129.582399260544,904.549539500032
2024,"Knob-billed Duck","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.0113536561825,209.181967302738,577.901642561394,81.0113536561825,209.181967302738,577.901642561394
2025,"Knob-billed Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.7395024202971,223.90690800649,735.098083500644,74.7395024202971,223.90690800649,735.098083500644
2026,"Knob-billed Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.2655221617161,241.467554873414,949.144891725247,69.2655221617161,241.467554873414,949.144891725247
2027,"Knob-billed Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5559047148529,262.310295407441,1242.13274502103,64.5559047148529,262.310295407441,1242.13274502103
2028,"Knob-billed Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5422295832329,286.981565497212,1646.00546592404,60.5422295832329,286.981565497212,1646.00546592404
2029,"Knob-billed Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1482276174394,316.149320050132,2207.11559692862,57.1482276174394,316.149320050132,2207.11559692862
2030,"Knob-billed Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3012922214331,350.629921109552,2993.09100497292,54.3012922214331,350.629921109552,2993.09100497292
1993,"Ruddy Shelduck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Ruddy Shelduck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Ruddy Shelduck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Ruddy Shelduck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ruddy Shelduck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Ruddy Shelduck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ruddy Shelduck","2015",-2.68540386349359,0.997794933388954,0.00960086882316022,0.065920426120727,0.382478350095675,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Ruddy Shelduck","2016",-2.32009520208562,0.996859393517996,0.0138302793282268,0.0935906286194533,0.500090850915936,NA,NA,NA,9.00021688801952,141.975157211592,2144.45081969578,NA,NA,NA,9.00021688801952,141.975157211592,2144.45081969578
2017,"Ruddy Shelduck","2017",-2.52079841211943,1.00399730182994,0.0111731035323336,0.0772485747104776,0.437431534150172,NA,NA,NA,9.93678756889388,117.184580343889,1660.9986370487,NA,NA,NA,9.93678756889388,117.184580343889,1660.9986370487
2018,"Ruddy Shelduck","2018",-2.34734380372645,0.993860211251885,0.0135398478563022,0.0911932631718962,0.488668543333498,NA,NA,NA,10.7365116302612,138.338400611799,1806.89889700816,NA,NA,NA,10.7365116302612,138.338400611799,1806.89889700816
2019,"Ruddy Shelduck","2019",-2.73445261127386,0.989696493493147,0.00928903752906041,0.0628665076568527,0.363480644757806,NA,NA,NA,7.85786615154599,95.3672652869669,1288.07738228926,NA,NA,NA,7.85786615154599,95.3672652869669,1288.07738228926
2020,"Ruddy Shelduck","2020",-2.67110704206893,0.990761223382705,0.00987295630048087,0.066837200126642,0.382630405533594,NA,NA,NA,9.80013717252823,101.390728276295,1442.39840936337,NA,NA,NA,9.80013717252823,101.390728276295,1442.39840936337
2021,"Ruddy Shelduck","2021",-2.79943771265153,0.991123792789547,0.00868291831946833,0.05903022967787,0.345905523551543,NA,NA,NA,6.55786218019228,89.5477064571181,1465.11957916197,NA,NA,NA,6.55786218019228,89.5477064571181,1465.11957916197
