"gridg0","group.id","month","timegroups"
"317422","S41465680",2,"2000-2006"
"294669","S203709349",3,"2000-2006"
"293361","S203709554",3,"2000-2006"
"303756","S41375353",1,"2000-2006"
"268130","S35241142",10,"2000-2006"
"301808","S41375640",1,"2000-2006"
"318739","S41466074",2,"2000-2006"
"269981","S48546757",2,"2000-2006"
"294670","S116178941",11,"2000-2006"
"294670","S41375393",1,"2000-2006"
"310971","S98729285",10,"2000-2006"
"310971","S67412981",10,"2000-2006"
"294011","S120827386",12,"2000-2006"
"314803","S122733894",4,"2000-2006"
"314804","S83897098",3,"2000-2006"
"314803","S71340321",9,"2000-2006"
"314803","S71262158",3,"2000-2006"
"314803","S71233335",1,"2000-2006"
"314803","S71323906",8,"2000-2006"
"314803","S19462935",3,"2000-2006"
"314803","S19462982",1,"2000-2006"
"314803","S71320142",8,"2000-2006"
"314803","S64003245",1,"2000-2006"
"314803","S71341197",11,"2000-2006"
"314803","S19462899",5,"2000-2006"
"314803","S19462964",1,"2000-2006"
"314803","S71354270",11,"2000-2006"
"314803","S19462886",6,"2000-2006"
"314803","S71324032",9,"2000-2006"
"314803","S19462816",12,"2000-2006"
"314803","S71317376",7,"2000-2006"
"314803","S71264017",4,"2000-2006"
"314803","S64004634",3,"2000-2006"
"314803","S37869097",12,"2000-2006"
"314803","S83441422",3,"2000-2006"
"314803","S64120707",8,"2000-2006"
"314803","S71317714",7,"2000-2006"
"314803","S71277792",4,"2000-2006"
"314803","S19462893",5,"2000-2006"
"314803","S71278025",4,"2000-2006"
"314803","S19462906",4,"2000-2006"
"314803","S71233802",2,"2000-2006"
"314803","S71319870",7,"2000-2006"
"314803","S71340525",10,"2000-2006"
"314803","S19462870",10,"2000-2006"
"314803","S19462928",3,"2000-2006"
"314803","S64120809",9,"2000-2006"
"314803","S64118373",3,"2000-2006"
"314803","S69741171",8,"2000-2006"
"314803","S19462908",4,"2000-2006"
"314803","S64003420",2,"2000-2006"
"314803","S64120048",6,"2000-2006"
"294669","S16151433",5,"2000-2006"
"314803","S17544807",11,"2000-2006"
