"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck","Dendrocygna javanica","","","",18,NA,0.319444444444444,0.666666666666667,15.8888888888889,2.80736141971175
"Bar-headed Goose","Anser indicus","","","X",13,0.0769230769230769,0.375,0.461538461538462,18.9230769230769,2.40523000167276
"Graylag Goose","Anser anser","","","",12,0.0833333333333333,0.291666666666667,0.5,18.6666666666667,2.55704532773293
"Greater White-fronted Goose","Anser albifrons","","","",1,NA,NA,NA,14,NA
"Lesser White-fronted Goose","Anser erythropus","","","",1,NA,NA,NA,14,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","",10,NA,0.3375,0.5,18.7,2.44542239023582
"Ruddy Shelduck","Tadorna ferruginea","","","",32,0.15625,0.45703125,0.75,14.8125,2.05912402100286
"Common Shelduck","Tadorna tadorna","","","",3,NA,0.416666666666667,0.333333333333333,18.6666666666667,4.28419316921064
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","",10,NA,0.3,0.7,17.1,2.92836215125262
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","","",12,0.166666666666667,0.322916666666667,0.416666666666667,16.75,3.1375308763421
"Northern Shoveler","Spatula clypeata","","","",19,0.157894736842105,0.335526315789474,0.578947368421053,16.6842105263158,2.58329925215061
"Gadwall","Mareca strepera","","","",16,NA,0.453125,0.5,17.125,2.7941459637368
"Falcated Duck","Mareca falcata","","","X",NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope","","","",15,0.0666666666666667,0.35,0.4,17.8,2.57478232089627
"Indian Spot-billed Duck","Anas poecilorhyncha","","","",24,0.0416666666666667,0.380208333333333,0.541666666666667,14.7083333333333,2.88860778779169
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","","",16,0.125,0.4296875,0.5625,16,3.1553362208593
"Northern Pintail","Anas acuta","","","",17,0.235294117647059,0.419117647058824,0.647058823529412,16.6470588235294,2.52629643993379
"Green-winged Teal","Anas crecca","","","",15,0.266666666666667,0.433333333333333,0.533333333333333,17.3333333333333,2.30856184187857
"Andaman Teal","Anas albogularis","","","",NA,NA,NA,NA,NA,NA
