"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1993,"Hill Partridge","before 2000",-4.13805527535853,0.374616571440415,0.00762647778541112,0.0158272586607262,0.032699876639523,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Hill Partridge","2000-2006",-4.63113937911884,0.348793020066304,0.00490631618620399,0.00969633549499086,0.0191176949534128,24.1535074120198,61.2635182304271,168.201504736165,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Hill Partridge","2007-2010",-4.59499954477197,0.313182150287929,0.00545310924458403,0.0100513692982538,0.018490836745506,23.5400015471169,63.5066976140046,156.303857140344,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Hill Partridge","2011-2012",-4.36969442847335,0.295344527356049,0.00706844773842095,0.0125753678743576,0.0223241446511514,30.0502701635949,79.4538595970645,198.905240237412,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hill Partridge","2013",-3.75539757831937,0.220852622754442,0.015058007159925,0.0231196966681694,0.035419135363222,65.7297628841044,146.07518057147,332.895728102752,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Hill Partridge","2014",-4.47621009940708,0.241417948433941,0.00706267747732628,0.0113119800850503,0.0180945022087564,29.7140327255365,71.4715057580999,167.422548971478,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Hill Partridge","2015",-4.08740334441686,0.18537873159962,0.011602033262812,0.0166427101608773,0.0238468144980899,46.664138088084,105.152196710947,239.316649716014,100,100,100,NA,NA,NA,100,100,100
2016,"Hill Partridge","2016",-4.12686323424011,0.179119495657887,0.0112925678932138,0.0160039599241325,0.022658354655477,45.912713045937,101.116436315309,212.541474677827,57.600150368737,96.1619818492883,159.408108869971,NA,NA,NA,57.600150368737,96.1619818492883,159.408108869971
2017,"Hill Partridge","2017",-4.24795625664958,0.16963711890166,0.0101979781522983,0.0141917502406992,0.019733914687372,39.2516008984028,89.6665085528338,187.460349433827,52.8888975589441,85.2730721349721,138.557315827155,NA,NA,NA,52.8888975589441,85.2730721349721,138.557315827155
2018,"Hill Partridge","2018",-4.10588550890548,0.157185134762655,0.0120340423337084,0.01634044574461,0.0221705224036653,50.3992240171327,103.242425582879,217.879290462804,63.6057827026814,98.1838029182421,162.906255175507,NA,NA,NA,63.6057827026814,98.1838029182421,162.906255175507
2019,"Hill Partridge","2019",-4.0272315195127,0.168359624514466,0.0127322574938303,0.0176657050652012,0.0244869025928233,50.7615657643253,111.615696968654,241.736126693759,65.7348299556311,106.146804783807,167.905398520537,NA,NA,NA,65.7348299556311,106.146804783807,167.905398520537
