"gridg0","group.id","month","timegroups"
"342120","S170302056",11,"before 2000"
"336926","S9278044",3,"before 2000"
"342120","S36746389",2,"before 2000"
"342120","S36745750",2,"before 2000"
"342120","S36747200",2,"before 2000"
"342120","S27241943",4,"before 2000"
"327201","S54077882",5,"before 2000"
"328492","S66805288",3,"before 2000"
"328492","S66810223",3,"before 2000"
"327855","S57270869",3,"before 2000"
"327855","S57270303",3,"before 2000"
"328492","S66885677",3,"before 2000"
"328492","S66886417",5,"before 2000"
"346028","S89335333",5,"before 2000"
"344753","S89633357",7,"before 2000"
"346054","S89634763",7,"before 2000"
"344753","S89632797",7,"before 2000"
"346054","S89633429",7,"before 2000"
"339546","S89635070",7,"before 2000"
"346054","S89634538",7,"before 2000"
"346054","S89634503",7,"before 2000"
"346054","S89634603",7,"before 2000"
"343453","S89634984",7,"before 2000"
"347351","S89633060",7,"before 2000"
"336925","S278095205",7,"before 2000"
"334973","S89632399",7,"before 2000"
"334972","S278094557",7,"before 2000"
"344741","S89638381",7,"before 2000"
"344741","S89639234",7,"before 2000"
"345391","S89638586",7,"before 2000"
"344741","S89639380",7,"before 2000"
"345391","S89638703",7,"before 2000"
"336925","S89640663",8,"before 2000"
"344741","S89640166",8,"before 2000"
"344741","S89639666",8,"before 2000"
"327201","S260715261",1,"before 2000"
"328492","S260476467",1,"before 2000"
"327201","S260714039",1,"before 2000"
"327194","S24469980",1,"before 2000"
"327201","S24470357",1,"before 2000"
"329788","S24445688",1,"before 2000"
"340819","S181768042",7,"before 2000"
"327201","S55157601",11,"before 2000"
"327201","S55157549",11,"before 2000"
"327201","S55157629",11,"before 2000"
"325904","S55100334",11,"before 2000"
"329788","S55101691",11,"before 2000"
"329788","S55101734",11,"before 2000"
"329788","S55101651",11,"before 2000"
"336918","S56891128",12,"before 2000"
"325253","S55157701",12,"before 2000"
"342120","S53603609",12,"before 2000"
"327201","S78458513",2,"before 2000"
"329788","S78244768",2,"before 2000"
"326550","S78607555",3,"before 2000"
"327201","S78638849",3,"before 2000"
"327201","S90871592",12,"before 2000"
"327201","S90870208",12,"before 2000"
"327201","S90825436",12,"before 2000"
"327194","S90609992",12,"before 2000"
"328493","S90610329",12,"before 2000"
"327201","S90873429",12,"before 2000"
"326550","S90872707",12,"before 2000"
"329788","S90768271",12,"before 2000"
"329788","S90771007",12,"before 2000"
"329788","S90770213",12,"before 2000"
"329788","S90712662",12,"before 2000"
"340170","S190852846",5,"before 2000"
"328492","S89335311",5,"before 2000"
"329788","S48472342",1,"before 2000"
"327201","S290067860",3,"before 2000"
"328492","S290072340",3,"before 2000"
"329788","S30947685",3,"before 2000"
"349939","S220405650",5,"before 2000"
"327201","S76287025",3,"before 2000"
"327201","S76289921",3,"before 2000"
"327201","S76292352",3,"before 2000"
"327201","S76299572",3,"before 2000"
"327201","S76288810",3,"before 2000"
"334973","S48589530",10,"before 2000"
"328492","G7891060",11,"before 2000"
"328492","G7891063",11,"before 2000"
"328492","S63863759",11,"before 2000"
"328492","G7891062",11,"before 2000"
"328492","G7891061",11,"before 2000"
"328492","G7959177",11,"before 2000"
"328492","G7959176",11,"before 2000"
"330450","S13892053",10,"before 2000"
"330450","S13928442",10,"before 2000"
"326555","S17352167",10,"before 2000"
"327201","S13879770",10,"before 2000"
"323297","S17352199",10,"before 2000"
"328492","S22009412",11,"before 2000"
"328492","S22013391",11,"before 2000"
"326544","S22000018",11,"before 2000"
"329788","S22008589",11,"before 2000"
"329787","S21999836",11,"before 2000"
"329138","S319965125",1,"before 2000"
