"eBird.English.Name.2024","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Fulvous Whistling-Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Lesser Whistling-Duck","Insufficient Data","Stable",NA,"Low"
"Bar-headed Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Graylag Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Greater White-fronted Goose",NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA
"Whooper Swan",NA,NA,NA,NA
"Knob-billed Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Ruddy Shelduck","Insufficient Data","Decline",NA,"Moderate"
"Common Shelduck",NA,NA,NA,NA
"Cotton Pygmy-Goose","Insufficient Data","Decline",NA,"Moderate"
"Mandarin Duck",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Garganey","Insufficient Data","Insufficient Data",NA,"Low"
"Northern Shoveler","Insufficient Data","Trend Inconclusive",NA,"Low"
"Gadwall","Insufficient Data","Decline",NA,"Moderate"
"Falcated Duck","Insufficient Data","Insufficient Data",NA,"Moderate"
"Eurasian Wigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Indian Spot-billed Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Eastern Spot-billed Duck",NA,NA,NA,NA
"Mallard","Insufficient Data","Insufficient Data",NA,"Low"
"Northern Pintail","Insufficient Data","Rapid Decline",NA,"Moderate"
"Green-winged Teal","Insufficient Data","Insufficient Data",NA,"Low"
"Andaman Teal",NA,NA,NA,NA
"Marbled Duck",NA,NA,NA,NA
"Pink-headed Duck",NA,NA,NA,NA
"White-winged Duck",NA,NA,NA,NA
"Red-crested Pochard","Insufficient Data","Insufficient Data",NA,"Low"
"Common Pochard","Insufficient Data","Insufficient Data",NA,"Moderate"
"Ferruginous Duck","Insufficient Data","Trend Inconclusive",NA,"Moderate"
"Baer's Pochard",NA,NA,NA,NA
"Tufted Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Greater Scaup",NA,NA,NA,NA
"Long-tailed Duck",NA,NA,NA,NA
"Common Goldeneye",NA,NA,NA,NA
"Smew",NA,NA,NA,NA
"Common Merganser","Insufficient Data","Insufficient Data",NA,"Low"
