"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1985,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-1.89393659877478,0.168442535511446,0.102521807676743,0.139703574896109,0.188881665894442,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-2.02018400512875,0.164649356085799,0.0915805026389341,0.124211852493351,0.167353474866555,NA,NA,NA,56.1987639425814,88.9110050231148,138.691441956773,NA,NA,NA,56.1987639425814,88.9110050231148,138.691441956773
2017,"Lesser Whistling-Duck","2017",-2.07931753859581,0.160880430710667,0.0871696363659432,0.117516777199729,0.157481322497039,NA,NA,NA,55.3066087724504,84.1186614495156,127.512555386365,NA,NA,NA,55.3066087724504,84.1186614495156,127.512555386365
2018,"Lesser Whistling-Duck","2018",-2.00863037828884,0.15549388190137,0.0941889021682516,0.125560626697256,0.166381398529471,NA,NA,NA,58.5252196274452,89.8764593466053,137.265794873011,NA,NA,NA,58.5252196274452,89.8764593466053,137.265794873011
2019,"Lesser Whistling-Duck","2019",-1.98333442101117,0.153526941848261,0.0968356193067514,0.128561185015236,0.169662634280512,NA,NA,NA,61.167626777649,92.0242628800588,136.903951702956,NA,NA,NA,61.167626777649,92.0242628800588,136.903951702956
2020,"Lesser Whistling-Duck","2020",-1.74689589041337,0.150569327874133,0.121700287656606,0.159967077852644,0.208759350162917,NA,NA,NA,78.4704055952921,114.504641682651,172.660805250996,NA,NA,NA,78.4704055952921,114.504641682651,172.660805250996
2021,"Lesser Whistling-Duck","2021",-1.90858068589205,0.15060997034076,0.104511168557758,0.137819564586947,0.180623922712529,NA,NA,NA,65.8439760204607,98.6514229785717,148.523072177048,NA,NA,NA,65.8439760204607,98.6514229785717,148.523072177048
2022,"Lesser Whistling-Duck","2022",-1.83490781980153,0.150381017307367,0.112084187042008,0.147539338409073,0.192931379961832,NA,NA,NA,69.5221478370473,105.60884967961,161.994501858665,NA,NA,NA,69.5221478370473,105.60884967961,161.994501858665
2023,"Lesser Whistling-Duck","2023",-1.92009690749774,0.149299326660122,0.103630242792601,0.13635437926616,0.178337752024064,NA,NA,NA,66.3039365576415,97.6026414267204,146.660721440937,NA,NA,NA,66.3039365576415,97.6026414267204,146.660721440937
2024,"Lesser Whistling-Duck","2024",-1.95537986946242,0.149384498952136,0.100208233958697,0.131954122004575,0.172749616187916,NA,NA,NA,63.8367675335443,94.4529315750884,141.270278563619,NA,NA,NA,63.8367675335443,94.4529315750884,141.270278563619
2025,"Lesser Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.4564951714762,103.984582652134,129.936011989431,83.4564951714762,103.984582652134,129.936011989431
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8363924300668,105.256536380857,135.891333441289,81.8363924300668,105.256536380857,135.891333441289
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.2061531475862,106.570962738312,142.286099663898,80.2061531475862,106.570962738312,142.286099663898
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5878656897197,107.929054749223,149.117864724256,78.5878656897197,107.929054749223,149.117864724256
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9947131728976,109.332052925281,156.394712930537,76.9947131728976,109.332052925281,156.394712930537
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.4346397628278,110.781247060641,164.131693320446,75.4346397628278,110.781247060641,164.131693320446
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9123971998481,112.277978107126,172.348882216004,73.9123971998481,112.277978107126,172.348882216004
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.4307306557256,113.823640132676,181.070315347985,72.4307306557256,113.823640132676,181.070315347985
1985,"Ruddy Shelduck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Ruddy Shelduck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Ruddy Shelduck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Ruddy Shelduck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ruddy Shelduck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Ruddy Shelduck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ruddy Shelduck","2015",-3.97638312056128,0.235496222518336,0.0117504947371364,0.0185785955156722,0.029315163871787,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Ruddy Shelduck","2016",-3.45963515325745,0.224172386649959,0.020058006568341,0.030952095395278,0.0476176194783689,NA,NA,NA,87.0347466932741,166.60083572608,295.877642191501,NA,NA,NA,87.0347466932741,166.60083572608,295.877642191501
